Date,DOW,Rank,Daily,%± YD,%± LW,Theaters,Avg,To Date,Day,Estimated
Jul 6World Cup (Russia),Friday,1,"$33,725,082",-,-,"4,206","$8,018","$33,725,082",1,false
Jul 7World Cup (Russia),Saturday,1,"$23,555,372",-30.2%,-,"4,206","$5,600","$57,280,454",2,false
Jul 8World Cup (Russia),Sunday,1,"$18,531,751",-21.3%,-,"4,206","$4,406","$75,812,205",3,false
Jul 9World Cup (Russia),Monday,1,"$6,983,824",-62.3%,-,"4,206","$1,660","$82,796,029",4,false
Jul 10World Cup (Russia),Tuesday,1,"$10,042,976",+43.8%,-,"4,206","$2,387","$92,839,005",5,false
Jul 11World Cup (Russia),Wednesday,1,"$5,852,591",-41.7%,-82.6%,"4,206","$1,391","$98,691,596",6,false
Jul 12World Cup (Russia),Thursday,1,"$5,293,629",-9.6%,-77.5%,"4,206","$1,258","$103,985,225",7,false
Jul 13World Cup (Russia),Friday,3,"$8,431,124",+59.3%,-75%,"4,206","$2,004","$112,416,349",8,false
Jul 14World Cup (Russia),Saturday,2,"$11,756,671",+39.4%,-50.1%,"4,206","$2,795","$124,173,020",9,false
Jul 15World Cup (Russia),Sunday,2,"$8,910,064",-24.2%,-51.9%,"4,206","$2,118","$133,083,084",10,false
Jul 16,Monday,2,"$3,566,526",-60%,-48.9%,"4,206",$847,"$136,649,610",11,false
Jul 17,Tuesday,2,"$5,506,525",+54.4%,-45.2%,"4,206","$1,309","$142,156,135",12,false
Jul 18,Wednesday,2,"$3,349,910",-39.2%,-42.8%,"4,206",$796,"$145,506,045",13,false
Jul 19,Thursday,2,"$2,992,247",-10.7%,-43.5%,"4,206",$711,"$148,498,292",14,false
Jul 20,Friday,4,"$4,483,139",+49.8%,-46.8%,"3,778","$1,186","$152,981,431",15,false
Jul 21,Saturday,4,"$6,609,304",+47.4%,-43.8%,"3,778","$1,749","$159,590,735",16,false
Jul 22,Sunday,4,"$5,414,713",-18.1%,-39.2%,"3,778","$1,433","$165,005,448",17,false
Jul 23,Monday,4,"$2,272,573",-58%,-36.3%,"3,778",$601,"$167,278,021",18,false
Jul 24,Tuesday,4,"$3,315,774",+45.9%,-39.8%,"3,778",$877,"$170,593,795",19,false
Jul 25,Wednesday,4,"$2,271,063",-31.5%,-32.2%,"3,778",$601,"$172,864,858",20,false
Jul 26,Thursday,4,"$1,859,269",-18.1%,-37.9%,"3,778",$492,"$174,724,127",21,false
Jul 27,Friday,6,"$2,519,657",+35.5%,-43.8%,"3,013",$836,"$177,243,784",22,false
Jul 28,Saturday,5,"$3,511,225",+39.4%,-46.9%,"3,013","$1,165","$180,755,009",23,false
Jul 29,Sunday,5,"$2,735,218",-22.1%,-49.5%,"3,013",$907,"$183,490,227",24,false
Jul 30,Monday,5,"$1,278,835",-53.2%,-43.7%,"3,013",$424,"$184,769,062",25,false
Jul 31,Tuesday,6,"$1,908,663",+49.3%,-42.4%,"3,013",$633,"$186,677,725",26,false
Aug 1,Wednesday,5,"$1,376,054",-27.9%,-39.4%,"3,013",$456,"$188,053,779",27,false
Aug 2,Thursday,5,"$1,227,656",-10.8%,-34%,"3,013",$407,"$189,281,435",28,false
Aug 3,Friday,8,"$1,831,798",+49.2%,-27.3%,"2,233",$820,"$191,113,233",29,false
Aug 4,Saturday,7,"$2,593,399",+41.6%,-26.1%,"2,233","$1,161","$193,706,632",30,false
Aug 5,Sunday,7,"$1,939,303",-25.2%,-29.1%,"2,233",$868,"$195,645,935",31,false
Aug 6,Monday,7,"$948,840",-51.1%,-25.8%,"2,233",$424,"$196,594,775",32,false
Aug 7,Tuesday,7,"$1,244,667",+31.2%,-34.8%,"2,233",$557,"$197,839,442",33,false
Aug 8,Wednesday,7,"$894,546",-28.1%,-35%,"2,233",$400,"$198,733,988",34,false
Aug 9,Thursday,7,"$736,356",-17.7%,-40%,"2,233",$329,"$199,470,344",35,false
Aug 10,Friday,10,"$1,108,734",+50.6%,-39.5%,"1,863",$595,"$200,579,078",36,false
Aug 11,Saturday,10,"$1,754,273",+58.2%,-32.4%,"1,863",$941,"$202,333,351",37,false
Aug 12,Sunday,10,"$1,240,629",-29.3%,-36%,"1,863",$665,"$203,573,980",38,false
Aug 13,Monday,11,"$533,783",-57%,-43.7%,"1,863",$286,"$204,107,763",39,false
Aug 14,Tuesday,10,"$752,759",+41%,-39.5%,"1,863",$404,"$204,860,522",40,false
Aug 15,Wednesday,11,"$461,489",-38.7%,-48.4%,"1,863",$247,"$205,322,011",41,false
Aug 16,Thursday,12,"$423,639",-8.2%,-42.5%,"1,863",$227,"$205,745,650",42,false
Aug 17,Friday,13,"$704,069",+66.2%,-36.5%,"1,520",$463,"$206,449,719",43,false
Aug 18,Saturday,12,"$1,150,966",+63.5%,-34.4%,"1,520",$757,"$207,600,685",44,false
