Date,DOW,Rank,Daily,%± YD,%± LW,Theaters,Avg,To Date,Day,Estimated
Feb 17,Friday,1,"$46,431,851",-,-,"4,345","$10,686","$46,431,851",1,false
Feb 18,Saturday,1,"$33,903,657",-27%,-,"4,345","$7,802","$80,335,508",2,false
Feb 19,Sunday,1,"$25,774,142",-24%,-,"4,345","$5,931","$106,109,650",3,false
Feb 20Presidents' Day,Monday,1,"$14,284,967",-44.6%,-,"4,345","$3,287","$120,394,617",4,false
Feb 21,Tuesday,1,"$7,078,521",-50.4%,-,"4,345","$1,629","$127,473,138",5,false
Feb 22,Wednesday,1,"$3,859,533",-45.5%,-,"4,345",$888,"$131,332,671",6,false
Feb 23,Thursday,1,"$3,781,913",-2%,-,"4,345",$870,"$135,114,584",7,false
Feb 24,Friday,2,"$8,329,121",+120.2%,-82.1%,"4,345","$1,916","$143,443,705",8,false
Feb 25,Saturday,1,"$14,629,621",+75.6%,-56.8%,"4,345","$3,367","$158,073,326",9,false
Feb 26,Sunday,1,"$9,006,061",-38.4%,-65.1%,"4,345","$2,072","$167,079,387",10,false
Feb 27,Monday,1,"$1,721,699",-80.9%,-87.9%,"4,345",$396,"$168,801,086",11,false
Feb 28,Tuesday,1,"$2,536,327",+47.3%,-64.2%,"4,345",$583,"$171,337,413",12,false
Mar 1,Wednesday,2,"$1,530,357",-39.7%,-60.3%,"4,345",$352,"$172,867,770",13,false
Mar 2,Thursday,2,"$1,460,059",-4.6%,-61.4%,"4,345",$336,"$174,327,829",14,false
Mar 3,Friday,3,"$3,166,691",+116.9%,-62%,"3,825",$827,"$177,494,520",15,false
Mar 4,Saturday,2,"$5,945,443",+87.7%,-59.4%,"3,825","$1,554","$183,439,963",16,false
Mar 5,Sunday,2,"$3,697,908",-37.8%,-58.9%,"3,825",$966,"$187,137,871",17,false
Mar 6,Monday,3,"$908,642",-75.4%,-47.2%,"3,825",$237,"$188,046,513",18,false
Mar 7,Tuesday,4,"$1,288,698",+41.8%,-49.2%,"3,825",$336,"$189,335,211",19,false
Mar 8,Wednesday,4,"$870,702",-32.4%,-43.1%,"3,825",$227,"$190,205,913",20,false
