Date,DOW,Rank,Daily,%± YD,%± LW,Theaters,Avg,To Date,Day,Estimated
Apr 26,Friday,1,"$157,461,641",-,-,"4,662","$33,775","$157,461,641",1,false
Apr 27,Saturday,1,"$109,264,122",-30.6%,-,"4,662","$23,437","$266,725,763",2,false
Apr 28,Sunday,1,"$90,389,244",-17.3%,-,"4,662","$19,388","$357,115,007",3,false
Apr 29,Monday,1,"$36,874,439",-59.2%,-,"4,662","$7,909","$393,989,446",4,false
Apr 30,Tuesday,1,"$33,110,349",-10.2%,-,"4,662","$7,102","$427,099,795",5,false
May 1,Wednesday,1,"$25,251,991",-23.7%,-,"4,662","$5,416","$452,351,786",6,false
May 2,Thursday,1,"$21,542,852",-14.7%,-,"4,662","$4,620","$473,894,638",7,false
May 3,Friday,1,"$40,736,774",+89.1%,-74.1%,"4,662","$8,738","$514,631,412",8,false
May 4,Saturday,1,"$61,527,049",+51%,-43.7%,"4,662","$13,197","$576,158,461",9,false
May 5,Sunday,1,"$45,119,388",-26.7%,-50.1%,"4,662","$9,678","$621,277,849",10,false
May 6,Monday,1,"$10,709,607",-76.3%,-71%,"4,662","$2,297","$631,987,456",11,false
May 7,Tuesday,1,"$12,518,963",+16.9%,-62.2%,"4,662","$2,685","$644,506,419",12,false
May 8,Wednesday,1,"$8,429,166",-32.7%,-66.6%,"4,662","$1,808","$652,935,585",13,false
May 9,Thursday,1,"$7,510,154",-10.9%,-65.1%,"4,662","$1,610","$660,445,739",14,false
May 10,Friday,2,"$16,190,479",+115.6%,-60.3%,"4,662","$3,472","$676,636,218",15,false
May 11,Saturday,1,"$27,542,359",+70.1%,-55.2%,"4,662","$5,907","$704,178,577",16,false
May 12,Sunday,1,"$19,567,066",-29%,-56.6%,"4,662","$4,197","$723,745,643",17,false
May 13,Monday,1,"$4,702,092",-76%,-56.1%,"4,662","$1,008","$728,447,735",18,false
May 14,Tuesday,1,"$5,742,618",+22.1%,-54.1%,"4,662","$1,231","$734,190,353",19,false
May 15,Wednesday,1,"$3,788,021",-34%,-55.1%,"4,662",$812,"$737,978,374",20,false
May 16,Thursday,1,"$3,416,496",-9.8%,-54.5%,"4,662",$732,"$741,394,870",21,false
May 17,Friday,2,"$7,470,727",+118.7%,-53.9%,"4,220","$1,770","$748,865,597",22,false
May 18,Saturday,2,"$12,903,478",+72.7%,-53.2%,"4,220","$3,057","$761,769,075",23,false
May 19,Sunday,2,"$9,599,300",-25.6%,-50.9%,"4,220","$2,274","$771,368,375",24,false
May 20,Monday,2,"$3,162,240",-67.1%,-32.7%,"4,220",$749,"$774,530,615",25,false
May 21,Tuesday,2,"$2,900,871",-8.3%,-49.5%,"4,220",$687,"$777,431,486",26,false
May 22,Wednesday,2,"$1,994,512",-31.2%,-47.3%,"4,220",$472,"$779,425,998",27,false
May 23,Thursday,2,"$1,905,738",-4.5%,-44.2%,"4,220",$451,"$781,331,736",28,false
May 24,Friday,3,"$4,278,676",+124.5%,-42.7%,"3,810","$1,123","$785,610,412",29,false
May 25,Saturday,3,"$6,452,368",+50.8%,-50%,"3,810","$1,693","$792,062,780",30,false
May 26,Sunday,3,"$6,469,698",+0.3%,-32.6%,"3,810","$1,698","$798,532,478",31,false
May 27Memorial Day,Monday,3,"$4,863,113",-24.8%,+53.8%,"3,810","$1,276","$803,395,591",32,false
May 28,Tuesday,3,"$1,867,668",-61.6%,-35.6%,"3,810",$490,"$805,263,259",33,false
May 29,Wednesday,3,"$1,288,624",-31%,-35.4%,"3,810",$338,"$806,551,883",34,false
