Date,DOW,Rank,Daily,%± YD,%± LW,Theaters,Avg,To Date,Day,Estimated
Apr 27,Friday,1,"$106,334,939",-,-,"4,474","$23,767","$106,334,939",1,false
Apr 28,Saturday,1,"$82,131,612",-22.8%,-,"4,474","$18,357","$188,466,551",2,false
Apr 29,Sunday,1,"$69,231,632",-15.7%,-,"4,474","$15,474","$257,698,183",3,false
Apr 30,Monday,1,"$24,740,117",-64.3%,-,"4,474","$5,529","$282,438,300",4,false
May 1,Tuesday,1,"$23,426,108",-5.3%,-,"4,474","$5,236","$305,864,408",5,false
May 2,Wednesday,1,"$16,966,862",-27.6%,-,"4,474","$3,792","$322,831,270",6,false
May 3,Thursday,1,"$15,501,270",-8.6%,-,"4,474","$3,464","$338,332,540",7,false
May 4,Friday,1,"$31,453,749",+102.9%,-70.4%,"4,474","$7,030","$369,786,289",8,false
May 5,Saturday,1,"$46,676,705",+48.4%,-43.2%,"4,474","$10,432","$416,462,994",9,false
May 6,Sunday,1,"$36,644,356",-21.5%,-47.1%,"4,474","$8,190","$453,107,350",10,false
May 7,Monday,1,"$8,283,575",-77.4%,-66.5%,"4,474","$1,851","$461,390,925",11,false
May 8,Tuesday,1,"$10,673,500",+28.9%,-54.4%,"4,474","$2,385","$472,064,425",12,false
May 9,Wednesday,1,"$7,051,981",-33.9%,-58.4%,"4,474","$1,576","$479,116,406",13,false
May 10,Thursday,1,"$6,895,697",-2.2%,-55.5%,"4,474","$1,541","$486,012,103",14,false
May 11,Friday,1,"$15,986,612",+131.8%,-49.2%,"4,474","$3,573","$501,998,715",15,false
May 12,Saturday,1,"$26,938,937",+68.5%,-42.3%,"4,474","$6,021","$528,937,652",16,false
May 13,Sunday,1,"$19,152,498",-28.9%,-47.7%,"4,474","$4,280","$548,090,150",17,false
May 14,Monday,1,"$4,625,938",-75.8%,-44.2%,"4,474","$1,033","$552,716,088",18,false
May 15,Tuesday,1,"$6,009,292",+29.9%,-43.7%,"4,474","$1,343","$558,725,380",19,false
May 16,Wednesday,1,"$4,193,985",-30.2%,-40.5%,"4,474",$937,"$562,919,365",20,false
May 17,Thursday,1,"$3,441,594",-17.9%,-50.1%,"4,474",$769,"$566,360,959",21,false
May 18,Friday,2,"$7,306,785",+112.3%,-54.3%,"4,002","$1,825","$573,667,744",22,false
May 19,Saturday,2,"$12,791,859",+75.1%,-52.5%,"4,002","$3,196","$586,459,603",23,false
May 20,Sunday,2,"$9,354,259",-26.9%,-51.2%,"4,002","$2,337","$595,813,862",24,false
May 21,Monday,2,"$2,708,094",-71%,-41.5%,"4,002",$676,"$598,521,956",25,false
May 22,Tuesday,2,"$2,859,727",+5.6%,-52.4%,"4,002",$714,"$601,381,683",26,false
May 23,Wednesday,3,"$1,901,495",-33.5%,-54.7%,"4,002",$475,"$603,283,178",27,false
May 24,Thursday,2,"$1,911,460",+0.5%,-44.5%,"4,002",$477,"$605,194,638",28,false
May 25,Friday,3,"$4,234,857",+121.6%,-42%,"3,768","$1,123","$609,429,495",29,false
May 26,Saturday,3,"$6,473,278",+52.9%,-49.4%,"3,768","$1,717","$615,902,773",30,false
May 27,Sunday,3,"$6,586,522",+1.7%,-29.6%,"3,768","$1,748","$622,489,295",31,false
May 28Memorial Day,Monday,3,"$5,159,885",-21.7%,+90.5%,"3,768","$1,369","$627,649,180",32,false
May 29,Tuesday,3,"$1,978,217",-61.7%,-30.8%,"3,768",$525,"$629,627,397",33,false
May 30,Wednesday,4,"$1,464,526",-26%,-23%,"3,768",$388,"$631,091,923",34,false
May 31,Thursday,4,"$1,407,009",-3.9%,-26.4%,"3,768",$373,"$632,498,932",35,false
Jun 1,Friday,4,"$2,819,868",+100.4%,-33.4%,"3,570",$789,"$635,318,800",36,false
Jun 2,Saturday,3,"$4,511,768",+60%,-30.3%,"3,570","$1,263","$639,830,568",37,false
Jun 3,Sunday,3,"$3,175,643",-29.6%,-51.8%,"3,570",$889,"$643,006,211",38,false
Jun 4,Monday,4,"$1,163,591",-63.4%,-77.4%,"3,570",$325,"$644,169,802",39,false
Jun 5,Tuesday,5,"$1,555,271",+33.7%,-21.4%,"3,570",$435,"$645,725,073",40,false
Jun 6,Wednesday,5,"$1,073,676",-31%,-26.7%,"3,570",$300,"$646,798,749",41,false
Jun 7,Thursday,3,"$1,098,950",+2.4%,-21.9%,"3,570",$307,"$647,897,699",42,false
Jun 8,Friday,5,"$1,836,286",+67.1%,-34.9%,"2,882",$637,"$649,733,985",43,false
Jun 9,Saturday,5,"$2,998,633",+63.3%,-33.5%,"2,882","$1,040","$652,732,618",44,false
Jun 10,Sunday,5,"$2,403,780",-19.8%,-24.3%,"2,882",$834,"$655,136,398",45,false
Jun 11,Monday,5,"$922,933",-61.6%,-20.7%,"2,882",$320,"$656,059,331",46,false
Jun 12,Tuesday,5,"$1,182,541",+28.1%,-24%,"2,882",$410,"$657,241,872",47,false
Jun 13,Wednesday,6,"$895,177",-24.3%,-16.6%,"2,882",$310,"$658,137,049",48,false
Jun 14World Cup (Russia),Thursday,6,"$766,901",-14.3%,-30.2%,"2,882",$266,"$658,903,950",49,false
