Date,DOW,Rank,Daily,%± YD,%± LW,Theaters,Avg,To Date,Day,Estimated
Nov 11,Friday,1,"$84,285,721",-,-,"4,396","$19,173","$84,285,721",1,false
Nov 12,Saturday,1,"$56,131,051",-33.4%,-,"4,396","$12,768","$140,416,772",2,false
Nov 13,Sunday,1,"$40,922,989",-27.1%,-,"4,396","$9,309","$181,339,761",3,false
Nov 14,Monday,1,"$11,125,499",-72.8%,-,"4,396","$2,530","$192,465,260",4,false
Nov 15,Tuesday,1,"$12,636,707",+13.6%,-,"4,396","$2,874","$205,101,967",5,false
Nov 16,Wednesday,1,"$8,110,601",-35.8%,-,"4,396","$1,844","$213,212,568",6,false
Nov 17,Thursday,1,"$7,480,079",-7.8%,-,"4,396","$1,701","$220,692,647",7,false
Nov 18,Friday,1,"$17,999,138",+140.6%,-78.6%,"4,396","$4,094","$238,691,785",8,false
Nov 19,Saturday,1,"$28,772,668",+59.9%,-48.7%,"4,396","$6,545","$267,464,453",9,false
Nov 20,Sunday,1,"$19,710,460",-31.5%,-51.8%,"4,396","$4,483","$287,174,913",10,false
Nov 21World Cup (Qatar),Monday,1,"$7,002,759",-64.5%,-37.1%,"4,396","$1,592","$294,177,672",11,false
Nov 22World Cup (Qatar),Tuesday,1,"$9,492,924",+35.6%,-24.9%,"4,396","$2,159","$303,670,596",12,false
Nov 23World Cup (Qatar),Wednesday,1,"$10,052,869",+5.9%,+23.9%,"4,290","$2,343","$313,723,465",13,false
Nov 24ThanksgivingWorld Cup (Qatar),Thursday,1,"$8,164,083",-18.8%,+9.1%,"4,290","$1,903","$321,887,548",14,false
Nov 25World Cup (Qatar),Friday,1,"$18,230,476",+123.3%,+1.3%,"4,290","$4,249","$340,118,024",15,false
Nov 26World Cup (Qatar),Saturday,1,"$17,599,193",-3.5%,-38.8%,"4,290","$4,102","$357,717,217",16,false
Nov 27World Cup (Qatar),Sunday,1,"$9,754,235",-44.6%,-50.5%,"4,290","$2,273","$367,471,452",17,false
Nov 28World Cup (Qatar),Monday,1,"$2,208,258",-77.4%,-68.5%,"4,290",$514,"$369,679,710",18,false
Nov 29World Cup (Qatar),Tuesday,1,"$2,681,411",+21.4%,-71.8%,"4,290",$625,"$372,361,121",19,false
Nov 30World Cup (Qatar),Wednesday,1,"$1,918,716",-28.4%,-80.9%,"4,290",$447,"$374,279,837",20,false
Dec 1World Cup (Qatar),Thursday,1,"$1,851,240",-3.5%,-77.3%,"4,290",$431,"$376,131,077",21,false
Dec 2World Cup (Qatar),Friday,2,"$4,459,381",+140.9%,-75.5%,"3,855","$1,156","$380,590,458",22,false
Dec 3World Cup (Qatar),Saturday,1,"$8,171,837",+83.3%,-53.6%,"3,855","$2,119","$388,762,295",23,false
Dec 4World Cup (Qatar),Sunday,1,"$4,908,833",-39.9%,-49.7%,"3,855","$1,273","$393,671,128",24,false
Dec 5World Cup (Qatar),Monday,1,"$1,162,850",-76.3%,-47.3%,"3,855",$301,"$394,833,978",25,false
Dec 6World Cup (Qatar),Tuesday,1,"$1,567,075",+34.8%,-41.6%,"3,855",$406,"$396,401,053",26,false
Dec 7World Cup (Qatar),Wednesday,1,"$1,144,653",-27%,-40.3%,"3,855",$296,"$397,545,706",27,false
Dec 8World Cup (Qatar),Thursday,1,"$1,165,072",+1.8%,-37.1%,"3,855",$302,"$398,710,778",28,false
Dec 9World Cup (Qatar),Friday,1,"$2,860,689",+145.5%,-35.9%,"3,725",$767,"$401,571,467",29,false
Dec 10World Cup (Qatar),Saturday,1,"$5,178,818",+81%,-36.6%,"3,725","$1,390","$406,750,285",30,false
Dec 11World Cup (Qatar),Sunday,1,"$3,195,195",-38.3%,-34.9%,"3,725",$857,"$409,945,480",31,false
Dec 12World Cup (Qatar),Monday,1,"$903,453",-71.7%,-22.3%,"3,725",$242,"$410,848,933",32,false
Dec 13World Cup (Qatar),Tuesday,1,"$1,144,342",+26.7%,-27%,"3,725",$307,"$411,993,275",33,false
Dec 14World Cup (Qatar),Wednesday,1,"$909,059",-20.6%,-20.6%,"3,725",$244,"$412,902,334",34,false
Dec 15World Cup (Qatar),Thursday,1,"$688,851",-24.2%,-40.9%,"3,725",$184,"$413,591,185",35,false
Dec 16World Cup (Qatar),Friday,2,"$1,459,454",+111.9%,-49%,"3,380",$431,"$415,050,639",36,false
Dec 17World Cup (Qatar),Saturday,2,"$2,274,228",+55.8%,-56.1%,"3,380",$672,"$417,324,867",37,false
Dec 18World Cup (Qatar),Sunday,2,"$1,613,161",-29.1%,-49.5%,"3,380",$477,"$418,938,028",38,false
Dec 19,Monday,2,"$836,634",-48.1%,-7.4%,"3,380",$247,"$419,774,662",39,false
Dec 20,Tuesday,2,"$1,100,937",+31.6%,-3.8%,"3,380",$325,"$420,875,599",40,false
Dec 21,Wednesday,3,"$898,080",-18.4%,-1.2%,"3,200",$280,"$421,773,679",41,false
Dec 22,Thursday,3,"$881,722",-1.8%,+28%,"3,200",$275,"$422,655,401",42,false
Dec 23,Friday,5,"$986,968",+11.9%,-32.4%,"2,250",$438,"$423,642,369",43,false
Dec 24,Saturday,4,"$785,679",-20.4%,-65.5%,"2,250",$349,"$424,428,048",44,false
Dec 25Christmas Day,Sunday,5,"$1,719,937",+118.9%,+6.6%,"2,250",$764,"$426,147,985",45,false
