Date,DOW,Rank,Daily,%± YD,%± LW,Theaters,Avg,To Date,Day,Estimated
Jul 22,Friday,1,"$25,700,189",-,-,"3,715","$6,917","$25,700,189",1,false
Jul 23,Saturday,1,"$21,943,393",-14.6%,-,"3,715","$5,906","$47,643,582",2,false
Jul 24,Sunday,1,"$17,414,942",-20.6%,-,"3,715","$4,687","$65,058,524",3,false
Jul 25,Monday,1,"$7,752,188",-55.5%,-,"3,715","$2,086","$72,810,712",4,false
Jul 26,Tuesday,1,"$7,831,121",+1%,-,"3,715","$2,107","$80,641,833",5,false
Jul 27,Wednesday,1,"$5,801,265",-25.9%,-,"3,715","$1,561","$86,443,098",6,false
Jul 28,Thursday,1,"$5,424,170",-6.5%,-,"3,715","$1,460","$91,867,268",7,false
Jul 29,Friday,3,"$7,864,581",+45%,-69.4%,"3,715","$2,116","$99,731,849",8,false
Jul 30,Saturday,3,"$9,939,604",+26.4%,-54.7%,"3,715","$2,675","$109,671,453",9,false
Jul 31,Sunday,3,"$7,750,118",-22%,-55.5%,"3,715","$2,086","$117,421,571",10,false
Aug 1,Monday,3,"$3,438,458",-55.6%,-55.6%,"3,715",$925,"$120,860,029",11,false
Aug 2,Tuesday,3,"$3,621,505",+5.3%,-53.8%,"3,715",$974,"$124,481,534",12,false
Aug 3,Wednesday,3,"$2,986,118",-17.5%,-48.5%,"3,715",$803,"$127,467,652",13,false
Aug 4,Thursday,3,"$2,714,393",-9.1%,-50%,"3,715",$730,"$130,182,045",14,false
Aug 5,Friday,5,"$3,794,738",+39.8%,-51.7%,"3,620","$1,048","$133,976,783",15,false
Aug 6,Saturday,4,"$5,183,685",+36.6%,-47.8%,"3,620","$1,431","$139,160,468",16,false
Aug 7,Sunday,5,"$4,043,499",-22%,-47.8%,"3,620","$1,116","$143,203,967",17,false
Aug 8,Monday,5,"$1,672,605",-58.6%,-51.4%,"3,620",$462,"$144,876,572",18,false
Aug 9,Tuesday,4,"$1,989,856",+19%,-45.1%,"3,620",$549,"$146,866,428",19,false
Aug 10,Wednesday,5,"$1,503,295",-24.5%,-49.7%,"3,620",$415,"$148,369,723",20,false
