Date,DOW,Rank,Daily,%± YD,%± LW,Theaters,Avg,To Date,Day,Estimated
Nov 4,Friday,1,"$32,585,335",-,-,"3,882","$8,393","$32,585,335",1,false
Nov 5,Saturday,1,"$31,368,671",-3.7%,-,"3,882","$8,080","$63,954,006",2,false
Nov 6,Sunday,1,"$21,104,305",-32.7%,-,"3,882","$5,436","$85,058,311",3,false
Nov 7,Monday,1,"$6,209,922",-70.6%,-,"3,882","$1,599","$91,268,233",4,false
Nov 8,Tuesday,1,"$7,658,060",+23.3%,-,"3,882","$1,972","$98,926,293",5,false
Nov 9,Wednesday,1,"$5,061,877",-33.9%,-,"3,882","$1,303","$103,988,170",6,false
Nov 10,Thursday,1,"$5,993,999",+18.4%,-,"3,882","$1,544","$109,982,169",7,false
Nov 11,Friday,1,"$14,926,647",+149%,-54.2%,"3,882","$3,845","$124,908,816",8,false
Nov 12,Saturday,1,"$17,614,185",+18%,-43.8%,"3,882","$4,537","$142,523,001",9,false
Nov 13,Sunday,1,"$10,429,233",-40.8%,-50.6%,"3,882","$2,686","$152,952,234",10,false
Nov 14,Monday,1,"$2,638,728",-74.7%,-57.5%,"3,882",$679,"$155,590,962",11,false
Nov 15,Tuesday,1,"$3,717,306",+40.9%,-51.5%,"3,882",$957,"$159,308,268",12,false
Nov 16,Wednesday,1,"$2,469,584",-33.6%,-51.2%,"3,882",$636,"$161,777,852",13,false
Nov 17,Thursday,1,"$2,089,025",-15.4%,-65.1%,"3,882",$538,"$163,866,877",14,false
Nov 18,Friday,2,"$4,797,445",+129.6%,-67.9%,"3,694","$1,298","$168,664,322",15,false
Nov 19,Saturday,3,"$7,869,847",+64%,-55.3%,"3,694","$2,130","$176,534,169",16,false
Nov 20,Sunday,3,"$5,093,768",-35.3%,-51.2%,"3,694","$1,378","$181,627,937",17,false
Nov 21,Monday,3,"$1,964,998",-61.4%,-25.5%,"3,694",$531,"$183,592,935",18,false
Nov 22,Tuesday,3,"$2,645,540",+34.6%,-28.8%,"3,694",$716,"$186,238,475",19,false
Nov 23,Wednesday,3,"$3,118,747",+17.9%,+26.3%,"3,008","$1,036","$189,357,222",20,false
Nov 24Thanksgiving,Thursday,3,"$2,683,705",-13.9%,+28.5%,"3,008",$892,"$192,040,927",21,false
Nov 25,Friday,3,"$5,482,371",+104.3%,+14.3%,"3,008","$1,822","$197,523,298",22,false
Nov 26,Saturday,3,"$5,426,143",-1%,-31.1%,"3,008","$1,803","$202,949,441",23,false
Nov 27,Sunday,4,"$2,829,431",-47.9%,-44.5%,"3,008",$940,"$205,778,872",24,false
Nov 28,Monday,5,"$709,192",-74.9%,-63.9%,"3,008",$235,"$206,488,064",25,false
Nov 29,Tuesday,5,"$965,951",+36.2%,-63.5%,"3,008",$321,"$207,454,015",26,false
Nov 30,Wednesday,5,"$685,595",-29%,-78%,"3,008",$227,"$208,139,610",27,false
Dec 1,Thursday,5,"$683,567",-0.3%,-74.5%,"3,008",$227,"$208,823,177",28,false
Dec 2,Friday,5,"$1,789,462",+161.8%,-67.4%,"2,935",$609,"$210,612,639",29,false
Dec 3,Saturday,4,"$3,097,547",+73.1%,-42.9%,"2,935","$1,055","$213,710,186",30,false
Dec 4,Sunday,4,"$1,797,543",-42%,-36.5%,"2,935",$612,"$215,507,729",31,false
Dec 5,Monday,5,"$499,818",-72.2%,-29.5%,"2,935",$170,"$216,007,547",32,false
Dec 6,Tuesday,5,"$709,000",+41.9%,-26.6%,"2,935",$241,"$216,716,547",33,false
Dec 7,Wednesday,5,"$514,624",-27.4%,-24.9%,"2,935",$175,"$217,231,171",34,false
Dec 8,Thursday,5,"$500,275",-2.8%,-26.8%,"2,935",$170,"$217,731,446",35,false
Dec 9,Friday,5,"$1,220,454",+144%,-31.8%,"2,763",$441,"$218,951,900",36,false
Dec 10,Saturday,5,"$2,113,956",+73.2%,-31.8%,"2,763",$765,"$221,065,856",37,false
Dec 11,Sunday,5,"$1,201,417",-43.2%,-33.2%,"2,763",$434,"$222,267,273",38,false
Dec 12,Monday,5,"$414,096",-65.5%,-17.2%,"2,763",$149,"$222,681,369",39,false
Dec 13,Tuesday,5,"$572,331",+38.2%,-19.3%,"2,763",$207,"$223,253,700",40,false
Dec 14,Wednesday,5,"$437,236",-23.6%,-15%,"2,763",$158,"$223,690,936",41,false
