Date,DOW,Rank,Daily,%± YD,%± LW,Theaters,Avg,To Date,Day,Estimated
Nov 5,Friday,1,"$30,844,219",-,-,"4,090","$7,541","$30,844,219",1,false
Nov 6,Saturday,1,"$24,124,504",-21.8%,-,"4,090","$5,898","$54,968,723",2,false
Nov 7,Sunday,1,"$16,328,496",-32.3%,-,"4,090","$3,992","$71,297,219",3,false
Nov 8,Monday,1,"$4,262,085",-73.9%,-,"4,090","$1,042","$75,559,304",4,false
Nov 9,Tuesday,1,"$5,250,371",+23.2%,-,"4,090","$1,283","$80,809,675",5,false
Nov 10,Wednesday,1,"$4,211,822",-19.8%,-,"4,090","$1,029","$85,021,497",6,false
Nov 11,Thursday,1,"$6,243,758",+48.2%,-,"4,090","$1,526","$91,265,255",7,false
Nov 12,Friday,1,"$7,839,828",+25.6%,-74.6%,"4,090","$1,916","$99,105,083",8,false
Nov 13,Saturday,1,"$11,868,839",+51.4%,-50.8%,"4,090","$2,901","$110,973,922",9,false
Nov 14,Sunday,1,"$7,141,461",-39.8%,-56.3%,"4,090","$1,746","$118,115,383",10,false
Nov 15,Monday,1,"$1,701,899",-76.2%,-60.1%,"4,090",$416,"$119,817,282",11,false
Nov 16,Tuesday,1,"$2,181,960",+28.2%,-58.4%,"4,090",$533,"$121,999,242",12,false
Nov 17,Wednesday,1,"$1,614,457",-26%,-61.7%,"4,090",$394,"$123,613,699",13,false
Nov 18,Thursday,1,"$1,378,464",-14.6%,-77.9%,"4,090",$337,"$124,992,163",14,false
Nov 19,Friday,2,"$3,035,681",+120.2%,-61.3%,"4,055",$748,"$128,027,844",15,false
Nov 20,Saturday,2,"$4,793,785",+57.9%,-59.6%,"4,055","$1,182","$132,821,629",16,false
Nov 21,Sunday,2,"$3,255,389",-32.1%,-54.4%,"4,055",$802,"$136,077,018",17,false
Nov 22,Monday,2,"$1,471,368",-54.8%,-13.5%,"4,055",$362,"$137,548,386",18,false
Nov 23,Tuesday,2,"$1,693,423",+15.1%,-22.4%,"4,055",$417,"$139,241,809",19,false
Nov 24,Wednesday,5,"$1,923,292",+13.6%,+19.1%,"3,165",$607,"$141,165,101",20,false
Nov 25Thanksgiving,Thursday,4,"$1,645,144",-14.5%,+19.3%,"3,165",$519,"$142,810,245",21,false
Nov 26,Friday,4,"$3,084,350",+87.5%,+1.6%,"3,165",$974,"$145,894,595",22,false
Nov 27,Saturday,4,"$3,120,458",+1.2%,-34.9%,"3,165",$985,"$149,015,053",23,false
Nov 28,Sunday,4,"$1,721,097",-44.8%,-47.1%,"3,165",$543,"$150,736,150",24,false
Nov 29,Monday,4,"$457,013",-73.4%,-68.9%,"3,165",$144,"$151,193,163",25,false
Nov 30,Tuesday,4,"$538,506",+17.8%,-68.2%,"3,165",$170,"$151,731,669",26,false
Dec 1,Wednesday,5,"$424,188",-21.2%,-77.9%,"3,165",$134,"$152,155,857",27,false
Dec 2,Thursday,5,"$433,850",+2.3%,-73.6%,"3,165",$137,"$152,589,707",28,false
Dec 3,Friday,5,"$1,096,675",+152.8%,-64.4%,"3,230",$339,"$153,686,382",29,false
Dec 4,Saturday,4,"$1,827,988",+66.7%,-41.4%,"3,230",$565,"$155,514,370",30,false
Dec 5,Sunday,5,"$1,167,798",-36.1%,-32.1%,"3,230",$361,"$156,682,168",31,false
Dec 6,Monday,5,"$332,321",-71.5%,-27.3%,"3,230",$102,"$157,014,489",32,false
Dec 7,Tuesday,5,"$420,617",+26.6%,-21.9%,"3,230",$130,"$157,435,106",33,false
Dec 8,Wednesday,5,"$334,907",-20.4%,-21%,"3,230",$103,"$157,770,013",34,false
