Date,DOW,Rank,Daily,%± YD,%± LW,Theaters,Avg,To Date,Day,Estimated
Aug 1,Friday,1,"$37,845,336",-,-,"4,080","$9,275","$37,845,336",1,false
Aug 2,Saturday,1,"$30,989,857",-18.1%,-,"4,080","$7,595","$68,835,193",2,false
Aug 3,Sunday,1,"$25,485,690",-17.8%,-,"4,080","$6,246","$94,320,883",3,false
Aug 4,Monday,1,"$11,722,356",-54%,-,"4,080","$2,873","$106,043,239",4,false
Aug 5,Tuesday,1,"$11,907,821",+1.6%,-,"4,080","$2,918","$117,951,060",5,false
Aug 6,Wednesday,1,"$8,808,382",-26%,-,"4,080","$2,158","$126,759,442",6,false
Aug 7,Thursday,1,"$7,631,397",-13.4%,-,"4,080","$1,870","$134,390,839",7,false
Aug 8,Friday,2,"$12,312,683",+61.3%,-67.5%,"4,088","$3,011","$146,703,522",8,false
Aug 9,Saturday,2,"$16,947,112",+37.6%,-45.3%,"4,088","$4,145","$163,650,634",9,false
Aug 10,Sunday,2,"$12,865,127",-24.1%,-49.5%,"4,088","$3,147","$176,515,761",10,false
Aug 11,Monday,2,"$5,343,905",-58.5%,-54.4%,"4,088","$1,307","$181,859,666",11,false
Aug 12,Tuesday,2,"$6,609,534",+23.7%,-44.5%,"4,088","$1,616","$188,469,200",12,false
Aug 13,Wednesday,3,"$4,849,881",-26.6%,-44.9%,"4,088","$1,186","$193,319,081",13,false
Aug 14,Thursday,2,"$4,226,740",-12.8%,-44.6%,"4,088","$1,033","$197,545,821",14,false
Aug 15,Friday,2,"$6,940,576",+64.2%,-43.6%,"3,697","$1,877","$204,486,397",15,false
Aug 16,Saturday,2,"$10,353,882",+49.2%,-38.9%,"3,697","$2,800","$214,840,279",16,false
Aug 17,Sunday,2,"$7,821,106",-24.5%,-39.2%,"3,697","$2,115","$222,661,385",17,false
Aug 18,Monday,1,"$2,884,902",-63.1%,-46%,"3,697",$780,"$225,546,287",18,false
Aug 19,Tuesday,2,"$3,511,416",+21.7%,-46.9%,"3,697",$949,"$229,057,703",19,false
