Date,DOW,Rank,Daily,%± YD,%± LW,Theaters,Avg,To Date,Day,Estimated
May 7,Friday,1,"$51,239,677",-,-,"4,380","$11,698","$51,239,677",1,false
May 8,Saturday,1,"$45,776,170",-10.7%,-,"4,380","$10,451","$97,015,847",2,false
May 9,Sunday,1,"$31,106,633",-32%,-,"4,380","$7,101","$128,122,480",3,false
May 10,Monday,1,"$9,366,982",-69.9%,-,"4,380","$2,138","$137,489,462",4,false
May 11,Tuesday,1,"$8,380,235",-10.5%,-,"4,380","$1,913","$145,869,697",5,false
May 12,Wednesday,1,"$6,951,326",-17.1%,-,"4,380","$1,587","$152,821,023",6,false
May 13,Thursday,1,"$6,338,848",-8.8%,-,"4,380","$1,447","$159,159,871",7,false
May 14,Friday,1,"$15,120,949",+138.5%,-70.5%,"4,390","$3,444","$174,280,820",8,false
May 15,Saturday,1,"$22,642,564",+49.7%,-50.5%,"4,390","$5,157","$196,923,384",9,false
May 16,Sunday,1,"$14,277,492",-36.9%,-54.1%,"4,390","$3,252","$211,200,876",10,false
May 17,Monday,1,"$3,715,485",-74%,-60.3%,"4,390",$846,"$214,916,361",11,false
May 18,Tuesday,1,"$3,565,064",-4%,-57.5%,"4,390",$812,"$218,481,425",12,false
May 19,Wednesday,1,"$3,145,551",-11.8%,-54.7%,"4,390",$716,"$221,626,976",13,false
May 20,Thursday,1,"$3,037,827",-3.4%,-52.1%,"4,390",$691,"$224,664,803",14,false
May 21,Friday,2,"$7,549,509",+148.5%,-50.1%,"4,177","$1,807","$232,214,312",15,false
May 22,Saturday,2,"$11,505,392",+52.4%,-49.2%,"4,177","$2,754","$243,719,704",16,false
May 23,Sunday,2,"$7,306,357",-36.5%,-48.8%,"4,177","$1,749","$251,026,061",17,false
May 24,Monday,2,"$2,215,378",-69.7%,-40.4%,"4,177",$530,"$253,241,439",18,false
May 25,Tuesday,2,"$1,810,492",-18.3%,-49.2%,"4,177",$433,"$255,051,931",19,false
May 26,Wednesday,2,"$1,684,755",-6.9%,-46.4%,"4,177",$403,"$256,736,686",20,false
May 27,Thursday,3,"$1,840,224",+9.2%,-39.4%,"4,177",$440,"$258,576,910",21,false
May 28,Friday,4,"$4,440,472",+141.3%,-41.2%,"3,804","$1,167","$263,017,382",22,false
May 29,Saturday,4,"$6,165,974",+38.9%,-46.4%,"3,804","$1,620","$269,183,356",23,false
May 30,Sunday,4,"$5,852,544",-5.1%,-19.9%,"3,804","$1,538","$275,035,900",24,false
May 31Memorial Day,Monday,4,"$4,617,249",-21.1%,+108.4%,"3,804","$1,213","$279,653,149",25,false
Jun 1,Tuesday,4,"$1,386,018",-70%,-23.4%,"3,804",$364,"$281,039,167",26,false
Jun 2,Wednesday,4,"$1,220,457",-11.9%,-27.6%,"3,804",$320,"$282,259,624",27,false
Jun 3,Thursday,4,"$1,251,538",+2.5%,-32%,"3,804",$329,"$283,511,162",28,false
Jun 4,Friday,8,"$2,189,199",+74.9%,-50.7%,"3,007",$728,"$285,700,361",29,false
Jun 5,Saturday,7,"$3,482,014",+59.1%,-43.5%,"3,007","$1,157","$289,182,375",30,false
Jun 6,Sunday,7,"$2,247,495",-35.5%,-61.6%,"3,007",$747,"$291,429,870",31,false
Jun 7,Monday,7,"$802,229",-64.3%,-82.6%,"3,007",$266,"$292,232,099",32,false
Jun 8,Tuesday,7,"$827,461",+3.1%,-40.3%,"3,007",$275,"$293,059,560",33,false
Jun 9,Wednesday,7,"$848,031",+2.5%,-30.5%,"3,007",$282,"$293,907,591",34,false
Jun 10,Thursday,7,"$853,593",+0.7%,-31.8%,"3,007",$283,"$294,761,184",35,false
Jun 11World Cup (South Africa),Friday,9,"$1,342,063",+57.2%,-38.7%,"2,305",$582,"$296,103,247",36,false
Jun 12World Cup (South Africa),Saturday,9,"$1,936,638",+44.3%,-44.4%,"2,305",$840,"$298,039,885",37,false
