Date,DOW,Rank,Daily,%± YD,%± LW,Theaters,Avg,To Date,Day,Estimated
May 1,Thursday,1,"$3,500,000",-,-,"2,500","$1,400","$3,500,000",-,true
May 2,Friday,1,"$35,234,361",-,-,"4,105","$8,583","$38,734,361",1,false
May 3,Saturday,1,"$37,350,099",+6%,-,"4,105","$9,098","$76,084,460",2,false
May 4,Sunday,1,"$26,034,208",-30.3%,-,"4,105","$6,342","$102,118,668",3,false
May 5,Monday,1,"$6,934,568",-73.4%,-,"4,105","$1,689","$109,053,236",4,false
May 6,Tuesday,1,"$6,505,784",-6.2%,-,"4,105","$1,584","$115,559,020",5,false
May 7,Wednesday,1,"$5,747,344",-11.7%,-,"4,105","$1,400","$121,306,364",6,false
May 8,Thursday,1,"$5,328,031",-7.3%,-,"4,105","$1,297","$126,634,395",7,false
May 9,Friday,1,"$14,873,192",+179.1%,-57.8%,"4,111","$3,617","$141,507,587",8,false
May 10,Saturday,1,"$21,374,629",+43.7%,-42.8%,"4,111","$5,199","$162,882,216",9,false
May 11,Sunday,1,"$14,942,808",-30.1%,-42.6%,"4,111","$3,634","$177,825,024",10,false
May 12,Monday,1,"$3,850,844",-74.2%,-44.5%,"4,111",$936,"$181,675,868",11,false
May 13,Tuesday,1,"$3,357,146",-12.8%,-48.4%,"4,111",$816,"$185,033,014",12,false
May 14,Wednesday,1,"$3,082,988",-8.2%,-46.4%,"4,111",$749,"$188,116,002",13,false
May 15,Thursday,1,"$3,169,387",+2.8%,-40.5%,"4,111",$770,"$191,285,389",14,false
May 16,Friday,2,"$8,659,239",+173.2%,-41.8%,"4,154","$2,084","$199,944,628",15,false
May 17,Saturday,2,"$13,431,355",+55.1%,-37.2%,"4,154","$3,233","$213,375,983",16,false
May 18,Sunday,2,"$9,748,402",-27.4%,-34.8%,"4,154","$2,346","$223,124,385",17,false
May 19,Monday,2,"$3,072,182",-68.5%,-20.2%,"4,154",$739,"$226,196,567",18,false
May 20,Tuesday,2,"$2,219,928",-27.7%,-33.9%,"4,154",$534,"$228,416,495",19,false
May 21,Wednesday,2,"$1,926,258",-13.2%,-37.5%,"4,154",$463,"$230,342,753",20,false
May 22,Thursday,3,"$1,824,663",-5.3%,-42.4%,"4,154",$439,"$232,167,416",21,false
May 23,Friday,3,"$5,437,126",+198%,-37.2%,"3,915","$1,388","$237,604,542",22,false
May 24,Saturday,3,"$7,898,842",+45.3%,-41.2%,"3,915","$2,017","$245,503,384",23,false
May 25,Sunday,3,"$7,111,285",-10%,-27.1%,"3,915","$1,816","$252,614,669",24,false
May 26Memorial Day,Monday,3,"$5,663,877",-20.4%,+84.4%,"3,915","$1,446","$258,278,546",25,false
May 27,Tuesday,3,"$1,561,073",-72.4%,-29.7%,"3,915",$398,"$259,839,619",26,false
May 28,Wednesday,3,"$1,395,588",-10.6%,-27.5%,"3,915",$356,"$261,235,207",27,false
May 29,Thursday,3,"$1,389,865",-0.4%,-23.8%,"3,915",$355,"$262,625,072",28,false
May 30,Friday,4,"$3,783,237",+172.2%,-30.4%,"3,650","$1,036","$266,408,309",29,false
May 31,Saturday,4,"$6,068,126",+60.4%,-23.2%,"3,650","$1,662","$272,476,435",30,false
Jun 1,Sunday,4,"$3,689,901",-39.2%,-48.1%,"3,650","$1,010","$276,166,336",31,false
Jun 2,Monday,4,"$1,230,719",-66.6%,-78.3%,"3,650",$337,"$277,397,055",32,false
Jun 3,Tuesday,4,"$1,336,009",+8.6%,-14.4%,"3,650",$366,"$278,733,064",33,false
Jun 4,Wednesday,4,"$1,312,678",-1.7%,-5.9%,"3,650",$359,"$280,045,742",34,false
Jun 5,Thursday,4,"$1,324,459",+0.9%,-4.7%,"3,650",$362,"$281,370,201",35,false
Jun 6,Friday,6,"$2,187,329",+65.1%,-42.2%,"2,931",$746,"$283,557,530",36,false
Jun 7,Saturday,6,"$3,164,558",+44.7%,-47.8%,"2,931","$1,079","$286,722,088",37,false
Jun 8,Sunday,6,"$2,125,552",-32.8%,-42.4%,"2,931",$725,"$288,847,640",38,false
Jun 9,Monday,6,"$893,971",-57.9%,-27.4%,"2,931",$305,"$289,741,611",39,false
Jun 10,Tuesday,6,"$859,778",-3.8%,-35.6%,"2,931",$293,"$290,601,389",40,false
Jun 11,Wednesday,6,"$857,937",-0.2%,-34.6%,"2,931",$292,"$291,459,326",41,false
Jun 12,Thursday,6,"$838,628",-2.3%,-36.7%,"2,931",$286,"$292,297,954",42,false
Jun 13,Friday,8,"$1,466,126",+74.8%,-33%,"2,403",$610,"$293,764,080",43,false
Jun 14,Saturday,7,"$2,119,187",+44.5%,-33%,"2,403",$881,"$295,883,267",44,false
Jun 15,Sunday,7,"$2,035,062",-4%,-4.3%,"2,403",$846,"$297,918,329",45,false
Jun 16,Monday,7,"$720,888",-64.6%,-19.4%,"2,403",$299,"$298,639,217",46,false
Jun 17,Tuesday,7,"$680,253",-5.6%,-20.9%,"2,403",$283,"$299,319,470",47,false
Jun 18,Wednesday,7,"$723,320",+6.3%,-15.7%,"2,403",$301,"$300,042,790",48,false
Jun 19,Thursday,7,"$743,079",+2.7%,-11.4%,"2,403",$309,"$300,785,869",49,false
