Date,DOW,Rank,Daily,%± YD,%± LW,Theaters,Avg,To Date,Day,Estimated
Dec 17,Friday,1,"$121,964,712",-,-,"4,336","$28,128","$121,964,712",1,false
Dec 18,Saturday,1,"$73,941,279",-39.4%,-,"4,336","$17,052","$195,905,991",2,false
Dec 19,Sunday,1,"$64,232,578",-13.1%,-,"4,336","$14,813","$260,138,569",3,false
Dec 20,Monday,1,"$37,138,318",-42.2%,-,"4,336","$8,565","$297,276,887",4,false
Dec 21,Tuesday,1,"$31,408,657",-15.4%,-,"4,336","$7,243","$328,685,544",5,false
Dec 22,Wednesday,1,"$27,846,311",-11.3%,-,"4,336","$6,422","$356,531,855",6,false
Dec 23,Thursday,1,"$29,333,622",+5.3%,-,"4,336","$6,765","$385,865,477",7,false
Dec 24,Friday,1,"$19,655,506",-33%,-83.9%,"4,336","$4,533","$405,520,983",8,false
Dec 25Christmas Day,Saturday,1,"$31,609,749",+60.8%,-57.3%,"4,336","$7,290","$437,130,732",9,false
Dec 26,Sunday,1,"$33,283,250",+5.3%,-48.2%,"4,336","$7,676","$470,413,982",10,false
Dec 27,Monday,1,"$24,770,593",-25.6%,-33.3%,"4,336","$5,712","$495,184,575",11,false
Dec 28,Tuesday,1,"$21,346,817",-13.8%,-32%,"4,336","$4,923","$516,531,392",12,false
Dec 29,Wednesday,1,"$20,327,774",-4.8%,-27%,"4,336","$4,688","$536,859,166",13,false
Dec 30,Thursday,1,"$20,717,908",+1.9%,-29.4%,"4,336","$4,778","$557,577,074",14,false
Dec 31New Year's Eve,Friday,1,"$15,407,695",-25.6%,-21.6%,"4,206","$3,663","$572,984,769",15,false
Jan 1New Year's Day,Saturday,1,"$23,112,936",+50%,-26.9%,"4,206","$5,495","$596,097,705",16,false
Jan 2,Sunday,1,"$17,502,959",-24.3%,-47.4%,"4,206","$4,161","$613,600,664",17,false
Jan 3,Monday,1,"$7,908,732",-54.8%,-68.1%,"4,206","$1,880","$621,509,396",18,false
Jan 4,Tuesday,1,"$5,918,802",-25.2%,-72.3%,"4,206","$1,407","$627,428,198",19,false
Jan 5,Wednesday,1,"$4,383,219",-25.9%,-78.4%,"4,206","$1,042","$631,811,417",20,false
Jan 6,Thursday,1,"$3,926,778",-10.4%,-81%,"4,206",$933,"$635,738,195",21,false
Jan 7,Friday,1,"$8,303,811",+111.5%,-46.1%,"4,012","$2,069","$644,042,006",22,false
Jan 8,Saturday,1,"$14,828,927",+78.6%,-35.8%,"4,012","$3,696","$658,870,933",23,false
Jan 9,Sunday,1,"$9,485,183",-36%,-45.8%,"4,012","$2,364","$668,356,116",24,false
Jan 10,Monday,1,"$2,426,248",-74.4%,-69.3%,"4,012",$604,"$670,782,364",25,false
Jan 11,Tuesday,1,"$2,787,987",+14.9%,-52.9%,"4,012",$694,"$673,570,351",26,false
Jan 12,Wednesday,1,"$2,242,906",-19.6%,-48.8%,"4,012",$559,"$675,813,257",27,false
Jan 13,Thursday,1,"$2,110,817",-5.9%,-46.2%,"4,012",$526,"$677,924,074",28,false
Jan 14,Friday,2,"$5,179,723",+145.4%,-37.6%,"3,925","$1,319","$683,103,797",29,false
Jan 15,Saturday,2,"$8,689,649",+67.8%,-41.4%,"3,925","$2,213","$691,793,446",30,false
Jan 16,Sunday,2,"$6,224,873",-28.4%,-34.4%,"3,925","$1,585","$698,018,319",31,false
Jan 17MLK Day,Monday,1,"$4,555,918",-26.8%,+87.8%,"3,925","$1,160","$702,574,237",32,false
Jan 18,Tuesday,2,"$1,647,714",-63.8%,-40.9%,"3,925",$419,"$704,221,951",33,false
Jan 19,Wednesday,2,"$1,331,545",-19.2%,-40.6%,"3,925",$339,"$705,553,496",34,false
Jan 20,Thursday,2,"$1,332,492",<0.1%,-36.9%,"3,925",$339,"$706,885,988",35,false
Jan 21,Friday,2,"$3,492,340",+162.1%,-32.6%,"3,705",$942,"$710,378,328",36,false
Jan 22,Saturday,1,"$6,518,119",+86.6%,-25%,"3,705","$1,759","$716,896,447",37,false
Jan 23,Sunday,1,"$3,995,155",-38.7%,-35.8%,"3,705","$1,078","$720,891,602",38,false
Jan 24,Monday,1,"$973,653",-75.6%,-78.6%,"3,705",$262,"$721,865,255",39,false
Jan 25,Tuesday,1,"$1,121,804",+15.2%,-31.9%,"3,705",$302,"$722,987,059",40,false
Jan 26,Wednesday,1,"$938,951",-16.3%,-29.5%,"3,705",$253,"$723,926,010",41,false
Jan 27,Thursday,1,"$960,270",+2.3%,-27.9%,"3,705",$259,"$724,886,280",42,false
Jan 28,Friday,1,"$2,750,994",+186.5%,-21.2%,"3,675",$748,"$727,637,274",43,false
Jan 29,Saturday,1,"$5,397,060",+96.2%,-17.2%,"3,675","$1,468","$733,034,334",44,false
Jan 30,Sunday,1,"$2,855,474",-47.1%,-28.5%,"3,675",$776,"$735,889,808",45,false
Jan 31,Monday,1,"$910,449",-68.1%,-6.5%,"3,675",$247,"$736,800,257",46,false
Feb 1,Tuesday,1,"$1,044,982",+14.8%,-6.8%,"3,675",$284,"$737,845,239",47,false
Feb 2,Wednesday,1,"$795,807",-23.8%,-15.2%,"3,675",$216,"$738,641,046",48,false
Feb 3,Thursday,1,"$710,561",-10.7%,-26%,"3,675",$193,"$739,351,607",49,false
Feb 4,Friday,3,"$2,048,482",+188.3%,-25.5%,"3,600",$569,"$741,400,089",50,false
Feb 5,Saturday,2,"$4,640,960",+126.6%,-14%,"3,600","$1,289","$746,041,049",51,false
Feb 6,Sunday,2,"$2,817,883",-39.3%,-1.3%,"3,600",$782,"$748,858,932",52,false
Feb 7,Monday,2,"$722,957",-74.3%,-20.6%,"3,600",$200,"$749,581,889",53,false
Feb 8,Tuesday,3,"$847,136",+17.2%,-18.9%,"3,600",$235,"$750,429,025",54,false
Feb 9,Wednesday,2,"$696,548",-17.8%,-12.5%,"3,600",$193,"$751,125,573",55,false
Feb 10,Thursday,2,"$725,244",+4.1%,+2.1%,"3,600",$201,"$751,850,817",56,false
Feb 11,Friday,4,"$1,918,117",+164.5%,-6.4%,"3,300",$581,"$753,768,934",57,false
Feb 12,Saturday,3,"$3,928,608",+104.8%,-15.3%,"3,300","$1,190","$757,697,542",58,false
Feb 13,Sunday,2,"$1,675,005",-57.4%,-40.6%,"3,300",$507,"$759,372,547",59,false
Feb 14,Monday,4,"$1,616,139",-3.5%,+123.5%,"3,300",$489,"$760,988,686",60,false
Feb 15,Tuesday,4,"$755,915",-53.2%,-10.8%,"3,300",$229,"$761,744,601",61,false
Feb 16,Wednesday,3,"$620,281",-17.9%,-10.9%,"3,300",$187,"$762,364,882",62,false
Feb 17,Thursday,3,"$575,804",-7.2%,-20.6%,"3,300",$174,"$762,940,686",63,false
Feb 18,Friday,4,"$1,739,586",+202.1%,-9.3%,"2,956",$588,"$764,680,272",64,false
Feb 19,Saturday,3,"$3,168,597",+82.1%,-19.3%,"2,956","$1,071","$767,848,869",65,false
Feb 20,Sunday,3,"$2,550,774",-19.5%,+52.3%,"2,956",$862,"$770,399,643",66,false
Feb 21Presidents' Day,Monday,3,"$1,770,762",-30.6%,+9.6%,"2,956",$599,"$772,170,405",67,false
Feb 22,Tuesday,3,"$800,624",-54.8%,+5.9%,"2,956",$270,"$772,971,029",68,false
Feb 23,Wednesday,3,"$580,425",-27.5%,-6.4%,"2,956",$196,"$773,551,454",69,false
Feb 24,Thursday,3,"$585,493",+0.9%,+1.7%,"2,956",$198,"$774,136,947",70,false
Feb 25,Friday,3,"$1,308,511",+123.5%,-24.8%,"3,002",$435,"$775,445,458",71,false
Feb 26,Saturday,3,"$2,780,579",+112.5%,-12.2%,"3,002",$926,"$778,226,037",72,false
Feb 27,Sunday,3,"$1,712,494",-38.4%,-32.9%,"3,002",$570,"$779,938,531",73,false
Feb 28,Monday,3,"$480,328",-72%,-72.9%,"3,002",$160,"$780,418,859",74,false
Mar 1,Tuesday,3,"$688,856",+43.4%,-14%,"3,002",$229,"$781,107,715",75,false
Mar 2,Wednesday,3,"$516,190",-25.1%,-11.1%,"3,002",$171,"$781,623,905",76,false
Mar 3,Thursday,3,"$464,318",-10%,-20.7%,"3,002",$154,"$782,088,223",77,false
Mar 4,Friday,4,"$1,074,371",+131.4%,-17.9%,"2,709",$396,"$783,162,594",78,false
Mar 5,Saturday,4,"$2,064,870",+92.2%,-25.7%,"2,709",$762,"$785,227,464",79,false
Mar 6,Sunday,4,"$1,380,382",-33.1%,-19.4%,"2,709",$509,"$786,607,846",80,false
Mar 7,Monday,4,"$381,075",-72.4%,-20.7%,"2,709",$140,"$786,988,921",81,false
Mar 8,Tuesday,4,"$444,353",+16.6%,-35.5%,"2,709",$164,"$787,433,274",82,false
Mar 9,Wednesday,4,"$377,264",-15.1%,-26.9%,"2,709",$139,"$787,810,538",83,false
Mar 10,Thursday,4,"$400,416",+6.1%,-13.8%,"2,709",$147,"$788,210,954",84,false
Mar 11,Friday,5,"$974,427",+143.4%,-9.3%,"2,702",$360,"$789,185,381",85,false
Mar 12,Saturday,5,"$1,865,274",+91.4%,-9.7%,"2,702",$690,"$791,050,655",86,false
Mar 13,Sunday,4,"$1,210,346",-35.1%,-12.3%,"2,702",$447,"$792,261,001",87,false
Mar 14,Monday,4,"$496,163",-59%,+30.2%,"2,702",$183,"$792,757,164",88,false
Mar 15,Tuesday,4,"$614,855",+23.9%,+38.4%,"2,702",$227,"$793,372,019",89,false
Mar 16,Wednesday,4,"$505,592",-17.8%,+34%,"2,702",$187,"$793,877,611",90,false
Mar 17,Thursday,4,"$465,942",-7.8%,+16.4%,"2,702",$172,"$794,343,553",91,false
Mar 18,Friday,6,"$885,424",+90%,-9.1%,"2,585",$342,"$795,228,977",92,false
Mar 19,Saturday,6,"$1,450,489",+63.8%,-22.2%,"2,585",$561,"$796,679,466",93,false
Mar 20,Sunday,6,"$805,522",-44.5%,-33.4%,"2,585",$311,"$797,484,988",94,false
Mar 21,Monday,7,"$246,513",-69.4%,-50.3%,"2,585",$95,"$797,731,501",95,false
Mar 22,Tuesday,6,"$325,297",+32%,-47.1%,"2,585",$125,"$798,056,798",96,false
Mar 23,Wednesday,6,"$275,632",-15.3%,-45.5%,"2,585",$106,"$798,332,430",97,false
Mar 24,Thursday,6,"$255,709",-7.2%,-45.1%,"2,585",$98,"$798,588,139",98,false
Mar 25,Friday,8,"$510,695",+99.7%,-42.3%,"2,003",$254,"$799,098,834",99,false
Mar 26,Saturday,7,"$930,902",+82.3%,-35.8%,"2,003",$464,"$800,029,736",100,false
Mar 27,Sunday,7,"$559,828",-39.9%,-30.5%,"2,003",$279,"$800,589,564",101,false
Mar 28,Monday,8,"$174,630",-68.8%,-29.2%,"2,003",$87,"$800,764,194",102,false
Mar 29,Tuesday,7,"$206,114",+18%,-36.6%,"2,003",$102,"$800,970,308",103,false
Mar 30,Wednesday,7,"$167,042",-19%,-39.4%,"2,003",$83,"$801,137,350",104,false
Mar 31,Thursday,7,"$166,817",-0.1%,-34.8%,"2,003",$83,"$801,304,167",105,false
Apr 1,Friday,7,"$385,985",+131.4%,-24.4%,"1,705",$226,"$801,690,152",106,false
Apr 2,Saturday,7,"$675,259",+74.9%,-27.5%,"1,705",$396,"$802,365,411",107,false
Apr 3,Sunday,7,"$380,761",-43.6%,-32%,"1,705",$223,"$802,746,172",108,false
Apr 4,Monday,9,"$98,951",-74%,-43.3%,"1,705",$58,"$802,845,123",109,false
Apr 5,Tuesday,9,"$138,152",+39.6%,-33%,"1,705",$81,"$802,983,275",110,false
Apr 6,Wednesday,9,"$112,657",-18.5%,-32.6%,"1,705",$66,"$803,095,932",111,false
Apr 7,Thursday,10,"$94,916",-15.7%,-43.1%,"1,705",$55,"$803,190,848",112,false
Apr 8,Friday,9,"$169,486",+78.6%,-56.1%,"1,009",$167,"$803,360,334",113,false
Apr 9,Saturday,9,"$294,328",+73.7%,-56.4%,"1,009",$291,"$803,654,662",114,false
Apr 10,Sunday,9,"$162,513",-44.8%,-57.3%,"1,009",$161,"$803,817,175",115,false
Apr 11,Monday,10,"$52,259",-67.8%,-47.2%,"1,009",$51,"$803,869,434",116,false
Apr 12,Tuesday,10,"$57,822",+10.6%,-58.1%,"1,009",$57,"$803,927,256",117,false
Apr 13,Wednesday,10,"$48,528",-16.1%,-56.9%,"1,009",$48,"$803,975,784",118,false
Apr 14,Thursday,11,"$44,268",-8.8%,-53.4%,"1,009",$43,"$804,020,052",119,false
Apr 15,Friday,12,"$80,599",+82.1%,-52.4%,387,$208,"$804,100,651",120,false
Apr 16,Saturday,12,"$80,467",-0.2%,-72.7%,387,$207,"$804,181,118",121,false
Apr 17Easter Sunday,Sunday,12,"$44,610",-44.6%,-72.5%,387,$115,"$804,225,728",122,false
Apr 18,Monday,11,"$30,074",-32.6%,-42.5%,387,$77,"$804,255,802",123,false
Apr 19,Tuesday,12,"$19,514",-35.1%,-66.3%,387,$50,"$804,275,316",124,false
Apr 20,Wednesday,11,"$19,783",+1.4%,-59.2%,387,$51,"$804,295,099",125,false
Apr 21,Thursday,11,"$15,389",-22.2%,-65.2%,387,$39,"$804,310,488",126,false
Apr 22,Friday,16,"$27,481",+78.6%,-65.9%,158,$173,"$804,337,969",127,false
Apr 23,Saturday,16,"$38,542",+40.2%,-52.1%,158,$243,"$804,376,511",128,false
Apr 24,Sunday,16,"$19,704",-48.9%,-55.8%,158,$124,"$804,396,215",129,false
Apr 25,Monday,17,"$4,207",-78.6%,-86%,158,$26,"$804,400,422",130,false
Apr 26,Tuesday,16,"$5,497",+30.7%,-71.8%,158,$34,"$804,405,919",131,false
Apr 27,Wednesday,18,"$5,072",-7.7%,-74.4%,158,$32,"$804,410,991",132,false
Apr 28,Thursday,16,"$5,718",+12.7%,-62.8%,158,$36,"$804,416,709",133,false
Apr 29,Friday,17,"$40,075",+600.9%,+45.8%,528,$75,"$804,456,784",134,false
Apr 30,Saturday,15,"$75,823",+89.2%,+96.7%,528,$143,"$804,532,607",135,false
May 1,Sunday,15,"$38,119",-49.7%,+93.5%,528,$72,"$804,570,726",136,false
May 2,Monday,17,"$12,566",-67%,+198.7%,528,$23,"$804,583,292",137,false
May 3,Tuesday,16,"$16,387",+30.4%,+198.1%,528,$31,"$804,599,679",138,false
May 4,Wednesday,17,"$14,273",-12.9%,+181.4%,528,$27,"$804,613,952",139,false
May 5,Thursday,18,"$3,820",-73.2%,-33.2%,528,$7,"$804,617,772",140,false
May 6,Friday,17,"$13,333",+249%,-66.7%,132,$101,"$804,631,105",141,false
May 7,Saturday,16,"$22,204",+66.5%,-70.7%,132,$168,"$804,653,309",142,false
May 8,Sunday,20,"$7,311",-67.1%,-80.8%,132,$55,"$804,660,620",143,false
