Date,DOW,Rank,Daily,%± YD,%± LW,Theaters,Avg,To Date,Day,Estimated
Nov 3,Friday,1,"$46,470,936",-,-,"4,080","$11,389","$46,470,936",1,false
Nov 4,Saturday,1,"$44,203,752",-4.9%,-,"4,080","$10,834","$90,674,688",2,false
Nov 5,Sunday,1,"$32,070,301",-27.4%,-,"4,080","$7,860","$122,744,989",3,false
Nov 6,Monday,1,"$8,247,661",-74.3%,-,"4,080","$2,021","$130,992,650",4,false
Nov 7,Tuesday,1,"$10,824,443",+31.2%,-,"4,080","$2,653","$141,817,093",5,false
Nov 8,Wednesday,1,"$6,148,407",-43.2%,-,"4,080","$1,506","$147,965,500",6,false
Nov 9,Thursday,1,"$7,024,207",+14.2%,-,"4,080","$1,721","$154,989,707",7,false
Nov 10,Friday,1,"$18,361,360",+161.4%,-60.5%,"4,080","$4,500","$173,351,067",8,false
Nov 11,Saturday,1,"$23,744,122",+29.3%,-46.3%,"4,080","$5,819","$197,095,189",9,false
Nov 12,Sunday,1,"$14,972,824",-36.9%,-53.3%,"4,080","$3,669","$212,068,013",10,false
Nov 13,Monday,1,"$3,699,478",-75.3%,-55.1%,"4,080",$906,"$215,767,491",11,false
Nov 14,Tuesday,1,"$4,489,361",+21.4%,-58.5%,"4,080","$1,100","$220,256,852",12,false
Nov 15,Wednesday,1,"$2,919,452",-35%,-52.5%,"4,080",$715,"$223,176,304",13,false
Nov 16,Thursday,1,"$2,419,866",-17.1%,-65.5%,"4,080",$593,"$225,596,170",14,false
Nov 17,Friday,3,"$5,735,104",+137%,-68.8%,"4,080","$1,405","$231,331,274",15,false
Nov 18,Saturday,3,"$9,559,369",+66.7%,-59.7%,"4,080","$2,342","$240,890,643",16,false
Nov 19,Sunday,3,"$6,375,127",-33.3%,-57.4%,"4,080","$1,562","$247,265,770",17,false
Nov 20,Monday,3,"$2,457,686",-61.4%,-33.6%,"4,080",$602,"$249,723,456",18,false
Nov 21,Tuesday,3,"$3,489,938",+42%,-22.3%,"4,080",$855,"$253,213,394",19,false
Nov 22,Wednesday,4,"$4,038,922",+15.7%,+38.3%,"3,281","$1,231","$257,252,316",20,false
Nov 23Thanksgiving,Thursday,4,"$3,534,961",-12.5%,+46.1%,"3,281","$1,077","$260,787,277",21,false
Nov 24,Friday,4,"$6,718,044",+90%,+17.1%,"3,281","$2,047","$267,505,321",22,false
Nov 25,Saturday,4,"$6,581,173",-2%,-31.2%,"3,281","$2,005","$274,086,494",23,false
Nov 26,Sunday,4,"$3,564,077",-45.8%,-44.1%,"3,281","$1,086","$277,650,571",24,false
Nov 27,Monday,4,"$872,200",-75.5%,-64.5%,"3,281",$265,"$278,522,771",25,false
Nov 28,Tuesday,5,"$1,156,251",+32.6%,-66.9%,"3,281",$352,"$279,679,022",26,false
Nov 29,Wednesday,4,"$919,744",-20.5%,-77.2%,"3,281",$280,"$280,598,766",27,false
Nov 30,Thursday,4,"$1,148,833",+24.9%,-67.5%,"3,281",$350,"$281,747,599",28,false
Dec 1,Friday,4,"$2,695,400",+134.6%,-59.9%,"3,148",$856,"$284,442,999",29,false
Dec 2,Saturday,4,"$4,425,036",+64.2%,-32.8%,"3,148","$1,405","$288,868,035",30,false
Dec 3,Sunday,4,"$2,765,500",-37.5%,-22.4%,"3,148",$878,"$291,633,535",31,false
Dec 4,Monday,4,"$753,838",-72.7%,-13.6%,"3,148",$239,"$292,387,373",32,false
Dec 5,Tuesday,4,"$1,023,330",+35.7%,-11.5%,"3,148",$325,"$293,410,703",33,false
Dec 6,Wednesday,4,"$734,214",-28.3%,-20.2%,"3,148",$233,"$294,144,917",34,false
Dec 7,Thursday,4,"$720,147",-1.9%,-37.3%,"3,148",$228,"$294,865,064",35,false
Dec 8,Friday,6,"$1,677,125",+132.9%,-37.8%,"3,047",$550,"$296,542,189",36,false
Dec 9,Saturday,4,"$2,843,711",+69.6%,-35.7%,"3,047",$933,"$299,385,900",37,false
Dec 10,Sunday,4,"$1,750,538",-38.4%,-36.7%,"3,047",$574,"$301,136,438",38,false
Dec 11,Monday,5,"$516,235",-70.5%,-31.5%,"3,047",$169,"$301,652,673",39,false
Dec 12,Tuesday,4,"$740,606",+43.5%,-27.6%,"3,047",$243,"$302,393,279",40,false
Dec 13,Wednesday,5,"$556,948",-24.8%,-24.1%,"3,047",$182,"$302,950,227",41,false
Dec 14,Thursday,4,"$443,893",-20.3%,-38.4%,"3,047",$145,"$303,394,120",42,false
Dec 15,Friday,7,"$784,873",+76.8%,-53.2%,"1,895",$414,"$304,178,993",43,false
Dec 16,Saturday,7,"$1,350,766",+72.1%,-52.5%,"1,895",$712,"$305,529,759",44,false
Dec 17,Sunday,7,"$997,777",-26.1%,-43%,"1,895",$526,"$306,527,536",45,false
Dec 18,Monday,8,"$440,793",-55.8%,-14.6%,"1,895",$232,"$306,968,329",46,false
Dec 19,Tuesday,7,"$598,002",+35.7%,-19.3%,"1,895",$315,"$307,566,331",47,false
Dec 20,Wednesday,10,"$383,763",-35.8%,-31.1%,"1,895",$202,"$307,950,094",48,false
