"","Date","DOW","Rank","Daily","X...YD","X...LW","Theaters","Avg","To.Date","Day","Estimated"
"1","6-Jul",5,1,33725082,"-","-",4206,8018,33725082,1,FALSE
"2","7-Jul",6,1,23555372,"-30.20%","-",4206,5600,57280454,2,FALSE
"3","8-Jul",7,1,18531751,"-21.30%","-",4206,4406,75812205,3,FALSE
"4","9-Jul",1,1,6983824,"-62.30%","-",4206,1660,82796029,4,FALSE
"5","10-Jul",2,1,10042976,"43.80%","-",4206,2387,92839005,5,FALSE
"6","11-Jul",3,1,5852591,"-41.70%","-82.60%",4206,1391,98691596,6,FALSE
"7","12-Jul",4,1,5293629,"-9.60%","-77.50%",4206,1258,103985225,7,FALSE
"8","13-Jul",5,3,8431124,"59.30%","-75%",4206,2004,112416349,8,FALSE
"9","14-Jul",6,2,11756671,"39.40%","-50.10%",4206,2795,124173020,9,FALSE
"10","15-Jul",7,2,8910064,"-24.20%","-51.90%",4206,2118,133083084,10,FALSE
"11","16-Jul",1,2,3566526,"-60%","-48.90%",4206,847,136649610,11,FALSE
"12","17-Jul",2,2,5506525,"54.40%","-45.20%",4206,1309,142156135,12,FALSE
"13","18-Jul",3,2,3349910,"-39.20%","-42.80%",4206,796,145506045,13,FALSE
"14","19-Jul",4,2,2992247,"-10.70%","-43.50%",4206,711,148498292,14,FALSE
"15","20-Jul",5,4,4483139,"49.80%","-46.80%",3778,1186,152981431,15,FALSE
"16","21-Jul",6,4,6609304,"47.40%","-43.80%",3778,1749,159590735,16,FALSE
"17","22-Jul",7,4,5414713,"-18.10%","-39.20%",3778,1433,165005448,17,FALSE
"18","23-Jul",1,4,2272573,"-58%","-36.30%",3778,601,167278021,18,FALSE
"19","24-Jul",2,4,3315774,"45.90%","-39.80%",3778,877,170593795,19,FALSE
"20","25-Jul",3,4,2271063,"-31.50%","-32.20%",3778,601,172864858,20,FALSE
"21","26-Jul",4,4,1859269,"-18.10%","-37.90%",3778,492,174724127,21,FALSE
"22","27-Jul",5,6,2519657,"35.50%","-43.80%",3013,836,177243784,22,FALSE
"23","28-Jul",6,5,3511225,"39.40%","-46.90%",3013,1165,180755009,23,FALSE
"24","29-Jul",7,5,2735218,"-22.10%","-49.50%",3013,907,183490227,24,FALSE
"25","30-Jul",1,5,1278835,"-53.20%","-43.70%",3013,424,184769062,25,FALSE
"26","31-Jul",2,6,1908663,"49.30%","-42.40%",3013,633,186677725,26,FALSE
"27","1-Aug",3,5,1376054,"-27.90%","-39.40%",3013,456,188053779,27,FALSE
"28","2-Aug",4,5,1227656,"-10.80%","-34%",3013,407,189281435,28,FALSE
"29","3-Aug",5,8,1831798,"49.20%","-27.30%",2233,820,191113233,29,FALSE
"30","4-Aug",6,7,2593399,"41.60%","-26.10%",2233,1161,193706632,30,FALSE
"31","5-Aug",7,7,1939303,"-25.20%","-29.10%",2233,868,195645935,31,FALSE
"32","6-Aug",1,7,948840,"-51.10%","-25.80%",2233,424,196594775,32,FALSE
"33","7-Aug",2,7,1244667,"31.20%","-34.80%",2233,557,197839442,33,FALSE
"34","8-Aug",3,7,894546,"-28.10%","-35%",2233,400,198733988,34,FALSE
"35","9-Aug",4,7,736356,"-17.70%","-40%",2233,329,199470344,35,FALSE
"36","10-Aug",5,10,1108734,"50.60%","-39.50%",1863,595,200579078,36,FALSE
"37","11-Aug",6,10,1754273,"58.20%","-32.40%",1863,941,202333351,37,FALSE
"38","12-Aug",7,10,1240629,"-29.30%","-36%",1863,665,203573980,38,FALSE
"39","13-Aug",1,11,533783,"-57%","-43.70%",1863,286,204107763,39,FALSE
"40","14-Aug",2,10,752759,"41%","-39.50%",1863,404,204860522,40,FALSE
"41","15-Aug",3,11,461489,"-38.70%","-48.40%",1863,247,205322011,41,FALSE
"42","16-Aug",4,12,423639,"-8.20%","-42.50%",1863,227,205745650,42,FALSE
"43","17-Aug",5,13,704069,"66.20%","-36.50%",1520,463,206449719,43,FALSE
"44","18-Aug",6,12,1150966,"63.50%","-34.40%",1520,757,207600685,44,FALSE
"45","19-Aug",7,12,791821,"-31.20%","-36.20%",1520,520,208392506,45,FALSE
"46","20-Aug",1,14,289360,"-63.50%","-45.80%",1520,190,208681866,46,FALSE
"47","21-Aug",2,13,454410,"57%","-39.60%",1520,298,209136276,47,FALSE
"48","22-Aug",3,14,288595,"-36.50%","-37.50%",1520,189,209424871,48,FALSE
"49","23-Aug",4,13,241828,"-16.20%","-42.90%",1520,159,209666699,49,FALSE
"50","24-Aug",5,14,470639,"94.60%","-33.20%",1178,399,210137338,50,FALSE
"51","25-Aug",6,14,816664,"73.50%","-29%",1178,693,210954002,51,FALSE
"52","26-Aug",7,15,504533,"-38.20%","-36.30%",1178,428,211458535,52,FALSE
"53","27-Aug",1,15,172381,"-65.80%","-40.40%",1178,146,211630916,53,FALSE
"54","28-Aug",2,15,240289,"39.40%","-47.10%",1178,203,211871205,54,FALSE
"55","29-Aug",3,17,151989,"-36.70%","-47.30%",1178,129,212023194,55,FALSE
"56","30-Aug",4,16,137264,"-9.70%","-43.20%",1178,116,212160458,56,FALSE
"57","31-Aug",5,18,321257,"134%","-31.70%",830,387,212481715,57,FALSE
"58","1-Sep",6,19,541757,"68.60%","-33.70%",830,652,213023472,58,FALSE
"59","2-Sep",7,18,538400,"-0.60%","6.70%",830,648,213561872,59,FALSE
"60","3-Sep",1,17,415985,"-22.70%","141.30%",830,501,213977857,60,FALSE
"61","4-Sep",2,20,104042,"-75%","-56.70%",830,125,214081899,61,FALSE
"62","5-Sep",3,21,64151,"-38.30%","-57.80%",830,77,214146050,62,FALSE
