"","Date","DOW","Rank","Daily","X...YD","X...LW","Theaters","Avg","To.Date","Day","Estimated"
"1","17-Feb",5,1,46431851,"-","-",4345,10686,"$46,431,851 ",1,FALSE
"2","18-Feb",6,1,33903657,"-27%","-",4345,7802,"$80,335,508 ",2,FALSE
"3","19-Feb",7,1,25774142,"-24%","-",4345,5931,"$106,109,650 ",3,FALSE
"4","20-Feb",1,1,14284967,"-44.60%","-",4345,3287,"$120,394,617 ",4,FALSE
"5","21-Feb",2,1,7078521,"-50.40%","-",4345,1629,"$127,473,138 ",5,FALSE
"6","22-Feb",3,1,3859533,"-45.50%","-",4345,888,"$131,332,671 ",6,FALSE
"7","23-Feb",4,1,3781913,"-2%","-",4345,870,"$135,114,584 ",7,FALSE
"8","24-Feb",5,2,8329121,"120.20%","-82.10%",4345,1916,"$143,443,705 ",8,FALSE
"9","25-Feb",6,1,14629621,"75.60%","-56.80%",4345,3367,"$158,073,326 ",9,FALSE
"10","26-Feb",7,1,9006061,"-38.40%","-65.10%",4345,2072,"$167,079,387 ",10,FALSE
"11","27-Feb",1,1,1721699,"-80.90%","-87.90%",4345,396,"$168,801,086 ",11,FALSE
"12","28-Feb",2,1,2536327,"47.30%","-64.20%",4345,583,"$171,337,413 ",12,FALSE
"13","1-Mar",3,2,1530357,"-39.70%","-60.30%",4345,352,"$172,867,770 ",13,FALSE
"14","2-Mar",4,2,1460059,"-4.60%","-61.40%",4345,336,"$174,327,829 ",14,FALSE
"15","3-Mar",5,3,3166691,"116.90%","-62%",3825,827,"$177,494,520 ",15,FALSE
"16","4-Mar",6,2,5945443,"87.70%","-59.40%",3825,1554,"$183,439,963 ",16,FALSE
"17","5-Mar",7,2,3697908,"-37.80%","-58.90%",3825,966,"$187,137,871 ",17,FALSE
"18","6-Mar",1,3,908642,"-75.40%","-47.20%",3825,237,"$188,046,513 ",18,FALSE
"19","7-Mar",2,4,1288698,"41.80%","-49.20%",3825,336,"$189,335,211 ",19,FALSE
"20","8-Mar",3,4,870702,"-32.40%","-43.10%",3825,227,"$190,205,913 ",20,FALSE
"21","9-Mar",4,4,772515,"-11.30%","-47.10%",3825,201,"$190,978,428 ",21,FALSE
"22","10-Mar",5,6,1738602,"125.10%","-45.10%",3105,559,"$192,717,030 ",22,FALSE
"23","11-Mar",6,4,3237625,"86.20%","-45.50%",3105,1042,"$195,954,655 ",23,FALSE
"24","12-Mar",7,4,2157739,"-33.40%","-41.60%",3105,694,"$198,112,394 ",24,FALSE
"25","13-Mar",1,5,853074,"-60.50%","-6.10%",3105,274,"$198,965,468 ",25,FALSE
"26","14-Mar",2,4,1137262,"33.30%","-11.80%",3105,366,"$200,102,730 ",26,FALSE
"27","15-Mar",3,4,890119,"-21.70%","2.20%",3105,286,"$200,992,849 ",27,FALSE
"28","16-Mar",4,4,769501,"-13.60%","-0.40%",3105,247,"$201,762,350 ",28,FALSE
"29","17-Mar",5,5,1180785,"53.40%","-32.10%",2650,445,"$202,943,135 ",29,FALSE
"30","18-Mar",6,5,1843602,"56.10%","-43.10%",2650,695,"$204,786,737 ",30,FALSE
"31","19-Mar",7,5,1193322,"-35.30%","-44.70%",2650,450,"$205,980,059 ",31,FALSE
"32","20-Mar",1,6,346421,"-71%","-59.40%",2650,130,"$206,326,480 ",32,FALSE
