Date,Event,DOW,Rank,Daily,YD%,LW%,Theaters,Avg,To Date,Day,Estimated
Feb 17,,5,1,46431851,,,4345,10686,46431851,1,False
Feb 18,,6,1,33903657,-27.0,,4345,7802,80335508,2,False
Feb 19,,7,1,25774142,-24.0,,4345,5931,106109650,3,False
Feb 20,Presidents' Day,1,1,14284967,-44.6,,4345,3287,120394617,4,False
Feb 21,,2,1,7078521,-50.4,,4345,1629,127473138,5,False
Feb 22,,3,1,3859533,-45.5,,4345,888,131332671,6,False
Feb 23,,4,1,3781913,-2.0,,4345,870,135114584,7,False
Feb 24,,5,2,8329121,120.2,-82.1,4345,1916,143443705,8,False
Feb 25,,6,1,14629621,75.6,-56.8,4345,3367,158073326,9,False
Feb 26,,7,1,9006061,-38.4,-65.1,4345,2072,167079387,10,False
Feb 27,,1,1,1721699,-80.9,-87.9,4345,396,168801086,11,False
Feb 28,,2,1,2536327,47.3,-64.2,4345,583,171337413,12,False
Mar 1,,3,2,1530357,-39.7,-60.3,4345,352,172867770,13,False
Mar 2,,4,2,1460059,-4.6,-61.4,4345,336,174327829,14,False
Mar 3,,5,3,3166691,116.9,-62.0,3825,827,177494520,15,False
Mar 4,,6,2,5945443,87.7,-59.4,3825,1554,183439963,16,False
Mar 5,,7,2,3697908,-37.8,-58.9,3825,966,187137871,17,False
Mar 6,,1,3,908642,-75.4,-47.2,3825,237,188046513,18,False
Mar 7,,2,4,1288698,41.8,-49.2,3825,336,189335211,19,False
Mar 8,,3,4,870702,-32.4,-43.1,3825,227,190205913,20,False
Mar 9,,4,4,772515,-11.3,-47.1,3825,201,190978428,21,False
Mar 10,,5,6,1738602,125.1,-45.1,3105,559,192717030,22,False
Mar 11,,6,4,3237625,86.2,-45.5,3105,1042,195954655,23,False
Mar 12,,7,4,2157739,-33.4,-41.6,3105,694,198112394,24,False
Mar 13,,1,5,853074,-60.5,-6.1,3105,274,198965468,25,False
Mar 14,,2,4,1137262,33.3,-11.8,3105,366,200102730,26,False
Mar 15,,3,4,890119,-21.7,2.2,3105,286,200992849,27,False
Mar 16,,4,4,769501,-13.6,-0.4,3105,247,201762350,28,False
Mar 17,,5,5,1180785,53.4,-32.1,2650,445,202943135,29,False
Mar 18,,6,5,1843602,56.1,-43.1,2650,695,204786737,30,False
Mar 19,,7,5,1193322,-35.3,-44.7,2650,450,205980059,31,False
Mar 20,,1,6,346421,-71.0,-59.4,2650,130,206326480,32,False
Mar 21,,2,8,451275,30.3,-60.3,2650,170,206777755,33,False
Mar 22,,3,7,352391,-21.9,-60.4,2650,132,207130146,34,False
Mar 23,,4,5,312746,-11.3,-59.4,2650,118,207442892,35,False
Mar 24,,5,6,607919,94.4,-48.5,1915,317,208050811,36,False
Mar 25,,6,6,1112750,83.0,-39.6,1915,581,209163561,37,False
Mar 26,,7,6,682718,-38.6,-42.8,1915,356,209846279,38,False
Mar 27,,1,6,221002,-67.6,-36.2,1915,115,210067281,39,False
Mar 28,,2,6,298818,35.2,-33.8,1915,156,210366099,40,False
Mar 29,,3,6,227455,-23.9,-35.5,1915,118,210593554,41,False
Mar 30,,4,6,200193,-12.0,-36.0,1915,104,210793747,42,False
Mar 31,,5,9,333860,66.8,-45.1,1440,231,211127607,43,False
Apr 1,,6,9,549730,64.7,-50.6,1440,381,211677337,44,False
Apr 2,,7,10,348602,-36.6,-48.9,1440,242,212025939,45,False
Apr 3,,1,10,135453,-61.1,-38.7,1440,94,212161392,46,False
Apr 4,,2,10,180920,33.6,-39.5,1440,125,212342312,47,False
Apr 5,,3,13,45041,-75.1,-80.2,1440,31,212387353,48,False
Apr 6,,4,15,59161,31.3,-70.4,1440,41,212446514,49,False
Apr 7,,5,17,107939,82.4,-67.7,520,207,212554453,50,False
Apr 8,,6,16,112479,4.2,-79.5,520,216,212666932,51,False
Apr 9,Easter Sunday,7,16,70983,-36.9,-79.6,520,136,212737915,52,False
