Date,Event,DOW,Rank,Daily,YD%,LW%,Theaters,Avg,To Date,Day,Estimated
Jul 6,World Cup (Russia),5,1,33725082,,,4206,8018,33725082,1,False
Jul 7,World Cup (Russia),6,1,23555372,-30.2,,4206,5600,57280454,2,False
Jul 8,World Cup (Russia),7,1,18531751,-21.3,,4206,4406,75812205,3,False
Jul 9,World Cup (Russia),1,1,6983824,-62.3,,4206,1660,82796029,4,False
Jul 10,World Cup (Russia),2,1,10042976,43.8,,4206,2387,92839005,5,False
Jul 11,World Cup (Russia),3,1,5852591,-41.7,-82.6,4206,1391,98691596,6,False
Jul 12,World Cup (Russia),4,1,5293629,-9.6,-77.5,4206,1258,103985225,7,False
Jul 13,World Cup (Russia),5,3,8431124,59.3,-75.0,4206,2004,112416349,8,False
Jul 14,World Cup (Russia),6,2,11756671,39.4,-50.1,4206,2795,124173020,9,False
Jul 15,World Cup (Russia),7,2,8910064,-24.2,-51.9,4206,2118,133083084,10,False
Jul 16,,1,2,3566526,-60.0,-48.9,4206,847,136649610,11,False
Jul 17,,2,2,5506525,54.4,-45.2,4206,1309,142156135,12,False
Jul 18,,3,2,3349910,-39.2,-42.8,4206,796,145506045,13,False
Jul 19,,4,2,2992247,-10.7,-43.5,4206,711,148498292,14,False
Jul 20,,5,4,4483139,49.8,-46.8,3778,1186,152981431,15,False
Jul 21,,6,4,6609304,47.4,-43.8,3778,1749,159590735,16,False
Jul 22,,7,4,5414713,-18.1,-39.2,3778,1433,165005448,17,False
Jul 23,,1,4,2272573,-58.0,-36.3,3778,601,167278021,18,False
Jul 24,,2,4,3315774,45.9,-39.8,3778,877,170593795,19,False
Jul 25,,3,4,2271063,-31.5,-32.2,3778,601,172864858,20,False
Jul 26,,4,4,1859269,-18.1,-37.9,3778,492,174724127,21,False
Jul 27,,5,6,2519657,35.5,-43.8,3013,836,177243784,22,False
Jul 28,,6,5,3511225,39.4,-46.9,3013,1165,180755009,23,False
Jul 29,,7,5,2735218,-22.1,-49.5,3013,907,183490227,24,False
Jul 30,,1,5,1278835,-53.2,-43.7,3013,424,184769062,25,False
Jul 31,,2,6,1908663,49.3,-42.4,3013,633,186677725,26,False
Aug 1,,3,5,1376054,-27.9,-39.4,3013,456,188053779,27,False
Aug 2,,4,5,1227656,-10.8,-34.0,3013,407,189281435,28,False
Aug 3,,5,8,1831798,49.2,-27.3,2233,820,191113233,29,False
Aug 4,,6,7,2593399,41.6,-26.1,2233,1161,193706632,30,False
Aug 5,,7,7,1939303,-25.2,-29.1,2233,868,195645935,31,False
Aug 6,,1,7,948840,-51.1,-25.8,2233,424,196594775,32,False
Aug 7,,2,7,1244667,31.2,-34.8,2233,557,197839442,33,False
Aug 8,,3,7,894546,-28.1,-35.0,2233,400,198733988,34,False
Aug 9,,4,7,736356,-17.7,-40.0,2233,329,199470344,35,False
Aug 10,,5,10,1108734,50.6,-39.5,1863,595,200579078,36,False
Aug 11,,6,10,1754273,58.2,-32.4,1863,941,202333351,37,False
Aug 12,,7,10,1240629,-29.3,-36.0,1863,665,203573980,38,False
Aug 13,,1,11,533783,-57.0,-43.7,1863,286,204107763,39,False
Aug 14,,2,10,752759,41.0,-39.5,1863,404,204860522,40,False
Aug 15,,3,11,461489,-38.7,-48.4,1863,247,205322011,41,False
Aug 16,,4,12,423639,-8.2,-42.5,1863,227,205745650,42,False
Aug 17,,5,13,704069,66.2,-36.5,1520,463,206449719,43,False
Aug 18,,6,12,1150966,63.5,-34.4,1520,757,207600685,44,False
Aug 19,,7,12,791821,-31.2,-36.2,1520,520,208392506,45,False
Aug 20,,1,14,289360,-63.5,-45.8,1520,190,208681866,46,False
Aug 21,,2,13,454410,57.0,-39.6,1520,298,209136276,47,False
Aug 22,,3,14,288595,-36.5,-37.5,1520,189,209424871,48,False
Aug 23,,4,13,241828,-16.2,-42.9,1520,159,209666699,49,False
Aug 24,,5,14,470639,94.6,-33.2,1178,399,210137338,50,False
Aug 25,,6,14,816664,73.5,-29.0,1178,693,210954002,51,False
Aug 26,,7,15,504533,-38.2,-36.3,1178,428,211458535,52,False
Aug 27,,1,15,172381,-65.8,-40.4,1178,146,211630916,53,False
Aug 28,,2,15,240289,39.4,-47.1,1178,203,211871205,54,False
Aug 29,,3,17,151989,-36.7,-47.3,1178,129,212023194,55,False
Aug 30,,4,16,137264,-9.7,-43.2,1178,116,212160458,56,False
Aug 31,,5,18,321257,134.0,-31.7,830,387,212481715,57,False
Sep 1,,6,19,541757,68.6,-33.7,830,652,213023472,58,False
Sep 2,,7,18,538400,-0.6,6.7,830,648,213561872,59,False
Sep 3,Labor Day,1,17,415985,-22.7,141.3,830,501,213977857,60,False
Sep 4,,2,20,104042,-75.0,-56.7,830,125,214081899,61,False
Sep 5,,3,21,64151,-38.3,-57.8,830,77,214146050,62,False
Sep 6,,4,20,57151,-10.9,-58.4,830,68,214203201,63,False
Sep 7,,5,22,137384,140.4,-57.2,548,250,214340585,64,False
Sep 8,,6,18,309439,125.2,-42.9,548,564,214650024,65,False
Sep 9,,7,21,172187,-44.4,-68.0,548,314,214822211,66,False
Sep 10,,1,21,53071,-69.2,-87.2,548,96,214875282,67,False
Sep 11,,2,22,65418,23.3,-37.1,548,119,214940700,68,False
Sep 12,,3,23,41087,-37.2,-36.0,548,74,214981787,69,False
Sep 13,,4,23,36004,-12.4,-37.0,548,65,215017791,70,False
Sep 14,,5,19,101683,182.4,-26.0,356,285,215119474,71,False
Sep 15,,6,20,185969,82.9,-39.9,356,522,215305443,72,False
Sep 16,,7,20,101975,-45.2,-40.8,356,286,215407418,73,False
Sep 17,,1,20,29115,-71.4,-45.1,356,81,215436533,74,False
Sep 18,,2,20,42384,45.6,-35.2,356,119,215478917,75,False
Sep 19,,3,21,33240,-21.6,-19.1,356,93,215512157,76,False
Sep 20,,4,22,26049,-21.6,-27.6,356,73,215538206,77,False
Sep 21,,5,23,72291,177.5,-28.9,260,278,215610497,78,False
Sep 22,,6,22,133320,84.4,-28.3,260,512,215743817,79,False
Sep 23,,7,23,64617,-51.5,-36.6,260,248,215808434,80,False
Sep 24,,1,22,20847,-67.7,-28.4,260,80,215829281,81,False
Sep 25,,2,23,27625,32.5,-34.8,260,106,215856906,82,False
Sep 26,,3,25,19661,-28.8,-40.9,260,75,215876567,83,False
Sep 27,,4,26,14305,-27.2,-45.1,260,55,215890872,84,False
Sep 28,,5,26,68745,380.6,-4.9,258,266,215959617,85,False
Sep 29,,6,25,122999,78.9,-7.7,258,476,216082616,86,False
Sep 30,,7,27,72077,-41.4,11.5,258,279,216154693,87,False
Oct 1,,1,28,18592,-74.2,-10.8,258,72,216173285,88,False
Oct 2,,2,27,26006,39.9,-5.9,258,100,216199291,89,False
Oct 3,,3,28,18385,-29.3,-6.5,258,71,216217676,90,False
Oct 4,,4,26,19150,4.2,33.9,258,74,216236826,91,False
Oct 5,,5,30,36441,90.3,-47.0,178,204,216273267,92,False
Oct 6,,6,31,57753,58.5,-53.0,178,324,216331020,93,False
Oct 7,,7,31,39932,-30.9,-44.6,178,224,216370952,94,False
Oct 8,Indig. Peoples' Day,1,31,20630,-48.3,11.0,178,115,216391582,95,False
Oct 9,,2,30,13766,-33.3,-47.1,178,77,216405348,96,False
Oct 10,,3,32,12409,-9.9,-32.5,178,69,216417757,97,False
Oct 11,,4,30,12183,-1.8,-36.4,178,68,216429940,98,False
Oct 12,,5,29,23243,90.8,-36.2,132,176,216453183,99,False
Oct 13,,6,29,41799,79.8,-27.6,132,316,216494982,100,False
Oct 14,,7,29,24518,-41.3,-38.6,132,185,216519500,101,False
Oct 15,,1,32,6764,-72.4,-67.2,132,51,216526264,102,False
Oct 16,,2,32,7921,17.1,-42.5,132,60,216534185,103,False
Oct 17,,3,31,7060,-10.9,-43.1,132,53,216541245,104,False
Oct 18,,4,30,8984,27.3,-26.3,132,68,216550229,105,False
Oct 19,,5,33,14070,56.6,-39.5,105,134,216564299,106,False
Oct 20,,6,33,23204,64.9,-44.5,105,220,216587503,107,False
Oct 21,,7,33,13254,-42.9,-45.9,105,126,216600757,108,False
Oct 22,,1,36,3647,-72.5,-46.1,105,34,216604404,109,False
Oct 23,,2,35,3597,-1.4,-54.6,105,34,216608001,110,False
Oct 24,,3,37,3128,-13.0,-55.7,105,29,216611129,111,False
Oct 25,,4,36,3895,24.5,-56.6,105,37,216615024,112,False
Oct 26,,5,44,6807,74.8,-51.6,68,100,216621831,113,False
Oct 27,,6,43,11361,66.9,-51.0,68,167,216633192,114,False
Oct 28,,7,44,6868,-39.5,-48.2,68,101,216640060,115,False
Oct 29,,1,47,1900,-72.3,-47.9,68,27,216641960,116,False
