Date,Event,DOW,Rank,Daily,YD%,LW%,Theaters,Avg,To Date,Day,Estimated
Jul 17,,5,1,22649199,,,3856,5873,22649199,1,False
Jul 18,,6,2,19464976,-14.1,,3856,5047,42114175,2,False
Jul 19,,7,1,15111351,-22.4,,3856,3918,57225526,3,False
Jul 20,,1,1,6403901,-57.6,,3856,1660,63629427,4,False
Jul 21,,2,2,7853189,22.6,,3856,2036,71482616,5,False
Jul 22,,3,2,5120474,-34.8,,3856,1327,76603090,6,False
Jul 23,,4,2,4707439,-8.1,,3856,1220,81310529,7,False
Jul 24,,5,2,7252683,54.1,-68.0,3868,1875,88563212,8,False
Jul 25,,6,1,9853066,35.9,-49.4,3868,2547,98416278,9,False
Jul 26,,7,1,7803583,-20.8,-48.4,3868,2017,106219861,10,False
Jul 27,,1,1,3322992,-57.4,-48.1,3868,859,109542853,11,False
Jul 28,,2,1,4265463,28.4,-45.7,3868,1102,113808316,12,False
Jul 29,,3,2,3005710,-29.5,-41.3,3868,777,116814026,13,False
Jul 30,,4,2,2714893,-9.7,-42.3,3868,701,119528919,14,False
Jul 31,,5,3,3680194,35.6,-49.3,3322,1107,123209113,15,False
Aug 1,,6,3,5112373,38.9,-48.1,3322,1538,128321486,16,False
Aug 2,,7,3,4010077,-21.6,-48.6,3322,1207,132331563,17,False
Aug 3,,1,3,1887811,-52.9,-43.2,3322,568,134219374,18,False
Aug 4,,2,3,2237124,18.5,-47.6,3322,673,136456498,19,False
Aug 5,,3,4,1648774,-26.3,-45.1,3322,496,138105272,20,False
Aug 6,,4,3,1505274,-8.7,-44.6,3322,453,139610546,21,False
Aug 7,,5,5,2279459,51.4,-38.1,2910,783,141890005,22,False
Aug 8,,6,5,3258855,43.0,-36.3,2910,1119,145148860,23,False
Aug 9,,7,5,2373131,-27.2,-40.8,2910,815,147521991,24,False
Aug 10,,1,6,1092833,-53.9,-42.1,2910,375,148614824,25,False
Aug 11,,2,5,1519440,39.0,-32.1,2910,522,150134264,26,False
Aug 12,,3,5,990758,-34.8,-39.9,2910,340,151125022,27,False
Aug 13,,4,5,925231,-6.6,-38.5,2910,317,152050253,28,False
Aug 14,,5,6,1538035,66.2,-32.5,2306,666,153588288,29,False
Aug 15,,6,6,2290327,48.9,-29.7,2306,993,155878615,30,False
Aug 16,,7,6,1665055,-27.3,-29.8,2306,722,157543670,31,False
Aug 17,,1,7,686205,-58.8,-37.2,2306,297,158229875,32,False
Aug 18,,2,7,919545,34.0,-39.5,2306,398,159149420,33,False
Aug 19,,3,7,660581,-28.2,-33.3,2306,286,159810001,34,False
Aug 20,,4,7,626369,-5.2,-32.3,2306,271,160436370,35,False
Aug 21,,5,8,1164309,85.9,-24.3,2016,577,161600679,36,False
Aug 22,,6,8,1741268,49.6,-24.0,2016,863,163341947,37,False
Aug 23,,7,9,1149888,-34.0,-30.9,2016,570,164491835,38,False
Aug 24,,1,9,391081,-66.0,-43.0,2016,193,164882916,39,False
Aug 25,,2,9,523960,34.0,-43.0,2016,259,165406876,40,False
Aug 26,,3,11,361943,-30.9,-45.2,2016,179,165768819,41,False
Aug 27,,4,9,363707,0.5,-41.9,2016,180,166132526,42,False
Aug 28,,5,11,780275,114.5,-33.0,1690,461,166912801,43,False
Aug 29,,6,8,1413433,81.1,-18.8,1690,836,168326234,44,False
Aug 30,,7,8,879408,-37.8,-23.5,1690,520,169205642,45,False
Aug 31,,1,12,279286,-68.2,-28.6,1690,165,169484928,46,False
Sep 1,,2,10,327557,17.3,-37.5,1690,193,169812485,47,False
Sep 2,,3,13,241374,-26.3,-33.3,1690,142,170053859,48,False
Sep 3,,4,11,248841,3.1,-31.6,1690,147,170302700,49,False
Sep 4,,5,12,633593,154.6,-18.8,1527,414,170936293,50,False
Sep 5,,6,12,1111245,75.4,-21.4,1527,727,172047538,51,False
Sep 6,,7,12,1120720,0.9,27.4,1527,733,173168258,52,False
Sep 7,Labor Day,1,11,903395,-19.4,223.5,1527,591,174071653,53,False
Sep 8,,2,11,189392,-79.0,-42.2,1527,124,174261045,54,False
Sep 9,,3,12,136695,-27.8,-43.4,1527,89,174397740,55,False
Sep 10,,4,12,129381,-5.4,-48.0,1527,84,174527121,56,False
Sep 11,,5,12,402323,211.0,-36.5,1354,297,174929444,57,False
Sep 12,,6,10,811713,101.8,-27.0,1354,599,175741157,58,False
Sep 13,,7,14,443881,-45.3,-60.4,1354,327,176185038,59,False
Sep 14,,1,11,127061,-71.4,-85.9,1354,93,176312099,60,False
Sep 15,,2,13,139389,9.7,-26.4,1354,102,176451488,61,False
Sep 16,,3,12,107606,-22.8,-21.3,1354,79,176559094,62,False
Sep 17,,4,11,91752,-14.7,-29.1,1354,67,176650846,63,False
Sep 18,,5,13,227937,148.4,-43.3,977,233,176878783,64,False
Sep 19,,6,14,448536,96.8,-44.7,977,459,177327319,65,False
Sep 20,,7,16,246512,-45.0,-44.5,977,252,177573831,66,False
Sep 21,,1,16,65166,-73.6,-48.7,977,66,177638997,67,False
Sep 22,,2,16,86008,32.0,-38.3,977,88,177725005,68,False
Sep 23,,3,13,87864,2.2,-18.3,977,89,177812869,69,False
Sep 24,,4,17,66387,-24.4,-27.6,977,67,177879256,70,False
Sep 25,,5,20,96557,45.4,-57.6,477,202,177975813,71,False
Sep 26,,6,21,169243,75.3,-62.3,477,354,178145056,72,False
Sep 27,,7,21,87203,-48.5,-64.6,477,182,178232259,73,False
Sep 28,,1,18,30551,-65.0,-53.1,477,64,178262810,74,False
Sep 29,,2,18,35885,17.5,-58.3,477,75,178298695,75,False
Sep 30,,3,21,29646,-17.4,-66.3,477,62,178328341,76,False
Oct 1,,4,20,24737,-16.6,-62.7,477,51,178353078,77,False
