"","Date","DOW","Rank","Daily","X...YD","X...LW","Theaters","Avg","To.Date","Day","Estimated"
"1","1-May",5,1,84424532,"-","-",4276,19743,"$84,424,532 ",1,FALSE
"2","2-May",6,1,56526635,"-","-",4276,13219,"$140,951,167 ",3,FALSE
"3","3-May",7,1,50319942,"-11%","-",4276,11767,"$191,271,109 ",3,FALSE
"4","4-May",1,1,13228555,"-73.70%","-",4276,3093,"$204,499,664 ",4,FALSE
"5","5-May",2,1,13132812,"-0.70%","-",4276,3071,"$217,632,476 ",5,FALSE
"6","6-May",3,1,9409838,"-28.30%","-",4276,2200,"$227,042,314 ",6,FALSE
"7","7-May",4,1,8613154,"-8.50%","-",4276,2014,"$235,655,468 ",7,FALSE
"8","8-May",5,1,21232362,"146.50%","-74.90%",4276,4965,"$256,887,830 ",8,FALSE
"9","9-May",6,1,33835656,"59.40%","-40.10%",4276,7912,"$290,723,486 ",9,FALSE
"10","10-May",7,1,22678911,"-33%","-54.90%",4276,5303,"$313,402,397 ",10,FALSE
"11","11-May",1,1,5398779,"-76.20%","-59.20%",4276,1262,"$318,801,176 ",11,FALSE
"12","12-May",2,1,5990413,"11%","-54.40%",4276,1400,"$324,791,589 ",12,FALSE
"13","13-May",3,1,4342154,"-27.50%","-53.90%",4276,1015,"$329,133,743 ",13,FALSE
"14","14-May",4,1,4037065,"-7%","-53.10%",4276,944,"$333,170,808 ",14,FALSE
"15","15-May",5,3,10019125,"148.20%","-52.80%",4276,2343,"$343,189,933 ",15,FALSE
"16","16-May",6,2,17204358,"71.70%","-49.20%",4276,4023,"$360,394,291 ",16,FALSE
"17","17-May",7,3,11636417,"-32.40%","-48.70%",4276,2721,"$372,030,708 ",17,FALSE
"18","18-May",1,3,3435547,"-70.50%","-36.40%",4276,803,"$375,466,255 ",18,FALSE
"19","19-May",2,3,3020580,"-12.10%","-49.60%",4276,706,"$378,486,835 ",19,FALSE
"20","20-May",3,3,2329898,"-22.90%","-46.30%",4276,544,"$380,816,733 ",20,FALSE
"21","21-May",4,3,2353746,"1%","-41.70%",4276,550,"$383,170,479 ",21,FALSE
"22","22-May",5,5,5356424,"127.60%","-46.50%",3727,1437,"$388,526,903 ",22,FALSE
"23","23-May",6,4,8286236,"54.70%","-51.80%",3727,2223,"$396,813,139 ",23,FALSE
"24","24-May",7,4,8049037,"-2.90%","-30.80%",3727,2159,"$404,862,176 ",24,FALSE
"25","25-May",1,4,6507209,"-19.20%","89.40%",3727,1745,"$411,369,385 ",25,FALSE
"26","26-May",2,4,1949182,"-70%","-35.50%",3727,522,"$413,318,567 ",26,FALSE
"27","27-May",3,4,1429415,"-26.70%","-38.60%",3727,383,"$414,747,982 ",27,FALSE
"28","28-May",4,4,1402043,"-1.90%","-40.40%",3727,376,"$416,150,025 ",28,FALSE
"29","29-May",5,6,2883572,"105.70%","-46.20%",3228,893,"$419,033,597 ",29,FALSE
"30","30-May",6,5,4917855,"70.50%","-40.70%",3228,1523,"$423,951,452 ",30,FALSE
"31","31-May",7,5,3599975,"-26.80%","-55.30%",3228,1115,"$427,551,427 ",31,FALSE
"32","1-Jun",1,5,1082288,"-69.90%","-83.40%",3228,335,"$428,633,715 ",32,FALSE
"33","2-Jun",2,5,1261068,"16.50%","-35.30%",3228,390,"$429,894,783 ",33,FALSE
"34","3-Jun",3,6,973884,"-22.80%","-31.90%",3228,301,"$430,868,667 ",34,FALSE
"35","4-Jun",4,6,945229,"-2.90%","-32.60%",3228,292,"$431,813,896 ",35,FALSE
"36","5-Jun",5,8,1842660,"94.90%","-36.10%",2471,745,"$433,656,556 ",36,FALSE
"37","6-Jun",6,8,2656411,"44.20%","-46%",2471,1075,"$436,312,967 ",37,FALSE
"38","7-Jun",7,8,1840592,"-30.70%","-48.90%",2471,744,"$438,153,559 ",38,FALSE
"39","8-Jun",1,8,747554,"-59.40%","-30.90%",2471,302,"$438,901,113 ",39,FALSE
"40","9-Jun",2,8,851565,"13.90%","-32.50%",2471,344,"$439,752,678 ",40,FALSE
"41","10-Jun",3,8,718865,"-15.60%","-26.20%",2471,290,"$440,471,543 ",41,FALSE
