Date,Event,DOW,Rank,Daily,YD%,LW%,Theaters,Avg,To Date,Day,Estimated
May 1,,5,1,84424532,,,4276,19743,84424532,1,False
May 2,Mayweather/Pacquiao Fight,6,1,56526635,,,4276,13219,140951167,3,False
May 3,,7,1,50319942,-11.0,,4276,11767,191271109,3,False
May 4,,1,1,13228555,-73.7,,4276,3093,204499664,4,False
May 5,,2,1,13132812,-0.7,,4276,3071,217632476,5,False
May 6,,3,1,9409838,-28.3,,4276,2200,227042314,6,False
May 7,,4,1,8613154,-8.5,,4276,2014,235655468,7,False
May 8,,5,1,21232362,146.5,-74.9,4276,4965,256887830,8,False
May 9,,6,1,33835656,59.4,-40.1,4276,7912,290723486,9,False
May 10,,7,1,22678911,-33.0,-54.9,4276,5303,313402397,10,False
May 11,,1,1,5398779,-76.2,-59.2,4276,1262,318801176,11,False
May 12,,2,1,5990413,11.0,-54.4,4276,1400,324791589,12,False
May 13,,3,1,4342154,-27.5,-53.9,4276,1015,329133743,13,False
May 14,,4,1,4037065,-7.0,-53.1,4276,944,333170808,14,False
May 15,,5,3,10019125,148.2,-52.8,4276,2343,343189933,15,False
May 16,,6,2,17204358,71.7,-49.2,4276,4023,360394291,16,False
May 17,,7,3,11636417,-32.4,-48.7,4276,2721,372030708,17,False
May 18,,1,3,3435547,-70.5,-36.4,4276,803,375466255,18,False
May 19,,2,3,3020580,-12.1,-49.6,4276,706,378486835,19,False
May 20,,3,3,2329898,-22.9,-46.3,4276,544,380816733,20,False
May 21,,4,3,2353746,1.0,-41.7,4276,550,383170479,21,False
May 22,,5,5,5356424,127.6,-46.5,3727,1437,388526903,22,False
May 23,,6,4,8286236,54.7,-51.8,3727,2223,396813139,23,False
May 24,,7,4,8049037,-2.9,-30.8,3727,2159,404862176,24,False
May 25,Memorial Day,1,4,6507209,-19.2,89.4,3727,1745,411369385,25,False
May 26,,2,4,1949182,-70.0,-35.5,3727,522,413318567,26,False
May 27,,3,4,1429415,-26.7,-38.6,3727,383,414747982,27,False
May 28,,4,4,1402043,-1.9,-40.4,3727,376,416150025,28,False
May 29,,5,6,2883572,105.7,-46.2,3228,893,419033597,29,False
May 30,,6,5,4917855,70.5,-40.7,3228,1523,423951452,30,False
May 31,,7,5,3599975,-26.8,-55.3,3228,1115,427551427,31,False
Jun 1,,1,5,1082288,-69.9,-83.4,3228,335,428633715,32,False
Jun 2,,2,5,1261068,16.5,-35.3,3228,390,429894783,33,False
Jun 3,,3,6,973884,-22.8,-31.9,3228,301,430868667,34,False
Jun 4,,4,6,945229,-2.9,-32.6,3228,292,431813896,35,False
Jun 5,,5,8,1842660,94.9,-36.1,2471,745,433656556,36,False
Jun 6,,6,8,2656411,44.2,-46.0,2471,1075,436312967,37,False
Jun 7,,7,8,1840592,-30.7,-48.9,2471,744,438153559,38,False
Jun 8,,1,8,747554,-59.4,-30.9,2471,302,438901113,39,False
Jun 9,,2,8,851565,13.9,-32.5,2471,344,439752678,40,False
Jun 10,,3,8,718865,-15.6,-26.2,2471,290,440471543,41,False
Jun 11,,4,8,630675,-12.3,-33.3,2471,255,441102218,42,False
Jun 12,,5,9,1064656,68.8,-42.2,2156,493,442166874,43,False
Jun 13,,6,8,1522453,43.0,-42.7,2156,706,443689327,44,False
Jun 14,,7,8,1087948,-28.5,-40.9,2156,504,444777275,45,False
Jun 15,,1,9,451436,-58.5,-39.6,2156,209,445228711,46,False
Jun 16,,2,9,502192,11.2,-41.0,2156,232,445730903,47,False
Jun 17,,3,9,442554,-11.9,-38.4,2156,205,446173457,48,False
Jun 18,,4,9,426496,-3.6,-32.4,2156,197,446599953,49,False
Jun 19,,5,9,734327,72.2,-31.0,1662,441,447334280,50,False
Jun 20,,6,9,1041234,41.8,-31.6,1662,626,448375514,51,False
Jun 21,,7,7,1071843,2.9,-1.5,1662,644,449447357,52,False
Jun 22,,1,9,325340,-69.6,-27.9,1662,195,449772697,53,False
Jun 23,,2,9,390085,19.9,-22.3,1662,234,450162782,54,False
Jun 24,,3,9,316379,-18.9,-28.5,1662,190,450479161,55,False
Jun 25,,4,9,306094,-3.3,-28.2,1662,184,450785255,56,False
Jun 26,,5,9,482413,57.6,-34.3,1097,439,451267668,57,False
Jun 27,,6,10,703101,45.7,-32.5,1097,640,451970769,58,False
Jun 28,,7,10,503424,-28.4,-53.0,1097,458,452474193,59,False
Jun 29,,1,9,248127,-50.7,-23.7,1097,226,452722320,60,False
Jun 30,,2,10,240934,-2.9,-38.2,1097,219,452963254,61,False
Jul 1,,3,12,162998,-32.3,-48.5,1097,148,453126252,62,False
Jul 2,,4,11,219026,34.4,-28.4,644,340,453345278,63,False
Jul 3,,5,12,363582,66.0,-24.6,589,617,453708860,64,False
Jul 4,Independence Day,6,12,269388,-25.9,-61.7,589,457,453978248,65,False
Jul 5,,7,12,253181,-6.0,-49.7,589,429,454231429,66,False
Jul 6,,1,12,140338,-44.6,-43.4,589,238,454371767,67,False
Jul 7,,2,12,155118,10.5,-35.6,589,263,454526885,68,False
