"","Date","DOW","Rank","Daily","X...YD","X...LW","Theaters","Avg","To.Date","Day","Estimated"
"1","26-Apr",5,1,157461641,"-","-",4662,33775,"$157,461,641 ",1,FALSE
"2","27-Apr",6,1,109264122,"-30.60%","-",4662,23437,"$266,725,763 ",2,FALSE
"3","28-Apr",7,1,90389244,"-17.30%","-",4662,19388,"$357,115,007 ",3,FALSE
"4","29-Apr",1,1,36874439,"-59.20%","-",4662,7909,"$393,989,446 ",4,FALSE
"5","30-Apr",2,1,33110349,"-10.20%","-",4662,7102,"$427,099,795 ",5,FALSE
"6","1-May",3,1,25251991,"-23.70%","-",4662,5416,"$452,351,786 ",6,FALSE
"7","2-May",4,1,21542852,"-14.70%","-",4662,4620,"$473,894,638 ",7,FALSE
"8","3-May",5,1,40736774,"89.10%","-74.10%",4662,8738,"$514,631,412 ",8,FALSE
"9","4-May",6,1,61527049,"51%","-43.70%",4662,13197,"$576,158,461 ",9,FALSE
"10","5-May",7,1,45119388,"-26.70%","-50.10%",4662,9678,"$621,277,849 ",10,FALSE
"11","6-May",1,1,10709607,"-76.30%","-71%",4662,2297,"$631,987,456 ",11,FALSE
"12","7-May",2,1,12518963,"16.90%","-62.20%",4662,2685,"$644,506,419 ",12,FALSE
"13","8-May",3,1,8429166,"-32.70%","-66.60%",4662,1808,"$652,935,585 ",13,FALSE
"14","9-May",4,1,7510154,"-10.90%","-65.10%",4662,1610,"$660,445,739 ",14,FALSE
"15","10-May",5,2,16190479,"115.60%","-60.30%",4662,3472,"$676,636,218 ",15,FALSE
"16","11-May",6,1,27542359,"70.10%","-55.20%",4662,5907,"$704,178,577 ",16,FALSE
"17","12-May",7,1,19567066,"-29%","-56.60%",4662,4197,"$723,745,643 ",17,FALSE
"18","13-May",1,1,4702092,"-76%","-56.10%",4662,1008,"$728,447,735 ",18,FALSE
"19","14-May",2,1,5742618,"22.10%","-54.10%",4662,1231,"$734,190,353 ",19,FALSE
"20","15-May",3,1,3788021,"-34%","-55.10%",4662,812,"$737,978,374 ",20,FALSE
"21","16-May",4,1,3416496,"-9.80%","-54.50%",4662,732,"$741,394,870 ",21,FALSE
"22","17-May",5,2,7470727,"118.70%","-53.90%",4220,1770,"$748,865,597 ",22,FALSE
"23","18-May",6,2,12903478,"72.70%","-53.20%",4220,3057,"$761,769,075 ",23,FALSE
"24","19-May",7,2,9599300,"-25.60%","-50.90%",4220,2274,"$771,368,375 ",24,FALSE
"25","20-May",1,2,3162240,"-67.10%","-32.70%",4220,749,"$774,530,615 ",25,FALSE
"26","21-May",2,2,2900871,"-8.30%","-49.50%",4220,687,"$777,431,486 ",26,FALSE
"27","22-May",3,2,1994512,"-31.20%","-47.30%",4220,472,"$779,425,998 ",27,FALSE
"28","23-May",4,2,1905738,"-4.50%","-44.20%",4220,451,"$781,331,736 ",28,FALSE
"29","24-May",5,3,4278676,"124.50%","-42.70%",3810,1123,"$785,610,412 ",29,FALSE
"30","25-May",6,3,6452368,"50.80%","-50%",3810,1693,"$792,062,780 ",30,FALSE
"31","26-May",7,3,6469698,"0.30%","-32.60%",3810,1698,"$798,532,478 ",31,FALSE
"32","27-May",1,3,4863113,"-24.80%","53.80%",3810,1276,"$803,395,591 ",32,FALSE
"33","28-May",2,3,1867668,"-61.60%","-35.60%",3810,490,"$805,263,259 ",33,FALSE
"34","29-May",3,3,1288624,"-31%","-35.40%",3810,338,"$806,551,883 ",34,FALSE
"35","30-May",4,3,1136901,"-11.80%","-40.30%",3810,298,"$807,688,784 ",35,FALSE
"36","31-May",5,6,2074012,"82.40%","-51.50%",3105,667,"$809,762,796 ",36,FALSE
"37","1-Jun",6,6,3380393,"63%","-47.60%",3105,1088,"$813,143,189 ",37,FALSE
"38","2-Jun",7,6,2583086,"-23.60%","-60.10%",3105,831,"$815,726,275 ",38,FALSE
"39","3-Jun",1,6,869816,"-66.30%","-82.10%",3105,280,"$816,596,091 ",39,FALSE
"40","4-Jun",2,7,1208347,"38.90%","-35.30%",3105,389,"$817,804,438 ",40,FALSE
"41","5-Jun",3,6,900345,"-25.50%","-30.10%",3105,289,"$818,704,783 ",41,FALSE
"42","6-Jun",4,6,861157,"-4.40%","-24.30%",3105,277,"$819,565,940 ",42,FALSE
"43","7-Jun",5,8,1251593,"45.30%","-39.70%",2121,590,"$820,817,533 ",43,FALSE
"44","8-Jun",6,8,2035511,"62.60%","-39.80%",2121,959,"$822,853,044 ",44,FALSE
"45","9-Jun",7,8,1583859,"-22.20%","-38.70%",2121,746,"$824,436,903 ",45,FALSE
"46","10-Jun",1,8,598373,"-62.20%","-31.20%",2121,282,"$825,035,276 ",46,FALSE
"47","11-Jun",2,8,790276,"32.10%","-34.60%",2121,372,"$825,825,552 ",47,FALSE
"48","12-Jun",3,8,601476,"-23.90%","-33.20%",2121,283,"$826,427,028 ",48,FALSE
"49","13-Jun",4,8,547331,"-9%","-36.40%",2121,258,"$826,974,359 ",49,FALSE
"50","14-Jun",5,12,832020,"52%","-33.50%",1450,573,"$827,806,379 ",50,FALSE
"51","15-Jun",6,11,1385165,"66.50%","-32%",1450,955,"$829,191,544 ",51,FALSE
"52","16-Jun",7,9,1508670,"8.90%","-4.70%",1450,1040,"$830,700,214 ",52,FALSE
"53","17-Jun",1,11,470423,"-68.80%","-21.40%",1450,324,"$831,170,637 ",53,FALSE
"54","18-Jun",2,11,598268,"27.20%","-24.30%",1450,412,"$831,768,905 ",54,FALSE
"55","19-Jun",3,11,459630,"-23.20%","-23.60%",1450,316,"$832,228,535 ",55,FALSE
"56","20-Jun",4,10,380431,"-17.20%","-30.50%",1450,262,"$832,608,966 ",56,FALSE
"57","21-Jun",5,13,530906,"39.60%","-36.20%",985,538,"$833,139,872 ",57,FALSE
"58","22-Jun",6,13,818809,"54.20%","-40.90%",985,831,"$833,958,681 ",58,FALSE
"59","23-Jun",7,13,638134,"-22.10%","-57.70%",985,647,"$834,596,815 ",59,FALSE
"60","24-Jun",1,13,272691,"-57.30%","-42%",985,276,"$834,869,506 ",60,FALSE
"61","25-Jun",2,14,346028,"26.90%","-42.20%",985,351,"$835,215,534 ",61,FALSE
"62","26-Jun",3,14,266300,"-23%","-42.10%",985,270,"$835,481,834 ",62,FALSE
"63","27-Jun",4,12,299327,"12.40%","-21.30%",985,303,"$835,781,161 ",63,FALSE
"64","28-Jun",5,7,1874259,"526.20%","253%",2025,925,"$837,655,420 ",64,FALSE
"65","29-Jun",6,7,2298821,"22.70%","180.80%",2025,1135,"$839,954,241 ",65,FALSE
"66","30-Jun",7,7,1935656,"-15.80%","203.30%",2025,955,"$841,889,897 ",66,FALSE
"67","1-Jul",1,7,873149,"-54.90%","220.20%",2025,431,"$842,763,046 ",67,FALSE
"68","2-Jul",2,8,585678,"-32.90%","69.30%",1985,295,"$843,348,724 ",68,FALSE
"69","3-Jul",3,9,624819,"6.70%","134.60%",1985,314,"$843,973,543 ",69,FALSE
"70","4-Jul",4,8,789290,"26.30%","163.70%",1985,397,"$844,762,833 ",70,FALSE
"71","5-Jul",5,9,1075221,"36.20%","-42.60%",1985,541,"$845,838,054 ",71,FALSE
"72","6-Jul",6,9,1215061,"13%","-47.10%",1985,612,"$847,053,115 ",72,FALSE
"73","7-Jul",7,9,828035,"-31.90%","-57.20%",1985,417,"$847,881,150 ",73,FALSE
"74","8-Jul",1,9,381012,"-54%","-56.40%",1985,191,"$848,262,162 ",74,FALSE
"75","9-Jul",2,9,506745,"33%","-13.50%",1985,255,"$848,768,907 ",75,FALSE
"76","10-Jul",3,9,384327,"-24.20%","-38.50%",1985,193,"$849,153,234 ",76,FALSE
"77","11-Jul",4,9,354905,"-7.70%","-55%",1985,178,"$849,508,139 ",77,FALSE
"78","12-Jul",5,11,600453,"69.20%","-44.20%",1443,416,"$850,108,592 ",78,FALSE
"79","13-Jul",6,11,840087,"39.90%","-30.90%",1443,582,"$850,948,679 ",79,FALSE
"80","14-Jul",7,10,663736,"-21%","-19.80%",1443,459,"$851,612,415 ",80,FALSE
"81","15-Jul",1,10,332736,"-49.90%","-12.70%",1443,230,"$851,945,151 ",81,FALSE
"82","16-Jul",2,10,437462,"31.50%","-13.70%",1443,303,"$852,382,613 ",82,FALSE
"83","17-Jul",3,10,354276,"-19%","-7.80%",1443,245,"$852,736,889 ",83,FALSE
"84","18-Jul",4,10,280304,"-20.90%","-21%",1443,194,"$853,017,193 ",84,FALSE
"85","19-Jul",5,10,460931,"64.40%","-23.20%",985,467,"$853,478,124 ",85,FALSE
"86","20-Jul",6,11,597841,"29.70%","-28.80%",985,606,"$854,075,965 ",86,FALSE
"87","21-Jul",7,11,455969,"-23.70%","-31.30%",985,462,"$854,531,934 ",87,FALSE
"88","22-Jul",1,11,257846,"-43.50%","-22.50%",985,261,"$854,789,780 ",88,FALSE
"89","23-Jul",2,11,306920,"19%","-29.80%",985,311,"$855,096,700 ",89,FALSE
"90","24-Jul",3,10,267954,"-12.70%","-24.40%",985,272,"$855,364,654 ",90,FALSE
"91","25-Jul",4,9,259095,"-3.30%","-7.60%",985,263,"$855,623,749 ",91,FALSE
"92","26-Jul",5,11,294644,"13.70%","-36.10%",580,508,"$855,918,393 ",92,FALSE
"93","27-Jul",6,11,411659,"39.70%","-31.10%",580,709,"$856,330,052 ",93,FALSE
"94","28-Jul",7,13,246306,"-40.20%","-46%",580,424,"$856,576,358 ",94,FALSE
"95","29-Jul",1,14,130571,"-47%","-49.40%",580,225,"$856,706,929 ",95,FALSE
"96","30-Jul",2,14,154435,"18.30%","-49.70%",580,266,"$856,861,364 ",96,FALSE
"97","31-Jul",3,15,119142,"-22.90%","-55.50%",580,205,"$856,980,506 ",97,FALSE
"98","1-Aug",4,12,115829,"-2.80%","-55.30%",580,199,"$857,096,335 ",98,FALSE
"99","2-Aug",5,14,112100,"-3.20%","-62%",420,266,"$857,208,435 ",99,FALSE
"100","3-Aug",6,14,151897,"35.50%","-63.10%",420,361,"$857,360,332 ",100,FALSE
"101","4-Aug",7,14,119161,"-21.60%","-51.60%",420,283,"$857,479,493 ",101,FALSE
"102","5-Aug",1,14,65861,"-44.70%","-49.60%",420,156,"$857,545,354 ",102,FALSE
"103","6-Aug",2,16,69997,"6.30%","-54.70%",420,166,"$857,615,351 ",103,FALSE
"104","7-Aug",3,16,56021,"-20%","-53%",420,133,"$857,671,372 ",104,FALSE
"105","8-Aug",4,16,48396,"-13.60%","-58.20%",420,115,"$857,719,768 ",105,FALSE
"106","9-Aug",5,20,56272,"16.30%","-49.80%",237,237,"$857,776,040 ",106,FALSE
"107","10-Aug",6,19,86232,"53.20%","-43.20%",237,363,"$857,862,272 ",107,FALSE
"108","11-Aug",7,19,67488,"-21.70%","-43.40%",237,284,"$857,929,760 ",108,FALSE
"109","12-Aug",1,19,31799,"-52.90%","-51.70%",237,134,"$857,961,559 ",109,FALSE
"110","13-Aug",2,22,33550,"5.50%","-52.10%",237,141,"$857,995,109 ",110,FALSE
"111","14-Aug",3,22,24868,"-25.90%","-55.60%",237,104,"$858,019,977 ",111,FALSE
"112","15-Aug",4,22,21669,"-12.90%","-55.20%",237,91,"$858,041,646 ",112,FALSE
"113","16-Aug",5,26,28714,"32.50%","-49%",148,194,"$858,070,360 ",113,FALSE
"114","17-Aug",6,27,42958,"49.60%","-50.20%",148,290,"$858,113,318 ",114,FALSE
"115","18-Aug",7,27,29077,"-32.30%","-56.90%",148,196,"$858,142,395 ",115,FALSE
"116","19-Aug",1,30,11510,"-60.40%","-63.80%",148,77,"$858,153,905 ",116,FALSE
"117","20-Aug",2,30,12546,"9%","-62.60%",148,84,"$858,166,451 ",117,FALSE
"118","21-Aug",3,30,11143,"-11.20%","-55.20%",148,75,"$858,177,594 ",118,FALSE
"119","22-Aug",4,30,10821,"-2.90%","-50.10%",148,73,"$858,188,415 ",119,FALSE
"120","23-Aug",5,38,13186,"21.90%","-54.10%",115,114,"$858,201,601 ",120,FALSE
"121","24-Aug",6,35,22021,"67%","-48.70%",115,191,"$858,223,622 ",121,FALSE
"122","25-Aug",7,37,15061,"-31.60%","-48.20%",115,130,"$858,238,683 ",122,FALSE
"123","26-Aug",1,41,4865,"-67.70%","-57.70%",115,42,"$858,243,548 ",123,FALSE
"124","27-Aug",2,42,5529,"13.60%","-55.90%",115,48,"$858,249,077 ",124,FALSE
"125","28-Aug",3,43,4811,"-13%","-56.80%",115,41,"$858,253,888 ",125,FALSE
