"","Date","DOW","Rank","Daily","X...YD","X...LW","Theaters","Avg","To.Date","Day","Estimated"
"1","27-Apr",5,1,106334939,"-","-",4474,23767,106334939,1,FALSE
"2","28-Apr",6,1,82131612,"-22.80%","-",4474,18357,188466551,2,FALSE
"3","29-Apr",7,1,69231632,"-15.70%","-",4474,15474,257698183,3,FALSE
"4","30-Apr",1,1,24740117,"-64.30%","-",4474,5529,282438300,4,FALSE
"5","1-May",2,1,23426108,"-5.30%","-",4474,5236,305864408,5,FALSE
"6","2-May",3,1,16966862,"-27.60%","-",4474,3792,322831270,6,FALSE
"7","3-May",4,1,15501270,"-8.60%","-",4474,3464,338332540,7,FALSE
"8","4-May",5,1,31453749,"102.90%","-70.40%",4474,7030,369786289,8,FALSE
"9","5-May",6,1,46676705,"48.40%","-43.20%",4474,10432,416462994,9,FALSE
"10","6-May",7,1,36644356,"-21.50%","-47.10%",4474,8190,453107350,10,FALSE
"11","7-May",1,1,8283575,"-77.40%","-66.50%",4474,1851,461390925,11,FALSE
"12","8-May",2,1,10673500,"28.90%","-54.40%",4474,2385,472064425,12,FALSE
"13","9-May",3,1,7051981,"-33.90%","-58.40%",4474,1576,479116406,13,FALSE
"14","10-May",4,1,6895697,"-2.20%","-55.50%",4474,1541,486012103,14,FALSE
"15","11-May",5,1,15986612,"131.80%","-49.20%",4474,3573,501998715,15,FALSE
"16","12-May",6,1,26938937,"68.50%","-42.30%",4474,6021,528937652,16,FALSE
"17","13-May",7,1,19152498,"-28.90%","-47.70%",4474,4280,548090150,17,FALSE
"18","14-May",1,1,4625938,"-75.80%","-44.20%",4474,1033,552716088,18,FALSE
"19","15-May",2,1,6009292,"29.90%","-43.70%",4474,1343,558725380,19,FALSE
"20","16-May",3,1,4193985,"-30.20%","-40.50%",4474,937,562919365,20,FALSE
"21","17-May",4,1,3441594,"-17.90%","-50.10%",4474,769,566360959,21,FALSE
"22","18-May",5,2,7306785,"112.30%","-54.30%",4002,1825,573667744,22,FALSE
"23","19-May",6,2,12791859,"75.10%","-52.50%",4002,3196,586459603,23,FALSE
"24","20-May",7,2,9354259,"-26.90%","-51.20%",4002,2337,595813862,24,FALSE
"25","21-May",1,2,2708094,"-71%","-41.50%",4002,676,598521956,25,FALSE
"26","22-May",2,2,2859727,"5.60%","-52.40%",4002,714,601381683,26,FALSE
"27","23-May",3,3,1901495,"-33.50%","-54.70%",4002,475,603283178,27,FALSE
"28","24-May",4,2,1911460,"0.50%","-44.50%",4002,477,605194638,28,FALSE
"29","25-May",5,3,4234857,"121.60%","-42%",3768,1123,609429495,29,FALSE
"30","26-May",6,3,6473278,"52.90%","-49.40%",3768,1717,615902773,30,FALSE
