Date,Event,DOW,Rank,Daily,YD%,LW%,Theaters,Avg,To Date,Day,Estimated
Apr 27,,5,1,106334939,,,4474,23767,106334939,1,False
Apr 28,,6,1,82131612,-22.8,,4474,18357,188466551,2,False
Apr 29,,7,1,69231632,-15.7,,4474,15474,257698183,3,False
Apr 30,,1,1,24740117,-64.3,,4474,5529,282438300,4,False
May 1,,2,1,23426108,-5.3,,4474,5236,305864408,5,False
May 2,,3,1,16966862,-27.6,,4474,3792,322831270,6,False
May 3,,4,1,15501270,-8.6,,4474,3464,338332540,7,False
May 4,,5,1,31453749,102.9,-70.4,4474,7030,369786289,8,False
May 5,,6,1,46676705,48.4,-43.2,4474,10432,416462994,9,False
May 6,,7,1,36644356,-21.5,-47.1,4474,8190,453107350,10,False
May 7,,1,1,8283575,-77.4,-66.5,4474,1851,461390925,11,False
May 8,,2,1,10673500,28.9,-54.4,4474,2385,472064425,12,False
May 9,,3,1,7051981,-33.9,-58.4,4474,1576,479116406,13,False
May 10,,4,1,6895697,-2.2,-55.5,4474,1541,486012103,14,False
May 11,,5,1,15986612,131.8,-49.2,4474,3573,501998715,15,False
May 12,,6,1,26938937,68.5,-42.3,4474,6021,528937652,16,False
May 13,,7,1,19152498,-28.9,-47.7,4474,4280,548090150,17,False
May 14,,1,1,4625938,-75.8,-44.2,4474,1033,552716088,18,False
May 15,,2,1,6009292,29.9,-43.7,4474,1343,558725380,19,False
May 16,,3,1,4193985,-30.2,-40.5,4474,937,562919365,20,False
May 17,,4,1,3441594,-17.9,-50.1,4474,769,566360959,21,False
May 18,,5,2,7306785,112.3,-54.3,4002,1825,573667744,22,False
May 19,,6,2,12791859,75.1,-52.5,4002,3196,586459603,23,False
May 20,,7,2,9354259,-26.9,-51.2,4002,2337,595813862,24,False
May 21,,1,2,2708094,-71.0,-41.5,4002,676,598521956,25,False
May 22,,2,2,2859727,5.6,-52.4,4002,714,601381683,26,False
May 23,,3,3,1901495,-33.5,-54.7,4002,475,603283178,27,False
May 24,,4,2,1911460,0.5,-44.5,4002,477,605194638,28,False
May 25,,5,3,4234857,121.6,-42.0,3768,1123,609429495,29,False
May 26,,6,3,6473278,52.9,-49.4,3768,1717,615902773,30,False
May 27,,7,3,6586522,1.7,-29.6,3768,1748,622489295,31,False
May 28,Memorial Day,1,3,5159885,-21.7,90.5,3768,1369,627649180,32,False
May 29,,2,3,1978217,-61.7,-30.8,3768,525,629627397,33,False
May 30,,3,4,1464526,-26.0,-23.0,3768,388,631091923,34,False
May 31,,4,4,1407009,-3.9,-26.4,3768,373,632498932,35,False
Jun 1,,5,4,2819868,100.4,-33.4,3570,789,635318800,36,False
Jun 2,,6,3,4511768,60.0,-30.3,3570,1263,639830568,37,False
