"","Date","DOW","Rank","Daily","X...YD","X...LW","Theaters","Avg","To.Date","Day","Estimated"
"1","16-Feb",5,1,75941146,"-","-",4020,18890,75941146,1,FALSE
"2","17-Feb",6,1,65995366,"-13.10%","-",4020,16416,141936512,2,FALSE
"3","18-Feb",7,1,60067439,"-9%","-",4020,14942,202003951,3,FALSE
"4","19-Feb",1,1,40151729,"-33.20%","-",4020,9987,242155680,4,FALSE
"5","20-Feb",2,1,20857361,"-48.10%","-72.50%",4020,5188,263013041,5,FALSE
"6","21-Feb",3,1,14688057,"-29.60%","-77.70%",4020,3653,277701098,6,FALSE
"7","22-Feb",4,1,14253324,"-3%","-76.30%",4020,3545,291954422,7,FALSE
"8","23-Feb",5,1,28789877,"102%","-62.10%",4020,7161,320744299,8,FALSE
"9","24-Feb",6,1,47553478,"65.20%","-27.90%",4020,11829,368297777,9,FALSE
"10","25-Feb",7,1,35315480,"-25.70%","-41.20%",4020,8784,403613257,10,FALSE
"11","26-Feb",1,1,8098481,"-77.10%","-79.80%",4020,2014,411711738,11,FALSE
"12","27-Feb",2,1,10204038,"26%","-51.10%",4020,2538,421915776,12,FALSE
"13","28-Feb",3,1,6876570,"-32.60%","-53.20%",4020,1710,428792346,13,FALSE
"14","1-Mar",4,1,6607691,"-3.90%","-53.60%",4020,1643,435400037,14,FALSE
"15","2-Mar",5,1,16257536,"146%","-43.50%",4084,3980,451657573,15,FALSE
"16","3-Mar",6,1,30052665,"84.90%","-36.80%",4084,7358,481710238,16,FALSE
"17","4-Mar",7,1,19996734,"-33.50%","-43.40%",4084,4896,501706972,17,FALSE
"18","5-Mar",1,1,4720738,"-76.40%","-41.70%",4084,1155,506427710,18,FALSE
"19","6-Mar",2,1,6258583,"32.60%","-38.70%",4084,1532,512686293,19,FALSE
"20","7-Mar",3,1,3941783,"-37%","-42.70%",4084,965,516628076,20,FALSE
"21","8-Mar",4,1,4251525,"7.90%","-35.70%",4084,1041,520879601,21,FALSE
"22","9-Mar",5,2,10018784,"135.70%","-38.40%",3942,2541,530898385,22,FALSE
"23","10-Mar",6,1,18352112,"83.20%","-38.90%",3942,4655,549250497,23,FALSE
"24","11-Mar",7,1,12446683,"-32.20%","-37.80%",3942,3157,561697180,24,FALSE
"25","12-Mar",1,1,4035653,"-67.60%","-14.50%",3942,1023,565732833,25,FALSE
"26","13-Mar",2,1,5167907,"28.10%","-17.40%",3942,1310,570900740,26,FALSE
"27","14-Mar",3,1,3843374,"-25.60%","-2.50%",3942,974,574744114,27,FALSE
"28","15-Mar",4,1,3632414,"-5.50%","-14.60%",3942,921,578376528,28,FALSE
"29","16-Mar",5,2,7482380,"106%","-25.30%",3834,1951,585858908,29,FALSE
"30","17-Mar",6,1,11558877,"54.50%","-37%",3834,3014,597417785,30,FALSE
"31","18-Mar",7,1,7609433,"-34.20%","-38.90%",3834,1984,605027218,31,FALSE
"32","19-Mar",1,1,2188463,"-71.20%","-45.80%",3834,570,607215681,32,FALSE
"33","20-Mar",2,1,2834515,"29.50%","-45.20%",3834,739,610050196,33,FALSE
"34","21-Mar",3,1,2052932,"-27.60%","-46.60%",3834,535,612103128,34,FALSE
"35","22-Mar",4,1,2155108,"5%","-40.70%",3834,562,614258236,35,FALSE
"36","23-Mar",5,2,4415270,"104.90%","-41%",3370,1310,618673506,36,FALSE
"37","24-Mar",6,2,7643962,"73.10%","-33.90%",3370,2268,626317468,37,FALSE
"38","25-Mar",7,2,5040386,"-34.10%","-33.80%",3370,1495,631357854,38,FALSE
"39","26-Mar",1,2,1819598,"-63.90%","-16.90%",3370,539,633177452,39,FALSE
"40","27-Mar",2,2,2456628,"35%","-13.30%",3370,728,635634080,40,FALSE
"41","28-Mar",3,1,1742732,"-29.10%","-15.10%",3370,517,637376812,41,FALSE
"42","29-Mar",4,2,2059822,"18.20%","-4.40%",3370,611,639436634,42,FALSE
"43","30-Mar",5,3,4090617,"98.60%","-7.40%",2988,1369,643527251,43,FALSE
"44","31-Mar",6,3,4300222,"5.10%","-43.70%",2988,1439,647827473,44,FALSE
"45","1-Apr",7,3,3096076,"-28%","-38.60%",2988,1036,650923549,45,FALSE
"46","2-Apr",1,3,1635447,"-47.20%","-10.10%",2988,547,652558996,46,FALSE
"47","3-Apr",2,3,1667090,"1.90%","-32.10%",2988,557,654226086,47,FALSE
"48","4-Apr",3,2,1397293,"-16.20%","-19.80%",2988,467,655623379,48,FALSE
"49","5-Apr",4,2,1302361,"-6.80%","-36.80%",2988,435,656925740,49,FALSE
