"","Date","DOW","Rank","Daily","X...YD","X...LW","Theaters","Avg","To.Date","Day","Estimated"
"1","11-Nov",5,1,84285721,"-","-",4396,19173,"$84,285,721 ",1,FALSE
"2","12-Nov",6,1,56131051,"-33.40%","-",4396,12768,"$140,416,772 ",2,FALSE
"3","13-Nov",7,1,40922989,"-27.10%","-",4396,9309,"$181,339,761 ",3,FALSE
"4","14-Nov",1,1,11125499,"-72.80%","-",4396,2530,"$192,465,260 ",4,FALSE
"5","15-Nov",2,1,12636707,"13.60%","-",4396,2874,"$205,101,967 ",5,FALSE
"6","16-Nov",3,1,8110601,"-35.80%","-",4396,1844,"$213,212,568 ",6,FALSE
"7","17-Nov",4,1,7480079,"-7.80%","-",4396,1701,"$220,692,647 ",7,FALSE
"8","18-Nov",5,1,17999138,"140.60%","-78.60%",4396,4094,"$238,691,785 ",8,FALSE
"9","19-Nov",6,1,28772668,"59.90%","-48.70%",4396,6545,"$267,464,453 ",9,FALSE
"10","20-Nov",7,1,19710460,"-31.50%","-51.80%",4396,4483,"$287,174,913 ",10,FALSE
"11","21-Nov",1,1,7002759,"-64.50%","-37.10%",4396,1592,"$294,177,672 ",11,FALSE
"12","22-Nov",2,1,9492924,"35.60%","-24.90%",4396,2159,"$303,670,596 ",12,FALSE
"13","23-Nov",3,1,10052869,"5.90%","23.90%",4290,2343,"$313,723,465 ",13,FALSE
"14","24-Nov",4,1,8164083,"-18.80%","9.10%",4290,1903,"$321,887,548 ",14,FALSE
"15","25-Nov",5,1,18230476,"123.30%","1.30%",4290,4249,"$340,118,024 ",15,FALSE
"16","26-Nov",6,1,17599193,"-3.50%","-38.80%",4290,4102,"$357,717,217 ",16,FALSE
"17","27-Nov",7,1,9754235,"-44.60%","-50.50%",4290,2273,"$367,471,452 ",17,FALSE
"18","28-Nov",1,1,2208258,"-77.40%","-68.50%",4290,514,"$369,679,710 ",18,FALSE
"19","29-Nov",2,1,2681411,"21.40%","-71.80%",4290,625,"$372,361,121 ",19,FALSE
"20","30-Nov",3,1,1918716,"-28.40%","-80.90%",4290,447,"$374,279,837 ",20,FALSE
"21","1-Dec",4,1,1851240,"-3.50%","-77.30%",4290,431,"$376,131,077 ",21,FALSE
"22","2-Dec",5,2,4459381,"140.90%","-75.50%",3855,1156,"$380,590,458 ",22,FALSE
"23","3-Dec",6,1,8171837,"83.30%","-53.60%",3855,2119,"$388,762,295 ",23,FALSE
"24","4-Dec",7,1,4908833,"-39.90%","-49.70%",3855,1273,"$393,671,128 ",24,FALSE
"25","5-Dec",1,1,1162850,"-76.30%","-47.30%",3855,301,"$394,833,978 ",25,FALSE
"26","6-Dec",2,1,1567075,"34.80%","-41.60%",3855,406,"$396,401,053 ",26,FALSE
"27","7-Dec",3,1,1144653,"-27%","-40.30%",3855,296,"$397,545,706 ",27,FALSE
"28","8-Dec",4,1,1165072,"1.80%","-37.10%",3855,302,"$398,710,778 ",28,FALSE
"29","9-Dec",5,1,2860689,"145.50%","-35.90%",3725,767,"$401,571,467 ",29,FALSE
"30","10-Dec",6,1,5178818,"81%","-36.60%",3725,1390,"$406,750,285 ",30,FALSE
"31","11-Dec",7,1,3195195,"-38.30%","-34.90%",3725,857,"$409,945,480 ",31,FALSE
"32","12-Dec",1,1,903453,"-71.70%","-22.30%",3725,242,"$410,848,933 ",32,FALSE
"33","13-Dec",2,1,1144342,"26.70%","-27%",3725,307,"$411,993,275 ",33,FALSE
"34","14-Dec",3,1,909059,"-20.60%","-20.60%",3725,244,"$412,902,334 ",34,FALSE
"35","15-Dec",4,1,688851,"-24.20%","-40.90%",3725,184,"$413,591,185 ",35,FALSE
"36","16-Dec",5,2,1459454,"111.90%","-49%",3380,431,"$415,050,639 ",36,FALSE
"37","17-Dec",6,2,2274228,"55.80%","-56.10%",3380,672,"$417,324,867 ",37,FALSE
"38","18-Dec",7,2,1613161,"-29.10%","-49.50%",3380,477,"$418,938,028 ",38,FALSE
"39","19-Dec",1,2,836634,"-48.10%","-7.40%",3380,247,"$419,774,662 ",39,FALSE
"40","20-Dec",2,2,1100937,"31.60%","-3.80%",3380,325,"$420,875,599 ",40,FALSE
"41","21-Dec",3,3,898080,"-18.40%","-1.20%",3200,280,"$421,773,679 ",41,FALSE
"42","22-Dec",4,3,881722,"-1.80%","28%",3200,275,"$422,655,401 ",42,FALSE
"43","23-Dec",5,5,986968,"11.90%","-32.40%",2250,438,"$423,642,369 ",43,FALSE
"44","24-Dec",6,4,785679,"-20.40%","-65.50%",2250,349,"$424,428,048 ",44,FALSE
"45","25-Dec",7,5,1719937,"118.90%","6.60%",2250,764,"$426,147,985 ",45,FALSE
"46","26-Dec",1,3,2014246,"17.10%","140.80%",2250,895,"$428,162,231 ",46,FALSE
"47","27-Dec",2,3,1784546,"-11.40%","62.10%",2250,793,"$429,946,777 ",47,FALSE
"48","28-Dec",3,3,1608074,"-9.90%","79.10%",2250,714,"$431,554,851 ",48,FALSE
"49","29-Dec",4,3,1590802,"-1.10%","80.40%",2250,707,"$433,145,653 ",49,FALSE
