Date,Event,DOW,Rank,Daily,YD%,LW%,Theaters,Avg,To Date,Day,Estimated
Nov 11,,5,1,84285721,,,4396,19173,84285721,1,False
Nov 12,,6,1,56131051,-33.4,,4396,12768,140416772,2,False
Nov 13,,7,1,40922989,-27.1,,4396,9309,181339761,3,False
Nov 14,,1,1,11125499,-72.8,,4396,2530,192465260,4,False
Nov 15,,2,1,12636707,13.6,,4396,2874,205101967,5,False
Nov 16,,3,1,8110601,-35.8,,4396,1844,213212568,6,False
Nov 17,,4,1,7480079,-7.8,,4396,1701,220692647,7,False
Nov 18,,5,1,17999138,140.6,-78.6,4396,4094,238691785,8,False
Nov 19,,6,1,28772668,59.9,-48.7,4396,6545,267464453,9,False
Nov 20,,7,1,19710460,-31.5,-51.8,4396,4483,287174913,10,False
Nov 21,World Cup (Qatar),1,1,7002759,-64.5,-37.1,4396,1592,294177672,11,False
Nov 22,World Cup (Qatar),2,1,9492924,35.6,-24.9,4396,2159,303670596,12,False
Nov 23,World Cup (Qatar),3,1,10052869,5.9,23.9,4290,2343,313723465,13,False
Nov 24,ThanksgivingWorld Cup (Qatar),4,1,8164083,-18.8,9.1,4290,1903,321887548,14,False
Nov 25,World Cup (Qatar),5,1,18230476,123.3,1.3,4290,4249,340118024,15,False
Nov 26,World Cup (Qatar),6,1,17599193,-3.5,-38.8,4290,4102,357717217,16,False
Nov 27,World Cup (Qatar),7,1,9754235,-44.6,-50.5,4290,2273,367471452,17,False
Nov 28,World Cup (Qatar),1,1,2208258,-77.4,-68.5,4290,514,369679710,18,False
Nov 29,World Cup (Qatar),2,1,2681411,21.4,-71.8,4290,625,372361121,19,False
Nov 30,World Cup (Qatar),3,1,1918716,-28.4,-80.9,4290,447,374279837,20,False
Dec 1,World Cup (Qatar),4,1,1851240,-3.5,-77.3,4290,431,376131077,21,False
Dec 2,World Cup (Qatar),5,2,4459381,140.9,-75.5,3855,1156,380590458,22,False
Dec 3,World Cup (Qatar),6,1,8171837,83.3,-53.6,3855,2119,388762295,23,False
Dec 4,World Cup (Qatar),7,1,4908833,-39.9,-49.7,3855,1273,393671128,24,False
Dec 5,World Cup (Qatar),1,1,1162850,-76.3,-47.3,3855,301,394833978,25,False
Dec 6,World Cup (Qatar),2,1,1567075,34.8,-41.6,3855,406,396401053,26,False
Dec 7,World Cup (Qatar),3,1,1144653,-27.0,-40.3,3855,296,397545706,27,False
Dec 8,World Cup (Qatar),4,1,1165072,1.8,-37.1,3855,302,398710778,28,False
Dec 9,World Cup (Qatar),5,1,2860689,145.5,-35.9,3725,767,401571467,29,False
Dec 10,World Cup (Qatar),6,1,5178818,81.0,-36.6,3725,1390,406750285,30,False
Dec 11,World Cup (Qatar),7,1,3195195,-38.3,-34.9,3725,857,409945480,31,False
