Date,Event,DOW,Rank,Daily,YD%,LW%,Theaters,Avg,To Date,Day,Estimated
Feb 16,PyeongChang Olympics,5,1,75941146,,,4020,18890,75941146,1,False
Feb 17,PyeongChang Olympics,6,1,65995366,-13.1,,4020,16416,141936512,2,False
Feb 18,PyeongChang Olympics,7,1,60067439,-9.0,,4020,14942,202003951,3,False
Feb 19,Presidents' DayPyeongChang Olympics,1,1,40151729,-33.2,,4020,9987,242155680,4,False
Feb 20,PyeongChang Olympics,2,1,20857361,-48.1,-72.5,4020,5188,263013041,5,False
Feb 21,PyeongChang Olympics,3,1,14688057,-29.6,-77.7,4020,3653,277701098,6,False
Feb 22,PyeongChang Olympics,4,1,14253324,-3.0,-76.3,4020,3545,291954422,7,False
Feb 23,PyeongChang Olympics,5,1,28789877,102.0,-62.1,4020,7161,320744299,8,False
Feb 24,PyeongChang Olympics,6,1,47553478,65.2,-27.9,4020,11829,368297777,9,False
Feb 25,PyeongChang Olympics,7,1,35315480,-25.7,-41.2,4020,8784,403613257,10,False
Feb 26,,1,1,8098481,-77.1,-79.8,4020,2014,411711738,11,False
Feb 27,,2,1,10204038,26.0,-51.1,4020,2538,421915776,12,False
Feb 28,,3,1,6876570,-32.6,-53.2,4020,1710,428792346,13,False
Mar 1,,4,1,6607691,-3.9,-53.6,4020,1643,435400037,14,False
Mar 2,,5,1,16257536,146.0,-43.5,4084,3980,451657573,15,False
Mar 3,,6,1,30052665,84.9,-36.8,4084,7358,481710238,16,False
Mar 4,,7,1,19996734,-33.5,-43.4,4084,4896,501706972,17,False
Mar 5,,1,1,4720738,-76.4,-41.7,4084,1155,506427710,18,False
Mar 6,,2,1,6258583,32.6,-38.7,4084,1532,512686293,19,False
Mar 7,,3,1,3941783,-37.0,-42.7,4084,965,516628076,20,False
Mar 8,,4,1,4251525,7.9,-35.7,4084,1041,520879601,21,False
Mar 9,,5,2,10018784,135.7,-38.4,3942,2541,530898385,22,False
Mar 10,,6,1,18352112,83.2,-38.9,3942,4655,549250497,23,False
Mar 11,,7,1,12446683,-32.2,-37.8,3942,3157,561697180,24,False
Mar 12,,1,1,4035653,-67.6,-14.5,3942,1023,565732833,25,False
Mar 13,,2,1,5167907,28.1,-17.4,3942,1310,570900740,26,False
