"","Date","DOW","Rank","Daily","X...YD","X...LW","Theaters","Avg","To.Date","Day","Estimated"
"1","9-Jul",5,1,39510446,"-","-",4160,9497,"$39,510,446 ",1,FALSE
"2","10-Jul",6,1,23305929,"-41%","-",4160,5602,"$62,816,375 ",2,FALSE
"3","11-Jul",7,1,17549937,"-24.70%","-",4160,4218,"$80,366,312 ",3,FALSE
"4","12-Jul",1,1,7163140,"-59.20%","-",4160,1721,"$87,529,452 ",4,FALSE
"5","13-Jul",2,1,7702881,"7.50%","-",4160,1851,"$95,232,333 ",5,FALSE
"6","14-Jul",3,1,5502248,"-28.60%","-",4160,1322,"$100,734,581 ",6,FALSE
"7","15-Jul",4,1,5027090,"-8.60%","-",4160,1208,"$105,761,671 ",7,FALSE
"8","16-Jul",5,2,8055534,"60.20%","-79.60%",4275,1884,"$113,817,205 ",8,FALSE
"9","17-Jul",6,1,10423700,"29.40%","-55.30%",4275,2438,"$124,240,905 ",9,FALSE
"10","18-Jul",7,1,7368262,"-29.30%","-58%",4275,1723,"$131,609,167 ",10,FALSE
"11","19-Jul",1,1,3001414,"-59.30%","-58.10%",4275,702,"$134,610,581 ",11,FALSE
"12","20-Jul",2,1,3416780,"13.80%","-55.60%",4275,799,"$138,027,361 ",12,FALSE
"13","21-Jul",3,1,2837693,"-16.90%","-48.40%",4275,663,"$140,865,054 ",13,FALSE
"14","22-Jul",4,1,2341629,"-17.50%","-53.40%",4275,547,"$143,206,683 ",14,FALSE
"15","23-Jul",5,3,3472585,"48.30%","-56.90%",4250,817,"$146,679,268 ",15,FALSE
"16","24-Jul",6,2,4710893,"35.70%","-54.80%",4250,1108,"$151,390,161 ",16,FALSE
"17","25-Jul",7,2,3435420,"-27.10%","-53.40%",4250,808,"$154,825,581 ",17,FALSE
"18","26-Jul",1,2,1430260,"-58.40%","-52.30%",4250,336,"$156,255,841 ",18,FALSE
"19","27-Jul",2,2,1717856,"20.10%","-49.70%",4250,404,"$157,973,697 ",19,FALSE
"20","28-Jul",3,2,1377817,"-19.80%","-51.40%",4250,324,"$159,351,514 ",20,FALSE
"21","29-Jul",4,2,1289348,"-6.40%","-44.90%",4250,303,"$160,640,862 ",21,FALSE
"22","30-Jul",5,4,1985641,"54%","-42.80%",3360,590,"$162,626,503 ",22,FALSE
"23","31-Jul",6,3,2608861,"31.40%","-44.60%",3360,776,"$165,235,364 ",23,FALSE
"24","1-Aug",7,3,1876681,"-28.10%","-45.40%",3360,558,"$167,112,045 ",24,FALSE
