Date,Event,DOW,Rank,Daily,YD%,LW%,Theaters,Avg,To Date,Day,Estimated
Jul 9,,5,1,39510446,,,4160,9497,39510446,1,False
Jul 10,,6,1,23305929,-41.0,,4160,5602,62816375,2,False
Jul 11,,7,1,17549937,-24.7,,4160,4218,80366312,3,False
Jul 12,,1,1,7163140,-59.2,,4160,1721,87529452,4,False
Jul 13,,2,1,7702881,7.5,,4160,1851,95232333,5,False
Jul 14,,3,1,5502248,-28.6,,4160,1322,100734581,6,False
Jul 15,,4,1,5027090,-8.6,,4160,1208,105761671,7,False
Jul 16,,5,2,8055534,60.2,-79.6,4275,1884,113817205,8,False
Jul 17,,6,1,10423700,29.4,-55.3,4275,2438,124240905,9,False
Jul 18,,7,1,7368262,-29.3,-58.0,4275,1723,131609167,10,False
Jul 19,,1,1,3001414,-59.3,-58.1,4275,702,134610581,11,False
Jul 20,,2,1,3416780,13.8,-55.6,4275,799,138027361,12,False
Jul 21,,3,1,2837693,-16.9,-48.4,4275,663,140865054,13,False
Jul 22,,4,1,2341629,-17.5,-53.4,4275,547,143206683,14,False
Jul 23,,5,3,3472585,48.3,-56.9,4250,817,146679268,15,False
Jul 24,,6,2,4710893,35.7,-54.8,4250,1108,151390161,16,False
Jul 25,,7,2,3435420,-27.1,-53.4,4250,808,154825581,17,False
Jul 26,,1,2,1430260,-58.4,-52.3,4250,336,156255841,18,False
Jul 27,,2,2,1717856,20.1,-49.7,4250,404,157973697,19,False
Jul 28,,3,2,1377817,-19.8,-51.4,4250,324,159351514,20,False
Jul 29,,4,2,1289348,-6.4,-44.9,4250,303,160640862,21,False
Jul 30,,5,4,1985641,54.0,-42.8,3360,590,162626503,22,False
Jul 31,,6,3,2608861,31.4,-44.6,3360,776,165235364,23,False
Aug 1,,7,3,1876681,-28.1,-45.4,3360,558,167112045,24,False
Aug 2,,1,3,853730,-54.5,-40.3,3360,254,167965775,25,False
Aug 3,,2,3,892760,4.6,-48.0,3360,265,168858535,26,False
Aug 4,,3,3,791866,-11.3,-42.5,3360,235,169650401,27,False
Aug 5,,4,3,701383,-11.4,-45.6,3360,208,170351784,28,False
Aug 6,,5,4,1176348,67.7,-40.8,3100,379,171528132,29,False
Aug 7,,6,4,1668989,41.9,-36.0,3100,538,173197121,30,False
Aug 8,,7,4,1082915,-35.1,-42.3,3100,349,174280036,31,False
Aug 9,,1,3,481525,-55.5,-43.6,3100,155,174761561,32,False
Aug 10,,2,3,558709,16.0,-37.4,3100,180,175320270,33,False
Aug 11,,3,3,456736,-18.3,-42.3,3100,147,175777006,34,False
Aug 12,,4,2,422525,-7.5,-39.8,3100,136,176199531,35,False
Aug 13,,5,6,555439,31.5,-52.8,2060,269,176754970,36,False
Aug 14,,6,6,818674,47.4,-50.9,2060,397,177573644,37,False
Aug 15,,7,6,537500,-34.3,-50.4,2060,260,178111144,38,False
Aug 16,,1,6,228460,-57.5,-52.6,2060,110,178339604,39,False
