Date,Event,DOW,Rank,Daily,YD%,LW%,Theaters,Avg,To Date,Day,Estimated
May 6,,5,1,75502161,,,4226,17866,75502161,1,False
May 7,,6,1,61209001,-18.9,,4226,14483,136711162,2,False
May 8,,7,1,42427980,-30.7,,4226,10039,179139142,3,False
May 9,,1,1,13291876,-68.7,,4226,3145,192431018,4,False
May 10,,2,1,13761120,3.5,,4226,3256,206192138,5,False
May 11,,3,1,8976371,-34.8,,4226,2124,215168509,6,False
May 12,,4,1,8160569,-9.1,,4226,1931,223329078,7,False
May 13,,5,1,19612028,140.3,-74.0,4226,4640,242941106,8,False
May 14,,6,1,31960342,63.0,-47.8,4226,7562,274901448,9,False
May 15,,7,1,21064772,-34.1,-50.4,4226,4984,295966220,10,False
May 16,,1,1,4751083,-77.4,-64.3,4226,1124,300717303,11,False
May 17,,2,1,5928602,24.8,-56.9,4226,1402,306645905,12,False
May 18,,3,1,3899984,-34.2,-56.6,4226,922,310545889,13,False
May 19,,4,1,3730264,-4.4,-54.3,4226,882,314276153,14,False
May 20,,5,3,8612395,130.9,-56.1,4226,2037,322888548,15,False
May 21,,6,2,14623025,69.8,-54.2,4226,3460,337511573,16,False
May 22,,7,2,9704319,-33.6,-53.9,4226,2296,347215892,17,False
May 23,,1,1,3020789,-68.9,-36.4,4226,714,350236681,18,False
May 24,,2,1,2889710,-4.3,-51.3,4226,683,353126391,19,False
May 25,,3,1,2272708,-21.4,-41.7,4226,537,355399099,20,False
May 26,,4,1,2076849,-8.6,-44.3,4226,491,357475948,21,False
May 27,,5,4,4046772,94.9,-53.0,3395,1191,361522720,22,False
May 28,,6,4,5793941,43.2,-60.4,3395,1706,367316661,23,False
May 29,,7,4,5555011,-4.1,-42.8,3395,1636,372871672,24,False
May 30,Memorial Day,1,4,4608785,-17.0,52.6,3395,1357,377480457,25,False
May 31,,2,4,1548605,-66.4,-46.4,3395,456,379029062,26,False
Jun 1,,3,4,1201806,-22.4,-47.1,3395,353,380230868,27,False
Jun 2,,4,4,1118289,-6.9,-46.2,3395,329,381349157,28,False
Jun 3,,5,6,2096013,87.4,-48.2,3084,679,383445170,29,False
Jun 4,,6,6,3311126,58.0,-42.9,3084,1073,386756296,30,False
Jun 5,,7,6,2422340,-26.8,-56.4,3084,785,389178636,31,False
Jun 6,,1,6,837255,-65.4,-81.8,3084,271,390015891,32,False
Jun 7,,2,6,995368,18.9,-35.7,3084,322,391011259,33,False
Jun 8,,3,6,772948,-22.3,-35.7,3084,250,391784207,34,False
Jun 9,,4,6,772941,0.1,-30.9,3084,250,392557148,35,False
Jun 10,,5,9,1169004,51.2,-44.2,2101,556,393726152,36,False
Jun 11,,6,9,1884866,61.2,-43.1,2101,897,395611018,37,False
Jun 12,,7,9,1260472,-33.1,-48.0,2101,599,396871490,38,False
Jun 13,,1,9,484771,-61.5,-42.1,2101,230,397356261,39,False
Jun 14,,2,9,636173,31.2,-36.1,2101,302,397992434,40,False
Jun 15,,3,9,548482,-13.8,-29.0,2101,261,398540916,41,False
Jun 16,,4,9,440053,-19.8,-43.1,2101,209,398980969,42,False
Jun 17,,5,10,582077,32.3,-50.2,1434,405,399563046,43,False
