"","Date","DOW","Rank","Daily","X...YD","X...LW","Theaters","Avg","To.Date","Day","Estimated"
"1","22-Jul",5,1,25700189,"-","-",3715,6917,"$25,700,189 ",1,FALSE
"2","23-Jul",6,1,21943393,"-14.60%","-",3715,5906,"$47,643,582 ",2,FALSE
"3","24-Jul",7,1,17414942,"-20.60%","-",3715,4687,"$65,058,524 ",3,FALSE
"4","25-Jul",1,1,7752188,"-55.50%","-",3715,2086,"$72,810,712 ",4,FALSE
"5","26-Jul",2,1,7831121,"1%","-",3715,2107,"$80,641,833 ",5,FALSE
"6","27-Jul",3,1,5801265,"-25.90%","-",3715,1561,"$86,443,098 ",6,FALSE
"7","28-Jul",4,1,5424170,"-6.50%","-",3715,1460,"$91,867,268 ",7,FALSE
"8","29-Jul",5,3,7864581,"45%","-69.40%",3715,2116,"$99,731,849 ",8,FALSE
"9","30-Jul",6,3,9939604,"26.40%","-54.70%",3715,2675,"$109,671,453 ",9,FALSE
"10","31-Jul",7,3,7750118,"-22%","-55.50%",3715,2086,"$117,421,571 ",10,FALSE
"11","1-Aug",1,3,3438458,"-55.60%","-55.60%",3715,925,"$120,860,029 ",11,FALSE
"12","2-Aug",2,3,3621505,"5.30%","-53.80%",3715,974,"$124,481,534 ",12,FALSE
"13","3-Aug",3,3,2986118,"-17.50%","-48.50%",3715,803,"$127,467,652 ",13,FALSE
"14","4-Aug",4,3,2714393,"-9.10%","-50%",3715,730,"$130,182,045 ",14,FALSE
"15","5-Aug",5,5,3794738,"39.80%","-51.70%",3620,1048,"$133,976,783 ",15,FALSE
"16","6-Aug",6,4,5183685,"36.60%","-47.80%",3620,1431,"$139,160,468 ",16,FALSE
"17","7-Aug",7,5,4043499,"-22%","-47.80%",3620,1116,"$143,203,967 ",17,FALSE
"18","8-Aug",1,5,1672605,"-58.60%","-51.40%",3620,462,"$144,876,572 ",18,FALSE
"19","9-Aug",2,4,1989856,"19%","-45.10%",3620,549,"$146,866,428 ",19,FALSE
"20","10-Aug",3,5,1503295,"-24.50%","-49.70%",3620,415,"$148,369,723 ",20,FALSE
"21","11-Aug",4,5,1390483,"-7.50%","-48.80%",3620,384,"$149,760,206 ",21,FALSE
"22","12-Aug",5,9,2056167,"47.90%","-45.80%",2835,725,"$151,816,373 ",22,FALSE
"23","13-Aug",6,7,2879093,"40%","-44.50%",2835,1015,"$154,695,466 ",23,FALSE
"24","14-Aug",7,8,2275642,"-21%","-43.70%",2835,802,"$156,971,108 ",24,FALSE
"25","15-Aug",1,8,985172,"-56.70%","-41.10%",2835,347,"$157,956,280 ",25,FALSE
"26","16-Aug",2,8,1055121,"7.10%","-47%",2835,372,"$159,011,401 ",26,FALSE
"27","17-Aug",3,8,810629,"-23.20%","-46.10%",2835,285,"$159,822,030 ",27,FALSE
"28","18-Aug",4,9,810084,"<0.1%","-41.70%",2835,285,"$160,632,114 ",28,FALSE
"29","19-Aug",5,12,1187772,"46.60%","-42.20%",1988,597,"$161,819,886 ",29,FALSE
"30","20-Aug",6,13,1726846,"45.40%","-40%",1988,868,"$163,546,732 ",30,FALSE
"31","21-Aug",7,13,1200911,"-30.50%","-47.20%",1988,604,"$164,747,643 ",31,FALSE
"32","22-Aug",1,12,452532,"-62.30%","-54.10%",1988,227,"$165,200,175 ",32,FALSE
"33","23-Aug",2,12,486116,"7.40%","-53.90%",1988,244,"$165,686,291 ",33,FALSE
"34","24-Aug",3,12,400440,"-17.60%","-50.60%",1988,201,"$166,086,731 ",34,FALSE
"35","25-Aug",4,12,435137,"8.70%","-46.30%",1988,218,"$166,521,868 ",35,FALSE
"36","26-Aug",5,16,628355,"44.40%","-47.10%",1424,441,"$167,150,223 ",36,FALSE
"37","27-Aug",6,16,955978,"52.10%","-44.60%",1424,671,"$168,106,201 ",37,FALSE
"38","28-Aug",7,16,664105,"-30.50%","-44.70%",1424,466,"$168,770,306 ",38,FALSE
"39","29-Aug",1,15,238314,"-64.10%","-47.30%",1424,167,"$169,008,620 ",39,FALSE
"40","30-Aug",2,15,256942,"7.80%","-47.10%",1424,180,"$169,265,562 ",40,FALSE
"41","31-Aug",3,16,214567,"-16.50%","-46.40%",1424,150,"$169,480,129 ",41,FALSE
"42","1-Sep",4,16,219045,"2.10%","-49.70%",1424,153,"$169,699,174 ",42,FALSE
"43","2-Sep",5,14,456605,"108.50%","-27.30%",1050,434,"$170,155,779 ",43,FALSE
"44","3-Sep",6,13,713285,"56.20%","-25.40%",1050,679,"$170,869,064 ",44,FALSE
"45","4-Sep",7,13,758477,"6.30%","14.20%",1050,722,"$171,627,541 ",45,FALSE
"46","5-Sep",1,13,645219,"-14.90%","170.70%",1050,614,"$172,272,760 ",46,FALSE
"47","6-Sep",2,16,128530,"-80.10%","-50%",1050,122,"$172,401,290 ",47,FALSE
"48","7-Sep",3,16,108701,"-15.40%","-49.30%",1050,103,"$172,509,991 ",48,FALSE
"49","8-Sep",4,16,104019,"-4.30%","-52.50%",1050,99,"$172,614,010 ",49,FALSE
"50","9-Sep",5,17,244177,"134.70%","-46.50%",804,303,"$172,858,187 ",50,FALSE
"51","10-Sep",6,17,392501,"60.70%","-45%",804,488,"$173,250,688 ",51,FALSE
"52","11-Sep",7,18,208975,"-46.80%","-72.40%",804,259,"$173,459,663 ",52,FALSE
"53","12-Sep",1,18,60731,"-70.90%","-90.60%",804,75,"$173,520,394 ",53,FALSE
"54","13-Sep",2,18,74404,"22.50%","-42.10%",804,92,"$173,594,798 ",54,FALSE
"55","14-Sep",3,18,68137,"-8.40%","-37.30%",804,84,"$173,662,935 ",55,FALSE
"56","15-Sep",4,17,74639,"9.50%","-28.20%",804,92,"$173,737,574 ",56,FALSE
"57","16-Sep",5,21,154360,"106.80%","-36.80%",540,285,"$173,891,934 ",57,FALSE
"58","17-Sep",6,20,260287,"68.60%","-33.70%",540,482,"$174,152,221 ",58,FALSE
"59","18-Sep",7,20,149299,"-42.60%","-28.60%",540,276,"$174,301,520 ",59,FALSE
"60","19-Sep",1,22,43210,"-71.10%","-28.90%",540,80,"$174,344,730 ",60,FALSE
"61","20-Sep",2,23,48639,"12.60%","-34.60%",540,90,"$174,393,369 ",61,FALSE
"62","21-Sep",3,21,45188,"-7.10%","-33.70%",540,83,"$174,438,557 ",62,FALSE
"63","22-Sep",4,19,52376,"15.90%","-29.80%",540,96,"$174,490,933 ",63,FALSE
"64","23-Sep",5,24,85428,"63.10%","-44.70%",334,255,"$174,576,361 ",64,FALSE
"65","24-Sep",6,24,139519,"63.30%","-46.40%",334,417,"$174,715,880 ",65,FALSE
"66","25-Sep",7,24,77082,"-44.80%","-48.40%",334,230,"$174,792,962 ",66,FALSE
"67","26-Sep",1,24,23466,"-69.60%","-45.70%",334,70,"$174,816,428 ",67,FALSE
"68","27-Sep",2,23,27108,"15.50%","-44.30%",334,81,"$174,843,536 ",68,FALSE
