Date,Event,DOW,Rank,Daily,YD%,LW%,Theaters,Avg,To Date,Day,Estimated
Jul 22,,5,1,25700189,,,3715,6917,25700189,1,False
Jul 23,,6,1,21943393,-14.6,,3715,5906,47643582,2,False
Jul 24,,7,1,17414942,-20.6,,3715,4687,65058524,3,False
Jul 25,,1,1,7752188,-55.5,,3715,2086,72810712,4,False
Jul 26,,2,1,7831121,1.0,,3715,2107,80641833,5,False
Jul 27,,3,1,5801265,-25.9,,3715,1561,86443098,6,False
Jul 28,,4,1,5424170,-6.5,,3715,1460,91867268,7,False
Jul 29,,5,3,7864581,45.0,-69.4,3715,2116,99731849,8,False
Jul 30,,6,3,9939604,26.4,-54.7,3715,2675,109671453,9,False
Jul 31,,7,3,7750118,-22.0,-55.5,3715,2086,117421571,10,False
Aug 1,,1,3,3438458,-55.6,-55.6,3715,925,120860029,11,False
Aug 2,,2,3,3621505,5.3,-53.8,3715,974,124481534,12,False
Aug 3,,3,3,2986118,-17.5,-48.5,3715,803,127467652,13,False
Aug 4,,4,3,2714393,-9.1,-50.0,3715,730,130182045,14,False
Aug 5,,5,5,3794738,39.8,-51.7,3620,1048,133976783,15,False
Aug 6,,6,4,5183685,36.6,-47.8,3620,1431,139160468,16,False
Aug 7,,7,5,4043499,-22.0,-47.8,3620,1116,143203967,17,False
Aug 8,,1,5,1672605,-58.6,-51.4,3620,462,144876572,18,False
Aug 9,,2,4,1989856,19.0,-45.1,3620,549,146866428,19,False
Aug 10,,3,5,1503295,-24.5,-49.7,3620,415,148369723,20,False
Aug 11,,4,5,1390483,-7.5,-48.8,3620,384,149760206,21,False
Aug 12,,5,9,2056167,47.9,-45.8,2835,725,151816373,22,False
Aug 13,,6,7,2879093,40.0,-44.5,2835,1015,154695466,23,False
Aug 14,,7,8,2275642,-21.0,-43.7,2835,802,156971108,24,False
Aug 15,,1,8,985172,-56.7,-41.1,2835,347,157956280,25,False
Aug 16,,2,8,1055121,7.1,-47.0,2835,372,159011401,26,False
Aug 17,,3,8,810629,-23.2,-46.1,2835,285,159822030,27,False
Aug 18,,4,9,810084,0.1,-41.7,2835,285,160632114,28,False
Aug 19,,5,12,1187772,46.6,-42.2,1988,597,161819886,29,False
Aug 20,,6,13,1726846,45.4,-40.0,1988,868,163546732,30,False
Aug 21,,7,13,1200911,-30.5,-47.2,1988,604,164747643,31,False
Aug 22,,1,12,452532,-62.3,-54.1,1988,227,165200175,32,False
Aug 23,,2,12,486116,7.4,-53.9,1988,244,165686291,33,False
Aug 24,,3,12,400440,-17.6,-50.6,1988,201,166086731,34,False
Aug 25,,4,12,435137,8.7,-46.3,1988,218,166521868,35,False
Aug 26,,5,16,628355,44.4,-47.1,1424,441,167150223,36,False
Aug 27,,6,16,955978,52.1,-44.6,1424,671,168106201,37,False
Aug 28,,7,16,664105,-30.5,-44.7,1424,466,168770306,38,False
Aug 29,,1,15,238314,-64.1,-47.3,1424,167,169008620,39,False
Aug 30,,2,15,256942,7.8,-47.1,1424,180,169265562,40,False
Aug 31,,3,16,214567,-16.5,-46.4,1424,150,169480129,41,False
Sep 1,,4,16,219045,2.1,-49.7,1424,153,169699174,42,False
Sep 2,,5,14,456605,108.5,-27.3,1050,434,170155779,43,False
Sep 3,,6,13,713285,56.2,-25.4,1050,679,170869064,44,False
Sep 4,,7,13,758477,6.3,14.2,1050,722,171627541,45,False
Sep 5,Labor Day,1,13,645219,-14.9,170.7,1050,614,172272760,46,False
Sep 6,,2,16,128530,-80.1,-50.0,1050,122,172401290,47,False
Sep 7,,3,16,108701,-15.4,-49.3,1050,103,172509991,48,False
Sep 8,,4,16,104019,-4.3,-52.5,1050,99,172614010,49,False
Sep 9,,5,17,244177,134.7,-46.5,804,303,172858187,50,False
Sep 10,,6,17,392501,60.7,-45.0,804,488,173250688,51,False
Sep 11,,7,18,208975,-46.8,-72.4,804,259,173459663,52,False
Sep 12,,1,18,60731,-70.9,-90.6,804,75,173520394,53,False
Sep 13,,2,18,74404,22.5,-42.1,804,92,173594798,54,False
Sep 14,,3,18,68137,-8.4,-37.3,804,84,173662935,55,False
Sep 15,,4,17,74639,9.5,-28.2,804,92,173737574,56,False
Sep 16,,5,21,154360,106.8,-36.8,540,285,173891934,57,False
Sep 17,,6,20,260287,68.6,-33.7,540,482,174152221,58,False
Sep 18,,7,20,149299,-42.6,-28.6,540,276,174301520,59,False
Sep 19,,1,22,43210,-71.1,-28.9,540,80,174344730,60,False
Sep 20,,2,23,48639,12.6,-34.6,540,90,174393369,61,False
Sep 21,,3,21,45188,-7.1,-33.7,540,83,174438557,62,False
Sep 22,,4,19,52376,15.9,-29.8,540,96,174490933,63,False
Sep 23,,5,24,85428,63.1,-44.7,334,255,174576361,64,False
Sep 24,,6,24,139519,63.3,-46.4,334,417,174715880,65,False
Sep 25,,7,24,77082,-44.8,-48.4,334,230,174792962,66,False
Sep 26,,1,24,23466,-69.6,-45.7,334,70,174816428,67,False
Sep 27,,2,23,27108,15.5,-44.3,334,81,174843536,68,False
Sep 28,,3,24,23873,-11.9,-47.2,334,71,174867409,69,False
Sep 29,,4,23,26802,12.3,-48.8,334,80,174894211,70,False
Sep 30,,5,21,121298,352.6,42.0,350,346,175015509,71,False
Oct 1,,6,20,192122,58.4,37.7,350,548,175207631,72,False
Oct 2,,7,16,122787,-36.1,59.3,350,350,175330418,73,False
Oct 3,,1,17,39115,-68.1,66.7,350,111,175369533,74,False
Oct 4,,2,17,45104,15.3,66.4,350,128,175414637,75,False
Oct 5,,3,20,38374,-14.9,60.7,350,109,175453011,76,False
Oct 6,,4,18,41089,7.1,53.3,350,117,175494100,77,False
Oct 7,,5,18,91790,123.4,-24.3,303,302,175585890,78,False
Oct 8,,6,19,131960,43.8,-31.3,303,435,175717850,79,False
Oct 9,,7,18,88003,-33.3,-28.3,303,290,175805853,80,False
Oct 10,Indig. Peoples' Day,1,18,43015,-51.1,10.0,303,141,175848868,81,False
Oct 11,,2,18,31233,-27.4,-30.8,303,103,175880101,82,False
Oct 12,,3,18,28602,-8.4,-25.5,303,94,175908703,83,False
Oct 13,,4,18,31830,11.3,-22.5,303,105,175940533,84,False
Oct 14,,5,21,70372,121.1,-23.3,246,286,176010905,85,False
Oct 15,,6,22,103842,47.6,-21.3,246,422,176114747,86,False
Oct 16,,7,22,59040,-43.1,-32.9,246,240,176173787,87,False
Oct 17,,1,21,19747,-66.6,-54.1,246,80,176193534,88,False
Oct 18,,2,20,22568,14.3,-27.7,246,91,176216102,89,False
Oct 19,,3,19,20465,-9.3,-28.4,246,83,176236567,90,False
Oct 20,,4,19,26085,27.5,-18.0,246,106,176262652,91,False
Oct 21,,5,23,51013,95.6,-27.5,184,277,176313665,92,False
Oct 22,,6,23,70752,38.7,-31.9,184,384,176384417,93,False
Oct 23,,7,23,38978,-44.9,-34.0,184,211,176423395,94,False
Oct 24,,1,23,11670,-70.1,-40.9,184,63,176435065,95,False
Oct 25,,2,24,13653,17.0,-39.5,184,74,176448718,96,False
Oct 26,,3,25,11733,-14.1,-42.7,184,63,176460451,97,False
Oct 27,,4,29,12296,4.8,-52.9,184,66,176472747,98,False
Oct 28,,5,29,22690,84.5,-55.5,139,163,176495437,99,False
Oct 29,,6,28,35222,55.2,-50.2,139,253,176530659,100,False
Oct 30,,7,30,20517,-41.7,-47.4,139,147,176551176,101,False
Oct 31,Halloween,1,34,7964,-61.2,-31.8,139,57,176559140,102,False
Nov 1,,2,35,7830,-1.7,-42.6,139,56,176566970,103,False
Nov 2,,3,35,6087,-22.3,-48.1,139,43,176573057,104,False
Nov 3,,4,34,6948,14.1,-43.5,139,49,176580005,105,False
Nov 4,,5,31,17677,154.4,-22.1,102,173,176597682,106,False
Nov 5,,6,31,25292,43.1,-28.2,102,247,176622974,107,False
Nov 6,,7,32,13842,-45.3,-32.5,102,135,176636816,108,False
Nov 7,,1,35,3531,-74.5,-55.7,102,34,176640347,109,False
Nov 8,,2,36,4539,28.5,-42.0,102,44,176644886,110,False
Nov 9,,3,37,3777,-16.8,-37.9,102,37,176648663,111,False
Nov 10,,4,37,5842,54.7,-15.9,102,57,176654505,112,False
