"","Date","DOW","Rank","Daily","X...YD","X...LW","Theaters","Avg","To.Date","Day","Estimated"
"1","4-Apr",5,1,36926192,"-","-",3938,9376,36926192,1,FALSE
"2","5-Apr",6,1,34666864,"-6.10%","-",3938,8803,71593056,2,FALSE
"3","6-Apr",7,1,23430665,"-32.40%","-",3938,5949,95023721,3,FALSE
"4","7-Apr",1,1,6219552,"-73.50%","-",3938,1579,101243273,4,FALSE
"5","8-Apr",2,1,6977056,"12.20%","-",3938,1771,108220329,5,FALSE
"6","9-Apr",3,1,4805702,"-31.10%","-",3938,1220,113026031,6,FALSE
"7","10-Apr",4,1,4582140,"-4.70%","-",3938,1163,117608171,7,FALSE
"8","11-Apr",5,2,11866741,"159%","-67.90%",3938,3013,129474912,8,FALSE
"9","12-Apr",6,1,17734355,"49.40%","-48.80%",3938,4503,147209267,9,FALSE
"10","13-Apr",7,2,11673765,"-34.20%","-50.20%",3938,2964,158883032,10,FALSE
"11","14-Apr",1,1,3462915,"-70.30%","-44.30%",3938,879,162345947,11,FALSE
"12","15-Apr",2,1,4726740,"36.50%","-32.30%",3938,1200,167072687,12,FALSE
"13","16-Apr",3,2,3524058,"-25.40%","-26.70%",3938,894,170596745,13,FALSE
"14","17-Apr",4,1,4317709,"22.50%","-5.80%",3938,1096,174914454,14,FALSE
"15","18-Apr",5,1,9503748,"120.10%","-19.90%",3825,2484,184418202,15,FALSE
"16","19-Apr",6,1,10336793,"8.80%","-41.70%",3825,2702,194754995,16,FALSE
"17","20-Apr",7,2,5746515,"-44.40%","-50.80%",3825,1502,200501510,17,FALSE
"18","21-Apr",1,2,2595127,"-54.80%","-25.10%",3825,678,203096637,18,FALSE
"19","22-Apr",2,2,2205248,"-15%","-53.30%",3825,576,205301885,19,FALSE
"20","23-Apr",3,2,1773553,"-19.60%","-49.70%",3825,463,207075438,20,FALSE
"21","24-Apr",4,1,1764778,"-0.50%","-59.10%",3825,461,208840216,21,FALSE
"22","25-Apr",5,2,4415521,"150.20%","-53.50%",3620,1219,213255737,22,FALSE
"23","26-Apr",6,2,7318408,"65.70%","-29.20%",3620,2021,220574145,23,FALSE
"24","27-Apr",7,2,4485096,"-38.70%","-22%",3620,1238,225059241,24,FALSE
"25","28-Apr",1,2,1067512,"-76.20%","-58.90%",3620,294,226126753,25,FALSE
"26","29-Apr",2,3,1340240,"25.50%","-39.20%",3620,370,227466993,26,FALSE
"27","30-Apr",3,2,1062874,"-20.70%","-40.10%",3620,293,228529867,27,FALSE
"28","1-May",4,3,851344,"-19.90%","-51.80%",3620,235,229381211,28,FALSE
"29","2-May",5,4,2099784,"146.60%","-52.40%",3179,660,231480995,29,FALSE
"30","3-May",6,5,3523955,"67.80%","-51.80%",3179,1108,235004950,30,FALSE
"31","4-May",7,5,2150530,"-39%","-52.10%",3179,676,237155480,31,FALSE
"32","5-May",1,4,511100,"-76.20%","-52.10%",3179,160,237666580,32,FALSE
"33","6-May",2,4,664005,"29.90%","-50.50%",3179,208,238330585,33,FALSE
"34","7-May",3,4,538107,"-19%","-49.40%",3179,169,238868692,34,FALSE
"35","8-May",4,4,509053,"-5.40%","-40.20%",3179,160,239377745,35,FALSE
"36","9-May",5,5,1487247,"192.20%","-29.20%",2701,550,240864992,36,FALSE
"37","10-May",6,5,2551300,"71.50%","-27.60%",2701,944,243416292,37,FALSE
"38","11-May",7,5,1712046,"-32.90%","-20.40%",2701,633,245128338,38,FALSE
"39","12-May",1,5,410819,"-76%","-19.60%",2701,152,245539157,39,FALSE
"40","13-May",2,5,504171,"22.70%","-24.10%",2701,186,246043328,40,FALSE
"41","14-May",3,5,421532,"-16.40%","-21.70%",2701,156,246464860,41,FALSE
"42","15-May",4,5,403386,"-4.30%","-20.80%",2701,149,246868246,42,FALSE
"43","16-May",5,7,1020397,"153%","-31.40%",2271,449,247888643,43,FALSE
"44","17-May",6,8,1621781,"58.90%","-36.40%",2271,714,249510424,44,FALSE
"45","18-May",7,8,1021880,"-37%","-40.30%",2271,449,250532304,45,FALSE
"46","19-May",1,8,373678,"-63.40%","-9%",2271,164,250905982,46,FALSE
"47","20-May",2,7,345985,"-7.40%","-31.40%",2271,152,251251967,47,FALSE
"48","21-May",3,7,294182,"-15%","-30.20%",2271,129,251546149,48,FALSE
"49","22-May",4,7,294849,"0.20%","-26.90%",2271,129,251840998,49,FALSE
"50","23-May",5,11,444237,"50.70%","-56.50%",1373,323,252285235,50,FALSE
"51","24-May",6,11,670541,"50.90%","-58.70%",1373,488,252955776,51,FALSE
"52","25-May",7,11,629949,"-6.10%","-38.40%",1373,458,253585725,52,FALSE
"53","26-May",1,12,526371,"-16.40%","40.90%",1373,383,254112096,53,FALSE
"54","27-May",2,12,161168,"-69.40%","-53.40%",1373,117,254273264,54,FALSE
"55","28-May",3,12,146375,"-9.20%","-50.20%",1373,106,254419639,55,FALSE
"56","29-May",4,12,129645,"-11.40%","-56%",1373,94,254549284,56,FALSE
"57","30-May",5,14,179648,"38.60%","-59.60%",539,333,254728932,57,FALSE
"58","31-May",6,14,290162,"61.50%","-56.70%",539,538,255019094,58,FALSE
"59","1-Jun",7,14,157456,"-45.70%","-75%",539,292,255176550,59,FALSE
"60","2-Jun",1,14,64584,"-59%","-87.70%",539,119,255241134,60,FALSE
"61","3-Jun",2,15,74645,"15.60%","-53.70%",539,138,255315779,61,FALSE
"62","4-Jun",3,14,68841,"-7.80%","-53%",539,127,255384620,62,FALSE
"63","5-Jun",4,14,62484,"-9.20%","-51.80%",539,115,255447104,63,FALSE
