Date,Event,DOW,Rank,Daily,YD%,LW%,Theaters,Avg,To Date,Day,Estimated
Apr 4,,5,1,36926192,,,3938,9376,36926192,1,False
Apr 5,,6,1,34666864,-6.1,,3938,8803,71593056,2,False
Apr 6,,7,1,23430665,-32.4,,3938,5949,95023721,3,False
Apr 7,,1,1,6219552,-73.5,,3938,1579,101243273,4,False
Apr 8,,2,1,6977056,12.2,,3938,1771,108220329,5,False
Apr 9,,3,1,4805702,-31.1,,3938,1220,113026031,6,False
Apr 10,,4,1,4582140,-4.7,,3938,1163,117608171,7,False
Apr 11,,5,2,11866741,159.0,-67.9,3938,3013,129474912,8,False
Apr 12,,6,1,17734355,49.4,-48.8,3938,4503,147209267,9,False
Apr 13,,7,2,11673765,-34.2,-50.2,3938,2964,158883032,10,False
Apr 14,,1,1,3462915,-70.3,-44.3,3938,879,162345947,11,False
Apr 15,,2,1,4726740,36.5,-32.3,3938,1200,167072687,12,False
Apr 16,,3,2,3524058,-25.4,-26.7,3938,894,170596745,13,False
Apr 17,,4,1,4317709,22.5,-5.8,3938,1096,174914454,14,False
Apr 18,,5,1,9503748,120.1,-19.9,3825,2484,184418202,15,False
Apr 19,,6,1,10336793,8.8,-41.7,3825,2702,194754995,16,False
Apr 20,Easter Sunday,7,2,5746515,-44.4,-50.8,3825,1502,200501510,17,False
Apr 21,,1,2,2595127,-54.8,-25.1,3825,678,203096637,18,False
Apr 22,,2,2,2205248,-15.0,-53.3,3825,576,205301885,19,False
Apr 23,,3,2,1773553,-19.6,-49.7,3825,463,207075438,20,False
Apr 24,,4,1,1764778,-0.5,-59.1,3825,461,208840216,21,False
Apr 25,,5,2,4415521,150.2,-53.5,3620,1219,213255737,22,False
Apr 26,,6,2,7318408,65.7,-29.2,3620,2021,220574145,23,False
Apr 27,,7,2,4485096,-38.7,-22.0,3620,1238,225059241,24,False
Apr 28,,1,2,1067512,-76.2,-58.9,3620,294,226126753,25,False
Apr 29,,2,3,1340240,25.5,-39.2,3620,370,227466993,26,False
Apr 30,,3,2,1062874,-20.7,-40.1,3620,293,228529867,27,False
May 1,,4,3,851344,-19.9,-51.8,3620,235,229381211,28,False
May 2,,5,4,2099784,146.6,-52.4,3179,660,231480995,29,False
May 3,,6,5,3523955,67.8,-51.8,3179,1108,235004950,30,False
May 4,,7,5,2150530,-39.0,-52.1,3179,676,237155480,31,False
May 5,,1,4,511100,-76.2,-52.1,3179,160,237666580,32,False
May 6,,2,4,664005,29.9,-50.5,3179,208,238330585,33,False
May 7,,3,4,538107,-19.0,-49.4,3179,169,238868692,34,False
May 8,,4,4,509053,-5.4,-40.2,3179,160,239377745,35,False
May 9,,5,5,1487247,192.2,-29.2,2701,550,240864992,36,False
May 10,,6,5,2551300,71.5,-27.6,2701,944,243416292,37,False
May 11,,7,5,1712046,-32.9,-20.4,2701,633,245128338,38,False
May 12,,1,5,410819,-76.0,-19.6,2701,152,245539157,39,False
May 13,,2,5,504171,22.7,-24.1,2701,186,246043328,40,False
May 14,,3,5,421532,-16.4,-21.7,2701,156,246464860,41,False
May 15,,4,5,403386,-4.3,-20.8,2701,149,246868246,42,False
May 16,,5,7,1020397,153.0,-31.4,2271,449,247888643,43,False
May 17,,6,8,1621781,58.9,-36.4,2271,714,249510424,44,False
May 18,,7,8,1021880,-37.0,-40.3,2271,449,250532304,45,False
May 19,,1,8,373678,-63.4,-9.0,2271,164,250905982,46,False
May 20,,2,7,345985,-7.4,-31.4,2271,152,251251967,47,False
May 21,,3,7,294182,-15.0,-30.2,2271,129,251546149,48,False
May 22,,4,7,294849,0.2,-26.9,2271,129,251840998,49,False
May 23,,5,11,444237,50.7,-56.5,1373,323,252285235,50,False
May 24,,6,11,670541,50.9,-58.7,1373,488,252955776,51,False
May 25,,7,11,629949,-6.1,-38.4,1373,458,253585725,52,False
May 26,Memorial Day,1,12,526371,-16.4,40.9,1373,383,254112096,53,False
May 27,,2,12,161168,-69.4,-53.4,1373,117,254273264,54,False
May 28,,3,12,146375,-9.2,-50.2,1373,106,254419639,55,False
May 29,,4,12,129645,-11.4,-56.0,1373,94,254549284,56,False
May 30,,5,14,179648,38.6,-59.6,539,333,254728932,57,False
May 31,,6,14,290162,61.5,-56.7,539,538,255019094,58,False
Jun 1,,7,14,157456,-45.7,-75.0,539,292,255176550,59,False
Jun 2,,1,14,64584,-59.0,-87.7,539,119,255241134,60,False
Jun 3,,2,15,74645,15.6,-53.7,539,138,255315779,61,False
Jun 4,,3,14,68841,-7.8,-53.0,539,127,255384620,62,False
Jun 5,,4,14,62484,-9.2,-51.8,539,115,255447104,63,False
