"","Date","DOW","Rank","Daily","X...YD","X...LW","Theaters","Avg","To.Date","Day","Estimated"
"1","8-Mar",5,1,61715051,"-","-",4310,14319,61715051,1,FALSE
"2","9-Mar",6,1,52872536,"-14.30%","-",4310,12267,114587587,2,FALSE
"3","10-Mar",7,1,38845836,"-26.50%","-",4310,9012,153433423,3,FALSE
"4","11-Mar",1,1,10986773,"-71.70%","-",4310,2549,164420196,4,FALSE
"5","12-Mar",2,1,14641119,"33.30%","-",4310,3397,179061315,5,FALSE
"6","13-Mar",3,1,8586183,"-41.40%","-",4310,1992,187647498,6,FALSE
"7","14-Mar",4,1,9248435,"7.70%","-",4310,2145,196895933,7,FALSE
"8","15-Mar",5,1,19036521,"105.80%","-69.20%",4310,4416,215932454,8,FALSE
"9","16-Mar",6,1,29418618,"54.50%","-44.40%",4310,6825,245351072,9,FALSE
"10","17-Mar",7,1,19532991,"-33.60%","-49.70%",4310,4532,264884063,10,FALSE
"11","18-Mar",1,1,5195836,"-73.40%","-52.70%",4310,1205,270079899,11,FALSE
"12","19-Mar",2,1,7603865,"46.30%","-48.10%",4310,1764,277683764,12,FALSE
"13","20-Mar",3,1,4567773,"-39.90%","-46.80%",4310,1059,282251537,13,FALSE
"14","21-Mar",4,1,4226298,"-7.50%","-54.30%",4310,980,286477835,14,FALSE
"15","22-Mar",5,2,9120858,"115.80%","-52.10%",4278,2132,295598693,15,FALSE
"16","23-Mar",6,2,15125497,"65.80%","-48.60%",4278,3535,310724190,16,FALSE
"17","24-Mar",7,2,10025438,"-33.70%","-48.70%",4278,2343,320749628,17,FALSE
"18","25-Mar",1,2,2896405,"-71.10%","-44.30%",4278,677,323646033,18,FALSE
"19","26-Mar",2,2,4331261,"49.50%","-43%",4278,1012,327977294,19,FALSE
"20","27-Mar",3,2,2809109,"-35.10%","-38.50%",4278,656,330786403,20,FALSE
"21","28-Mar",4,2,2519412,"-10.30%","-40.40%",4278,588,333305815,21,FALSE
