Date,Event,DOW,Rank,Daily,YD%,LW%,Theaters,Avg,To Date,Day,Estimated
Mar 8,,5,1,61715051,,,4310,14319,61715051,1,False
Mar 9,,6,1,52872536,-14.3,,4310,12267,114587587,2,False
Mar 10,,7,1,38845836,-26.5,,4310,9012,153433423,3,False
Mar 11,,1,1,10986773,-71.7,,4310,2549,164420196,4,False
Mar 12,,2,1,14641119,33.3,,4310,3397,179061315,5,False
Mar 13,,3,1,8586183,-41.4,,4310,1992,187647498,6,False
Mar 14,,4,1,9248435,7.7,,4310,2145,196895933,7,False
Mar 15,,5,1,19036521,105.8,-69.2,4310,4416,215932454,8,False
Mar 16,,6,1,29418618,54.5,-44.4,4310,6825,245351072,9,False
Mar 17,,7,1,19532991,-33.6,-49.7,4310,4532,264884063,10,False
Mar 18,,1,1,5195836,-73.4,-52.7,4310,1205,270079899,11,False
Mar 19,,2,1,7603865,46.3,-48.1,4310,1764,277683764,12,False
Mar 20,,3,1,4567773,-39.9,-46.8,4310,1059,282251537,13,False
Mar 21,,4,1,4226298,-7.5,-54.3,4310,980,286477835,14,False
Mar 22,,5,2,9120858,115.8,-52.1,4278,2132,295598693,15,False
Mar 23,,6,2,15125497,65.8,-48.6,4278,3535,310724190,16,False
Mar 24,,7,2,10025438,-33.7,-48.7,4278,2343,320749628,17,False
Mar 25,,1,2,2896405,-71.1,-44.3,4278,677,323646033,18,False
Mar 26,,2,2,4331261,49.5,-43.0,4278,1012,327977294,19,False
Mar 27,,3,2,2809109,-35.1,-38.5,4278,656,330786403,20,False
Mar 28,,4,2,2519412,-10.3,-40.4,4278,588,333305815,21,False
Mar 29,,5,3,5499784,118.3,-39.7,3985,1380,338805599,22,False
Mar 30,,6,3,9089329,65.3,-39.9,3985,2280,347894928,23,False
Mar 31,,7,3,6075151,-33.2,-39.4,3985,1524,353970079,24,False
Apr 1,,1,3,1658844,-72.7,-42.7,3985,416,355628923,25,False
Apr 2,,2,3,2522851,52.1,-41.8,3985,633,358151774,26,False
Apr 3,,3,3,1719827,-31.8,-38.8,3985,431,359871601,27,False
Apr 4,,4,3,1579962,-8.1,-37.3,3985,396,361451563,28,False
Apr 5,,5,5,3447080,118.2,-37.3,3573,964,364898643,29,False
Apr 6,,6,5,5360651,55.5,-41.0,3573,1500,370259294,30,False
Apr 7,,7,4,3624072,-32.4,-40.3,3573,1014,373883366,31,False
Apr 8,,1,5,865424,-76.1,-47.8,3573,242,374748790,32,False
Apr 9,,2,5,1382319,59.7,-45.2,3573,386,376131109,33,False
Apr 10,,3,5,896187,-35.2,-47.9,3573,250,377027296,34,False
Apr 11,,4,3,886285,-1.1,-43.9,3573,248,377913581,35,False
Apr 12,,5,7,2214236,149.8,-35.8,2975,744,380127817,36,False
Apr 13,,6,6,3865716,74.6,-27.9,2975,1299,383993533,37,False
Apr 14,,7,5,2531575,-34.5,-30.1,2975,850,386525108,38,False
Apr 15,,1,5,884741,-65.1,2.2,2975,297,387409849,39,False
Apr 16,,2,5,1297834,46.7,-6.1,2653,489,388707683,40,False
Apr 17,,3,4,940412,-27.5,4.9,2653,354,389648095,41,False
Apr 18,,4,3,1278038,35.9,44.2,2653,481,390926133,42,False
Apr 19,,5,4,3185900,149.3,43.9,2653,1200,394112033,43,False
Apr 20,,6,4,3650729,14.6,-5.6,2653,1376,397762762,44,False
Apr 21,Easter Sunday,7,4,2268981,-37.8,-10.4,2653,855,400031743,45,False
Apr 22,,1,4,1349021,-40.5,52.5,2653,508,401380764,46,False
Apr 23,,2,4,1477687,9.5,13.9,2653,556,402858451,47,False
Apr 24,,3,2,1402687,-5.1,49.2,2653,528,404261138,48,False
Apr 25,,4,1,1267909,-9.6,-0.8,2653,477,405529047,49,False
Apr 26,,5,2,2569646,102.7,-19.3,2435,1055,408098693,50,False
Apr 27,,6,2,3544694,37.9,-2.9,2435,1455,411643387,51,False
Apr 28,,7,3,2198411,-38.0,-3.1,2435,902,413841798,52,False
Apr 29,,1,2,696976,-68.3,-48.3,2435,286,414538774,53,False
Apr 30,,2,4,829625,19.0,-43.9,2435,340,415368399,54,False
May 1,,3,3,587159,-29.2,-58.1,2435,241,415955558,55,False
May 2,,4,2,536460,-8.6,-57.7,2435,220,416492018,56,False
May 3,,5,5,1259315,134.7,-51.0,2243,561,417751333,57,False
May 4,,6,5,1980908,57.3,-44.1,2243,883,419732241,58,False
May 5,,7,7,1042021,-47.4,-52.6,2243,464,420774262,59,False
May 6,,1,7,283419,-72.8,-59.3,2243,126,421057681,60,False
May 7,,2,8,394134,39.1,-52.5,2243,175,421451815,61,False
May 8,,3,7,276734,-29.8,-52.9,2243,123,421728549,62,False
May 9,,4,7,235530,-14.9,-56.1,2243,105,421964079,63,False
May 10,,5,11,485636,106.2,-61.4,1504,322,422449715,64,False
May 11,,6,9,803493,65.5,-59.4,1504,534,423253208,65,False
May 12,,7,11,557267,-30.6,-46.5,1504,370,423810475,66,False
May 13,,1,12,152346,-72.7,-46.2,1504,101,423962821,67,False
May 14,,2,11,195088,28.1,-50.5,1504,129,424157909,68,False
May 15,,3,11,143193,-26.6,-48.3,1504,95,424301102,69,False
May 16,,4,11,115417,-19.4,-51.0,1504,76,424416519,70,False
May 17,,5,14,194708,68.7,-59.9,726,268,424611227,71,False
May 18,,6,13,337241,73.2,-58.0,726,464,424948468,72,False
May 19,,7,16,204049,-39.5,-63.4,726,281,425152517,73,False
May 20,,1,15,77928,-61.8,-48.8,726,107,425230445,74,False
May 21,,2,16,75258,-3.4,-61.4,726,103,425305703,75,False
May 22,,3,15,64358,-14.5,-55.1,726,88,425370061,76,False
May 23,,4,15,52291,-18.7,-54.7,726,72,425422352,77,False
May 24,,5,17,111805,113.8,-42.6,300,372,425534157,78,False
May 25,,6,17,155805,39.4,-53.8,300,519,425689962,79,False
May 26,,7,17,140669,-9.7,-31.1,300,468,425830631,80,False
May 27,Memorial Day,1,19,86448,-38.5,10.9,300,288,425917079,81,False
May 28,,2,18,34748,-59.8,-53.8,300,115,425951827,82,False
May 29,,3,18,28717,-17.4,-55.4,300,95,425980544,83,False
May 30,,4,17,30889,7.6,-40.9,300,102,426011433,84,False
May 31,,5,17,62905,103.6,-43.7,162,388,426074338,85,False
Jun 1,,6,17,90376,43.7,-42.0,162,557,426164714,86,False
Jun 2,,7,23,35585,-60.6,-74.7,162,219,426200299,87,False
Jun 3,,1,22,17518,-50.8,-79.7,162,108,426217817,88,False
Jun 4,,2,20,21185,20.9,-39.0,162,130,426239002,89,False
Jun 5,,3,21,19436,-8.3,-32.3,162,119,426258438,90,False
Jun 6,,4,23,15617,-19.6,-49.4,162,96,426274055,91,False
Jun 7,,5,23,44487,184.9,-29.3,175,254,426318542,92,False
Jun 8,,6,22,69695,56.7,-22.9,175,398,426388237,93,False
Jun 9,,7,20,50291,-27.8,41.3,175,287,426438528,94,False
Jun 10,,1,20,20443,-59.4,16.7,175,116,426458971,95,False
Jun 11,,2,22,25676,25.6,21.2,175,146,426484647,96,False
Jun 12,,3,21,20887,-18.7,7.5,175,119,426505534,97,False
