Date,Event,DOW,Rank,Daily,YD%,LW%,Theaters,Avg,To Date,Day,Estimated
May 6,,5,1,90720784,,,4534,20008,90720784,1,False
May 7,,6,1,57806850,-36.3,,4534,12749,148527634,2,False
May 8,,7,1,38893364,-32.7,,4534,8578,187420998,3,False
May 9,,1,1,13620560,-65.0,,4534,3004,201041558,4,False
May 10,,2,1,12606682,-7.4,,4534,2780,213648240,5,False
May 11,,3,1,9102016,-27.8,,4534,2007,222750256,6,False
May 12,,4,1,8109267,-10.9,,4534,1788,230859523,7,False
May 13,,5,1,17133926,111.3,-81.1,4534,3778,247993449,8,False
May 14,,6,1,26452876,54.4,-54.2,4534,5834,274446325,9,False
May 15,,7,1,18169002,-31.3,-53.3,4534,4007,292615327,10,False
May 16,,1,1,4812753,-73.5,-64.7,4534,1061,297428080,11,False
May 17,,2,1,5283222,9.8,-58.1,4534,1165,302711302,12,False
May 18,,3,1,3910188,-26.0,-57.0,4534,862,306621490,13,False
May 19,,4,1,3858995,-1.3,-52.4,4534,851,310480485,14,False
May 20,,5,1,8568406,122.0,-50.0,4534,1889,319048891,15,False
May 21,,6,1,13801107,61.1,-47.8,4534,3043,332849998,16,False
May 22,,7,1,9935047,-28.0,-45.3,4534,2191,342785045,17,False
May 23,,1,1,3326033,-66.5,-30.9,4534,733,346111078,18,False
May 24,,2,1,3093792,-7.0,-41.4,4534,682,349204870,19,False
May 25,,3,1,2787470,-9.9,-28.7,4534,614,351992340,20,False
May 26,,4,1,2381639,-14.6,-38.3,4534,525,354373979,21,False
May 27,,5,3,4500294,89.0,-47.5,3805,1182,358874273,22,False
May 28,,6,2,6199441,37.8,-55.1,3805,1629,365073714,23,False
May 29,,7,2,5369623,-13.4,-46.0,3805,1411,370443337,24,False
May 30,Memorial Day,1,2,4274408,-20.4,28.5,3805,1123,374717745,25,False
May 31,,2,2,1810730,-57.6,-41.5,3805,475,376528475,26,False
Jun 1,,3,2,1521876,-16.0,-45.4,3805,399,378050351,27,False
Jun 2,,4,2,1409765,-7.4,-40.8,3805,370,379460116,28,False
Jun 3,,5,2,2624250,86.1,-41.7,3765,697,382084366,29,False
Jun 4,,6,2,3853121,46.8,-37.8,3765,1023,385937487,30,False
Jun 5,,7,2,2695805,-30.0,-49.8,3765,716,388633292,31,False
Jun 6,,1,2,1103439,-59.1,-74.2,3765,293,389736731,32,False
Jun 7,,2,2,1279933,16.0,-29.3,3765,339,391016664,33,False
Jun 8,,3,2,1030047,-19.5,-32.3,3765,273,392046711,34,False
Jun 9,,4,2,876147,-14.9,-37.9,3765,232,392922858,35,False
Jun 10,,5,3,1427205,62.9,-45.6,3345,426,394350063,36,False
Jun 11,,6,3,2095885,46.9,-45.6,3345,626,396445948,37,False
Jun 12,,7,3,1691975,-19.3,-37.2,3345,505,398137923,38,False
Jun 13,,1,3,626271,-63.0,-43.2,3345,187,398764194,39,False
Jun 14,,2,3,834845,33.3,-34.8,3345,249,399599039,40,False
Jun 15,,3,3,666630,-20.1,-35.3,3345,199,400265669,41,False
Jun 16,,4,3,617991,-7.3,-29.5,3345,184,400883660,42,False
Jun 17,,5,4,1191729,92.8,-16.5,2465,483,402075389,43,False
Jun 18,,6,4,1655222,38.9,-21.0,2465,671,403730611,44,False
Jun 19,,7,4,1602729,-3.2,-5.3,2465,650,405333340,45,False
Jun 20,,1,4,720988,-55.0,15.1,2465,292,406054328,46,False
Jun 21,,2,4,573462,-20.5,-31.3,2465,232,406627790,47,False
Jun 22,,3,4,463424,-19.2,-30.5,2465,188,407091214,48,False
Jun 23,,4,4,375860,-18.9,-39.2,2465,152,407467074,49,False
Jun 24,,5,6,565150,50.4,-52.6,1855,304,408032224,50,False
Jun 25,,6,6,744113,31.7,-55.0,1855,401,408776337,51,False
Jun 26,,7,6,471330,-36.7,-70.6,1855,254,409247667,52,False
Jun 27,,1,6,244103,-48.2,-66.1,1855,131,409491770,53,False
Jun 28,,2,6,251419,3.0,-56.2,1855,135,409743189,54,False
Jun 29,,3,6,222382,-11.5,-52.0,1855,119,409965571,55,False
Jun 30,,4,6,185778,-16.5,-50.6,1855,100,410151349,56,False
Jul 1,,5,9,123063,-33.8,-78.2,590,208,410274412,57,False
Jul 2,,6,9,156279,27.0,-79.0,590,264,410430691,58,False
Jul 3,,7,9,133410,-14.6,-71.7,590,226,410564101,59,False
Jul 4,Independence Day,1,9,72183,-45.9,-70.4,590,122,410636284,60,False
Jul 5,,2,9,70615,-2.2,-71.9,590,119,410706899,61,False
Jul 6,,3,9,56960,-19.3,-74.4,590,96,410763859,62,False
Jul 7,,4,9,36582,-35.8,-80.3,590,62,410800441,63,False
Jul 8,,5,9,88916,143.1,-27.7,140,635,410889357,64,False
Jul 9,,6,9,111927,25.9,-28.4,140,799,411001284,65,False
Jul 10,,7,12,44698,-60.1,-66.5,140,319,411045982,66,False
Jul 11,,1,12,19745,-55.8,-72.6,140,141,411065727,67,False
