"","Date","DOW","Rank","Daily","X...YD","X...LW","Theaters","Avg","To.Date","Day","Estimated"
"1","4-Nov",5,1,32585335,"-","-",3882,8393,32585335,1,FALSE
"2","5-Nov",6,1,31368671,"-3.70%","-",3882,8080,63954006,2,FALSE
"3","6-Nov",7,1,21104305,"-32.70%","-",3882,5436,85058311,3,FALSE
"4","7-Nov",1,1,6209922,"-70.60%","-",3882,1599,91268233,4,FALSE
"5","8-Nov",2,1,7658060,"23.30%","-",3882,1972,98926293,5,FALSE
"6","9-Nov",3,1,5061877,"-33.90%","-",3882,1303,103988170,6,FALSE
"7","10-Nov",4,1,5993999,"18.40%","-",3882,1544,109982169,7,FALSE
"8","11-Nov",5,1,14926647,"149%","-54.20%",3882,3845,124908816,8,FALSE
"9","12-Nov",6,1,17614185,"18%","-43.80%",3882,4537,142523001,9,FALSE
"10","13-Nov",7,1,10429233,"-40.80%","-50.60%",3882,2686,152952234,10,FALSE
"11","14-Nov",1,1,2638728,"-74.70%","-57.50%",3882,679,155590962,11,FALSE
"12","15-Nov",2,1,3717306,"40.90%","-51.50%",3882,957,159308268,12,FALSE
"13","16-Nov",3,1,2469584,"-33.60%","-51.20%",3882,636,161777852,13,FALSE
"14","17-Nov",4,1,2089025,"-15.40%","-65.10%",3882,538,163866877,14,FALSE
"15","18-Nov",5,2,4797445,"129.60%","-67.90%",3694,1298,168664322,15,FALSE
"16","19-Nov",6,3,7869847,"64%","-55.30%",3694,2130,176534169,16,FALSE
"17","20-Nov",7,3,5093768,"-35.30%","-51.20%",3694,1378,181627937,17,FALSE
"18","21-Nov",1,3,1964998,"-61.40%","-25.50%",3694,531,183592935,18,FALSE
"19","22-Nov",2,3,2645540,"34.60%","-28.80%",3694,716,186238475,19,FALSE
"20","23-Nov",3,3,3118747,"17.90%","26.30%",3008,1036,189357222,20,FALSE
"21","24-Nov",4,3,2683705,"-13.90%","28.50%",3008,892,192040927,21,FALSE
"22","25-Nov",5,3,5482371,"104.30%","14.30%",3008,1822,197523298,22,FALSE
"23","26-Nov",6,3,5426143,"-1%","-31.10%",3008,1803,202949441,23,FALSE
"24","27-Nov",7,4,2829431,"-47.90%","-44.50%",3008,940,205778872,24,FALSE
"25","28-Nov",1,5,709192,"-74.90%","-63.90%",3008,235,206488064,25,FALSE
"26","29-Nov",2,5,965951,"36.20%","-63.50%",3008,321,207454015,26,FALSE
"27","30-Nov",3,5,685595,"-29%","-78%",3008,227,208139610,27,FALSE
"28","1-Dec",4,5,683567,"-0.30%","-74.50%",3008,227,208823177,28,FALSE
"29","2-Dec",5,5,1789462,"161.80%","-67.40%",2935,609,210612639,29,FALSE
"30","3-Dec",6,4,3097547,"73.10%","-42.90%",2935,1055,213710186,30,FALSE
"31","4-Dec",7,4,1797543,"-42%","-36.50%",2935,612,215507729,31,FALSE
"32","5-Dec",1,5,499818,"-72.20%","-29.50%",2935,170,216007547,32,FALSE
"33","6-Dec",2,5,709000,"41.90%","-26.60%",2935,241,216716547,33,FALSE
"34","7-Dec",3,5,514624,"-27.40%","-24.90%",2935,175,217231171,34,FALSE
"35","8-Dec",4,5,500275,"-2.80%","-26.80%",2935,170,217731446,35,FALSE
"36","9-Dec",5,5,1220454,"144%","-31.80%",2763,441,218951900,36,FALSE
"37","10-Dec",6,5,2113956,"73.20%","-31.80%",2763,765,221065856,37,FALSE
"38","11-Dec",7,5,1201417,"-43.20%","-33.20%",2763,434,222267273,38,FALSE
"39","12-Dec",1,5,414096,"-65.50%","-17.20%",2763,149,222681369,39,FALSE
"40","13-Dec",2,5,572331,"38.20%","-19.30%",2763,207,223253700,40,FALSE
"41","14-Dec",3,5,437236,"-23.60%","-15%",2763,158,223690936,41,FALSE
"42","15-Dec",4,5,359091,"-17.90%","-28.20%",2763,129,224050027,42,FALSE
"43","16-Dec",5,9,590378,"64.40%","-51.60%",1930,305,224640405,43,FALSE
"44","17-Dec",6,9,908386,"53.90%","-57%",1930,470,225548791,44,FALSE
"45","18-Dec",7,9,712148,"-21.60%","-40.70%",1930,368,226260939,45,FALSE
"46","19-Dec",1,9,408378,"-42.70%","-1.40%",1930,211,226669317,46,FALSE
"47","20-Dec",2,9,408645,"<0.1%","-28.60%",1930,211,227077962,47,FALSE
"48","21-Dec",3,14,252769,"-38.10%","-42.20%",1017,248,227330731,48,FALSE
"49","22-Dec",4,13,288235,"14%","-19.70%",1017,283,227618966,49,FALSE
"50","23-Dec",5,15,270316,"-6.20%","-54.20%",631,428,227889282,50,FALSE
"51","24-Dec",6,15,175277,"-35.20%","-80.70%",631,277,228064559,51,FALSE
"52","25-Dec",7,18,277395,"58.30%","-61%",538,515,228341954,52,FALSE
"53","26-Dec",1,17,333753,"20.30%","-18.30%",538,620,228675707,53,FALSE
"54","27-Dec",2,17,302095,"-9.50%","-26.10%",538,561,228977802,54,FALSE
"55","28-Dec",3,18,243554,"-19.40%","-3.60%",538,452,229221356,55,FALSE
"56","29-Dec",4,18,239954,"-1.50%","-16.80%",538,446,229461310,56,FALSE
"57","30-Dec",5,19,233029,"-2.90%","-13.80%",466,500,229694339,57,FALSE
"58","31-Dec",6,19,181998,"-21.90%","3.80%",466,390,229876337,58,FALSE
"59","1-Jan",7,18,231453,"27.20%","-16.60%",466,496,230107790,59,FALSE
"60","2-Jan",1,19,215258,"-7%","-35.50%",466,461,230323048,60,FALSE
"61","3-Jan",2,17,113758,"-47.20%","-62.30%",466,244,230436806,61,FALSE
"62","4-Jan",3,18,79378,"-30.20%","-67.40%",466,170,230516184,62,FALSE
"63","5-Jan",4,18,74734,"-5.90%","-68.90%",466,160,230590918,63,FALSE
"64","6-Jan",5,22,89918,"20.30%","-61.40%",263,341,230680836,64,FALSE
"65","7-Jan",6,22,136932,"52.30%","-24.80%",263,520,230817768,65,FALSE
"66","8-Jan",7,23,80238,"-41.40%","-65.30%",263,305,230898006,66,FALSE
"67","9-Jan",1,22,31248,"-61.10%","-85.50%",263,118,230929254,67,FALSE
"68","10-Jan",2,23,44652,"42.90%","-60.70%",263,169,230973906,68,FALSE
"69","11-Jan",3,22,30825,"-31%","-61.20%",263,117,231004731,69,FALSE
"70","12-Jan",4,23,30677,"-0.50%","-59%",263,116,231035408,70,FALSE
"71","13-Jan",5,29,51266,"67.10%","-43%",162,316,231086674,71,FALSE
"72","14-Jan",6,27,91051,"77.60%","-33.50%",162,562,231177725,72,FALSE
"73","15-Jan",7,28,64323,"-29.40%","-19.80%",162,397,231242048,73,FALSE
"74","16-Jan",1,28,50672,"-21.20%","62.20%",162,312,231292720,74,FALSE
"75","17-Jan",2,30,19380,"-61.80%","-56.60%",162,119,231312100,75,FALSE
"76","18-Jan",3,28,16097,"-16.90%","-47.80%",162,99,231328197,76,FALSE
"77","19-Jan",4,26,17183,"6.70%","-44%",162,106,231345380,77,FALSE
"78","20-Jan",5,30,36714,"113.70%","-28.40%",132,278,231382094,78,FALSE
"79","21-Jan",6,30,64539,"75.80%","-29.10%",132,488,231446633,79,FALSE
"80","22-Jan",7,31,33542,"-48%","-47.90%",132,254,231480175,80,FALSE
"81","23-Jan",1,30,11183,"-66.70%","-77.90%",132,84,231491358,81,FALSE
"82","24-Jan",2,31,14225,"27.20%","-26.60%",132,107,231505583,82,FALSE
"83","25-Jan",3,31,11915,"-16.20%","-26%",132,90,231517498,83,FALSE
"84","26-Jan",4,31,13635,"14.40%","-20.60%",132,103,231531133,84,FALSE
"85","27-Jan",5,38,28885,"111.80%","-21.30%",104,277,231560018,85,FALSE
"86","28-Jan",6,37,51132,"77%","-20.80%",104,491,231611150,86,FALSE
"87","29-Jan",7,37,28637,"-44%","-14.60%",104,275,231639787,87,FALSE
"88","30-Jan",1,39,7130,"-75.10%","-36.20%",104,68,231646917,88,FALSE
"89","31-Jan",2,38,10088,"41.50%","-29.10%",104,97,231657005,89,FALSE
"90","1-Feb",3,38,7656,"-24.10%","-35.70%",104,73,231664661,90,FALSE
"91","2-Feb",4,38,8382,"9.50%","-38.50%",104,80,231673043,91,FALSE
"92","3-Feb",5,30,67861,"709.60%","134.90%",190,357,231740904,92,FALSE
"93","4-Feb",6,30,122833,"81%","140.20%",190,646,231863737,93,FALSE
"94","5-Feb",7,29,46593,"-62.10%","62.70%",190,245,231910330,94,FALSE
"95","6-Feb",1,31,21745,"-53.30%","205%",190,114,231932075,95,FALSE
"96","7-Feb",2,31,26320,"21%","160.90%",190,138,231958395,96,FALSE
