Date,Event,DOW,Rank,Daily,YD%,LW%,Theaters,Avg,To Date,Day,Estimated
Nov 4,,5,1,32585335,,,3882,8393,32585335,1,False
Nov 5,,6,1,31368671,-3.7,,3882,8080,63954006,2,False
Nov 6,,7,1,21104305,-32.7,,3882,5436,85058311,3,False
Nov 7,,1,1,6209922,-70.6,,3882,1599,91268233,4,False
Nov 8,,2,1,7658060,23.3,,3882,1972,98926293,5,False
Nov 9,,3,1,5061877,-33.9,,3882,1303,103988170,6,False
Nov 10,,4,1,5993999,18.4,,3882,1544,109982169,7,False
Nov 11,,5,1,14926647,149.0,-54.2,3882,3845,124908816,8,False
Nov 12,,6,1,17614185,18.0,-43.8,3882,4537,142523001,9,False
Nov 13,,7,1,10429233,-40.8,-50.6,3882,2686,152952234,10,False
Nov 14,,1,1,2638728,-74.7,-57.5,3882,679,155590962,11,False
Nov 15,,2,1,3717306,40.9,-51.5,3882,957,159308268,12,False
Nov 16,,3,1,2469584,-33.6,-51.2,3882,636,161777852,13,False
Nov 17,,4,1,2089025,-15.4,-65.1,3882,538,163866877,14,False
Nov 18,,5,2,4797445,129.6,-67.9,3694,1298,168664322,15,False
Nov 19,,6,3,7869847,64.0,-55.3,3694,2130,176534169,16,False
Nov 20,,7,3,5093768,-35.3,-51.2,3694,1378,181627937,17,False
Nov 21,,1,3,1964998,-61.4,-25.5,3694,531,183592935,18,False
Nov 22,,2,3,2645540,34.6,-28.8,3694,716,186238475,19,False
Nov 23,,3,3,3118747,17.9,26.3,3008,1036,189357222,20,False
Nov 24,Thanksgiving,4,3,2683705,-13.9,28.5,3008,892,192040927,21,False
Nov 25,,5,3,5482371,104.3,14.3,3008,1822,197523298,22,False
Nov 26,,6,3,5426143,-1.0,-31.1,3008,1803,202949441,23,False
Nov 27,,7,4,2829431,-47.9,-44.5,3008,940,205778872,24,False
Nov 28,,1,5,709192,-74.9,-63.9,3008,235,206488064,25,False
Nov 29,,2,5,965951,36.2,-63.5,3008,321,207454015,26,False
Nov 30,,3,5,685595,-29.0,-78.0,3008,227,208139610,27,False
Dec 1,,4,5,683567,-0.3,-74.5,3008,227,208823177,28,False
Dec 2,,5,5,1789462,161.8,-67.4,2935,609,210612639,29,False
Dec 3,,6,4,3097547,73.1,-42.9,2935,1055,213710186,30,False
Dec 4,,7,4,1797543,-42.0,-36.5,2935,612,215507729,31,False
Dec 5,,1,5,499818,-72.2,-29.5,2935,170,216007547,32,False
Dec 6,,2,5,709000,41.9,-26.6,2935,241,216716547,33,False
Dec 7,,3,5,514624,-27.4,-24.9,2935,175,217231171,34,False
Dec 8,,4,5,500275,-2.8,-26.8,2935,170,217731446,35,False
Dec 9,,5,5,1220454,144.0,-31.8,2763,441,218951900,36,False
Dec 10,,6,5,2113956,73.2,-31.8,2763,765,221065856,37,False
Dec 11,,7,5,1201417,-43.2,-33.2,2763,434,222267273,38,False
Dec 12,,1,5,414096,-65.5,-17.2,2763,149,222681369,39,False
Dec 13,,2,5,572331,38.2,-19.3,2763,207,223253700,40,False
Dec 14,,3,5,437236,-23.6,-15.0,2763,158,223690936,41,False
Dec 15,,4,5,359091,-17.9,-28.2,2763,129,224050027,42,False
Dec 16,,5,9,590378,64.4,-51.6,1930,305,224640405,43,False
