Date,Event,DOW,Rank,Daily,YD%,LW%,Theaters,Avg,To Date,Day,Estimated
Nov 5,,5,1,30844219,,,4090,7541,30844219,1,False
Nov 6,,6,1,24124504,-21.8,,4090,5898,54968723,2,False
Nov 7,,7,1,16328496,-32.3,,4090,3992,71297219,3,False
Nov 8,,1,1,4262085,-73.9,,4090,1042,75559304,4,False
Nov 9,,2,1,5250371,23.2,,4090,1283,80809675,5,False
Nov 10,,3,1,4211822,-19.8,,4090,1029,85021497,6,False
Nov 11,,4,1,6243758,48.2,,4090,1526,91265255,7,False
Nov 12,,5,1,7839828,25.6,-74.6,4090,1916,99105083,8,False
Nov 13,,6,1,11868839,51.4,-50.8,4090,2901,110973922,9,False
Nov 14,,7,1,7141461,-39.8,-56.3,4090,1746,118115383,10,False
Nov 15,,1,1,1701899,-76.2,-60.1,4090,416,119817282,11,False
Nov 16,,2,1,2181960,28.2,-58.4,4090,533,121999242,12,False
Nov 17,,3,1,1614457,-26.0,-61.7,4090,394,123613699,13,False
Nov 18,,4,1,1378464,-14.6,-77.9,4090,337,124992163,14,False
Nov 19,,5,2,3035681,120.2,-61.3,4055,748,128027844,15,False
Nov 20,,6,2,4793785,57.9,-59.6,4055,1182,132821629,16,False
Nov 21,,7,2,3255389,-32.1,-54.4,4055,802,136077018,17,False
Nov 22,,1,2,1471368,-54.8,-13.5,4055,362,137548386,18,False
Nov 23,,2,2,1693423,15.1,-22.4,4055,417,139241809,19,False
Nov 24,,3,5,1923292,13.6,19.1,3165,607,141165101,20,False
Nov 25,Thanksgiving,4,4,1645144,-14.5,19.3,3165,519,142810245,21,False
Nov 26,,5,4,3084350,87.5,1.6,3165,974,145894595,22,False
Nov 27,,6,4,3120458,1.2,-34.9,3165,985,149015053,23,False
Nov 28,,7,4,1721097,-44.8,-47.1,3165,543,150736150,24,False
Nov 29,,1,4,457013,-73.4,-68.9,3165,144,151193163,25,False
Nov 30,,2,4,538506,17.8,-68.2,3165,170,151731669,26,False
Dec 1,,3,5,424188,-21.2,-77.9,3165,134,152155857,27,False
Dec 2,,4,5,433850,2.3,-73.6,3165,137,152589707,28,False
Dec 3,,5,5,1096675,152.8,-64.4,3230,339,153686382,29,False
Dec 4,,6,4,1827988,66.7,-41.4,3230,565,155514370,30,False
Dec 5,,7,5,1167798,-36.1,-32.1,3230,361,156682168,31,False
Dec 6,,1,5,332321,-71.5,-27.3,3230,102,157014489,32,False
Dec 7,,2,5,420617,26.6,-21.9,3230,130,157435106,33,False
Dec 8,,3,5,334907,-20.4,-21.0,3230,103,157770013,34,False
Dec 9,,4,5,347030,3.6,-20.0,3230,107,158117043,35,False
