"","Date","DOW","Rank","Daily","X...YD","X...LW","Theaters","Avg","To.Date","Day","Estimated"
"1","5-May",5,1,48103839,"-","-",4450,10809,48103839,1,FALSE
"2","6-May",6,1,38876290,"-19.20%","-",4450,8736,86980129,2,FALSE
"3","7-May",7,1,31433892,"-19.10%","-",4450,7063,118414021,3,FALSE
"4","8-May",1,1,8925041,"-71.60%","-",4450,2005,127339062,4,FALSE
"5","9-May",2,1,11082506,"24.20%","-",4450,2490,138421568,5,FALSE
"6","10-May",3,1,7120259,"-35.80%","-",4450,1600,145541827,6,FALSE
"7","11-May",4,1,7159351,"0.50%","-",4450,1608,152701178,7,FALSE
"8","12-May",5,1,15616247,"118.10%","-67.50%",4450,3509,168317425,8,FALSE
"9","13-May",6,1,26117258,"67.20%","-32.80%",4450,5869,194434683,9,FALSE
"10","14-May",7,1,20275043,"-22.40%","-35.50%",4450,4556,214709726,10,FALSE
"11","15-May",1,1,5183492,"-74.40%","-41.90%",4450,1164,219893218,11,FALSE
"12","16-May",2,1,6446574,"24.40%","-41.80%",4450,1448,226339792,12,FALSE
"13","17-May",3,1,4503738,"-30.10%","-36.70%",4450,1012,230843530,13,FALSE
"14","18-May",4,1,3699049,"-17.90%","-48.30%",4450,831,234542579,14,FALSE
"15","19-May",5,2,8453562,"128.50%","-45.90%",4450,1899,242996141,15,FALSE
"16","20-May",6,2,13993440,"65.50%","-46.40%",4450,3144,256989581,16,FALSE
"17","21-May",7,2,9960754,"-28.80%","-50.90%",4450,2238,266950335,17,FALSE
"18","22-May",1,2,3531223,"-64.50%","-31.90%",4450,793,270481558,18,FALSE
"19","23-May",2,2,3570956,"1.10%","-44.60%",4450,802,274052514,19,FALSE
"20","24-May",3,2,2773248,"-22.30%","-38.40%",4450,623,276825762,20,FALSE
"21","25-May",4,2,2650055,"-4.40%","-28.40%",4450,595,279475817,21,FALSE
"22","26-May",5,3,5546037,"109.30%","-34.40%",3940,1407,285021854,22,FALSE
"23","27-May",6,3,7668095,"38.30%","-45.20%",3940,1946,292689949,23,FALSE
"24","28-May",7,3,7599738,"-0.90%","-23.70%",3940,1928,300289687,24,FALSE
"25","29-May",1,2,6015074,"-20.90%","70.30%",3940,1526,306304761,25,FALSE
"26","30-May",2,3,2554956,"-57.50%","-28.50%",3940,648,308859717,26,FALSE
"27","31-May",3,2,2026033,"-20.70%","-26.90%",3940,514,310885750,27,FALSE
"28","1-Jun",4,2,1625704,"-19.80%","-38.70%",3940,412,312511454,28,FALSE
