Date,Event,DOW,Rank,Daily,YD%,LW%,Theaters,Avg,To Date,Day,Estimated
May 5,,5,1,48103839,,,4450,10809,48103839,1,False
May 6,,6,1,38876290,-19.2,,4450,8736,86980129,2,False
May 7,,7,1,31433892,-19.1,,4450,7063,118414021,3,False
May 8,,1,1,8925041,-71.6,,4450,2005,127339062,4,False
May 9,,2,1,11082506,24.2,,4450,2490,138421568,5,False
May 10,,3,1,7120259,-35.8,,4450,1600,145541827,6,False
May 11,,4,1,7159351,0.5,,4450,1608,152701178,7,False
May 12,,5,1,15616247,118.1,-67.5,4450,3509,168317425,8,False
May 13,,6,1,26117258,67.2,-32.8,4450,5869,194434683,9,False
May 14,,7,1,20275043,-22.4,-35.5,4450,4556,214709726,10,False
May 15,,1,1,5183492,-74.4,-41.9,4450,1164,219893218,11,False
May 16,,2,1,6446574,24.4,-41.8,4450,1448,226339792,12,False
May 17,,3,1,4503738,-30.1,-36.7,4450,1012,230843530,13,False
May 18,,4,1,3699049,-17.9,-48.3,4450,831,234542579,14,False
May 19,,5,2,8453562,128.5,-45.9,4450,1899,242996141,15,False
May 20,,6,2,13993440,65.5,-46.4,4450,3144,256989581,16,False
May 21,,7,2,9960754,-28.8,-50.9,4450,2238,266950335,17,False
May 22,,1,2,3531223,-64.5,-31.9,4450,793,270481558,18,False
May 23,,2,2,3570956,1.1,-44.6,4450,802,274052514,19,False
May 24,,3,2,2773248,-22.3,-38.4,4450,623,276825762,20,False
May 25,,4,2,2650055,-4.4,-28.4,4450,595,279475817,21,False
May 26,,5,3,5546037,109.3,-34.4,3940,1407,285021854,22,False
May 27,,6,3,7668095,38.3,-45.2,3940,1946,292689949,23,False
May 28,,7,3,7599738,-0.9,-23.7,3940,1928,300289687,24,False
May 29,Memorial Day,1,2,6015074,-20.9,70.3,3940,1526,306304761,25,False
May 30,,2,3,2554956,-57.5,-28.5,3940,648,308859717,26,False
May 31,,3,2,2026033,-20.7,-26.9,3940,514,310885750,27,False
Jun 1,,4,2,1625704,-19.8,-38.7,3940,412,312511454,28,False
Jun 2,,5,4,2928891,80.2,-47.2,3580,818,315440345,29,False
Jun 3,,6,4,4420294,50.9,-42.4,3580,1234,319860639,30,False
Jun 4,,7,3,3328813,-24.7,-56.2,3580,929,323189452,31,False
Jun 5,,1,4,1243923,-62.6,-79.3,3580,347,324433375,32,False
Jun 6,,2,4,1555189,25.0,-39.1,3580,434,325988564,33,False
Jun 7,,3,4,1215866,-21.8,-40.0,3580,339,327204430,34,False
Jun 8,,4,4,1168339,-3.9,-28.1,3580,326,328372769,35,False
Jun 9,,5,5,2024899,73.3,-30.9,3175,637,330397668,36,False
Jun 10,,6,4,2886727,42.6,-34.7,3175,909,333284395,37,False
Jun 11,,7,4,2316378,-19.8,-30.4,3175,729,335600773,38,False
Jun 12,,1,5,920739,-60.3,-26.0,3175,289,336521512,39,False
Jun 13,,2,5,1147524,24.6,-26.2,3175,361,337669036,40,False
Jun 14,,3,5,937790,-18.3,-22.9,3175,295,338606826,41,False
Jun 15,,4,5,753529,-19.6,-35.5,3175,237,339360355,42,False
Jun 16,,5,7,1259451,67.1,-37.8,2260,557,340619806,43,False
