"","Date","DOW","Rank","Daily","X...YD","X...LW","Theaters","Avg","To.Date","Day","Estimated"
"1","1-Aug",5,1,37845336,"-","-",4080,9275,37845336,1,FALSE
"2","2-Aug",6,1,30989857,"-18.10%","-",4080,7595,68835193,2,FALSE
"3","3-Aug",7,1,25485690,"-17.80%","-",4080,6246,94320883,3,FALSE
"4","4-Aug",1,1,11722356,"-54%","-",4080,2873,106043239,4,FALSE
"5","5-Aug",2,1,11907821,"1.60%","-",4080,2918,117951060,5,FALSE
"6","6-Aug",3,1,8808382,"-26%","-",4080,2158,126759442,6,FALSE
"7","7-Aug",4,1,7631397,"-13.40%","-",4080,1870,134390839,7,FALSE
"8","8-Aug",5,2,12312683,"61.30%","-67.50%",4088,3011,146703522,8,FALSE
"9","9-Aug",6,2,16947112,"37.60%","-45.30%",4088,4145,163650634,9,FALSE
"10","10-Aug",7,2,12865127,"-24.10%","-49.50%",4088,3147,176515761,10,FALSE
"11","11-Aug",1,2,5343905,"-58.50%","-54.40%",4088,1307,181859666,11,FALSE
"12","12-Aug",2,2,6609534,"23.70%","-44.50%",4088,1616,188469200,12,FALSE
"13","13-Aug",3,3,4849881,"-26.60%","-44.90%",4088,1186,193319081,13,FALSE
"14","14-Aug",4,2,4226740,"-12.80%","-44.60%",4088,1033,197545821,14,FALSE
"15","15-Aug",5,2,6940576,"64.20%","-43.60%",3697,1877,204486397,15,FALSE
"16","16-Aug",6,2,10353882,"49.20%","-38.90%",3697,2800,214840279,16,FALSE
"17","17-Aug",7,2,7821106,"-24.50%","-39.20%",3697,2115,222661385,17,FALSE
"18","18-Aug",1,1,2884902,"-63.10%","-46%",3697,780,225546287,18,FALSE
"19","19-Aug",2,2,3511416,"21.70%","-46.90%",3697,949,229057703,19,FALSE
"20","20-Aug",3,1,2623129,"-25.30%","-45.90%",3697,709,231680832,20,FALSE
"21","21-Aug",4,1,2573025,"-1.90%","-39.10%",3697,695,234253857,21,FALSE
"22","22-Aug",5,2,4818549,"87.30%","-30.60%",3371,1429,239072406,22,FALSE
"23","23-Aug",6,1,7480888,"55.30%","-27.70%",3371,2219,246553294,23,FALSE
"24","24-Aug",7,1,4902775,"-34.50%","-37.30%",3371,1454,251456069,24,FALSE
"25","25-Aug",1,1,1662402,"-66.10%","-42.40%",3371,493,253118471,25,FALSE
"26","26-Aug",2,1,2109302,"26.90%","-39.90%",3371,625,255227773,26,FALSE
"27","27-Aug",3,1,1507039,"-28.60%","-42.50%",3371,447,256734812,27,FALSE
"28","28-Aug",4,1,1562456,"3.70%","-39.30%",3371,463,258297268,28,FALSE
"29","29-Aug",5,1,3846423,"146.20%","-20.20%",3462,1111,262143691,29,FALSE
"30","30-Aug",6,1,6220274,"61.70%","-16.90%",3462,1796,268363965,30,FALSE
