Date,Event,DOW,Rank,Daily,YD%,LW%,Theaters,Avg,To Date,Day,Estimated
Aug 1,,5,1,37845336,,,4080,9275,37845336,1,False
Aug 2,,6,1,30989857,-18.1,,4080,7595,68835193,2,False
Aug 3,,7,1,25485690,-17.8,,4080,6246,94320883,3,False
Aug 4,,1,1,11722356,-54.0,,4080,2873,106043239,4,False
Aug 5,,2,1,11907821,1.6,,4080,2918,117951060,5,False
Aug 6,,3,1,8808382,-26.0,,4080,2158,126759442,6,False
Aug 7,,4,1,7631397,-13.4,,4080,1870,134390839,7,False
Aug 8,,5,2,12312683,61.3,-67.5,4088,3011,146703522,8,False
Aug 9,,6,2,16947112,37.6,-45.3,4088,4145,163650634,9,False
Aug 10,,7,2,12865127,-24.1,-49.5,4088,3147,176515761,10,False
Aug 11,,1,2,5343905,-58.5,-54.4,4088,1307,181859666,11,False
Aug 12,,2,2,6609534,23.7,-44.5,4088,1616,188469200,12,False
Aug 13,,3,3,4849881,-26.6,-44.9,4088,1186,193319081,13,False
Aug 14,,4,2,4226740,-12.8,-44.6,4088,1033,197545821,14,False
Aug 15,,5,2,6940576,64.2,-43.6,3697,1877,204486397,15,False
Aug 16,,6,2,10353882,49.2,-38.9,3697,2800,214840279,16,False
Aug 17,,7,2,7821106,-24.5,-39.2,3697,2115,222661385,17,False
Aug 18,,1,1,2884902,-63.1,-46.0,3697,780,225546287,18,False
Aug 19,,2,2,3511416,21.7,-46.9,3697,949,229057703,19,False
Aug 20,,3,1,2623129,-25.3,-45.9,3697,709,231680832,20,False
Aug 21,,4,1,2573025,-1.9,-39.1,3697,695,234253857,21,False
Aug 22,,5,2,4818549,87.3,-30.6,3371,1429,239072406,22,False
Aug 23,,6,1,7480888,55.3,-27.7,3371,2219,246553294,23,False
Aug 24,,7,1,4902775,-34.5,-37.3,3371,1454,251456069,24,False
Aug 25,,1,1,1662402,-66.1,-42.4,3371,493,253118471,25,False
Aug 26,,2,1,2109302,26.9,-39.9,3371,625,255227773,26,False
Aug 27,,3,1,1507039,-28.6,-42.5,3371,447,256734812,27,False
Aug 28,,4,1,1562456,3.7,-39.3,3371,463,258297268,28,False
Aug 29,,5,1,3846423,146.2,-20.2,3462,1111,262143691,29,False
Aug 30,,6,1,6220274,61.7,-16.9,3462,1796,268363965,30,False
Aug 31,,7,1,7015565,12.8,43.1,3462,2026,275379530,31,False
Sep 1,Labor Day,1,1,5824589,-17.0,250.4,3462,1682,281204119,32,False
Sep 2,,2,1,1387915,-76.2,-34.2,3462,400,282592034,33,False
Sep 3,,3,1,974670,-29.8,-35.3,3462,281,283566704,34,False
Sep 4,,4,1,841150,-13.7,-46.2,3462,242,284407854,35,False
Sep 5,,5,1,2707279,221.9,-29.6,3221,840,287115133,36,False
Sep 6,,6,1,5050351,86.5,-18.8,3221,1567,292165484,37,False
Sep 7,,7,1,2599715,-48.5,-62.9,3221,807,294765199,38,False
Sep 8,,1,1,721759,-72.2,-87.6,3221,224,295486958,39,False
Sep 9,,2,1,941747,30.5,-32.1,3221,292,296428705,40,False
Sep 10,,3,1,728882,-22.6,-25.2,3221,226,297157587,41,False
Sep 11,,4,1,727245,-0.2,-13.5,3221,225,297884832,42,False
Sep 12,,5,3,2114165,190.7,-21.9,3104,681,299998997,43,False
Sep 13,,6,3,3905201,84.7,-22.7,3104,1258,303904198,44,False
Sep 14,,7,3,2082992,-46.7,-19.9,3104,671,305987190,45,False
Sep 15,,1,2,578865,-72.2,-19.8,3104,186,306566055,46,False
Sep 16,,2,2,778903,34.6,-17.3,3104,250,307344958,47,False
Sep 17,,3,2,586451,-24.7,-19.5,3104,188,307931409,48,False
Sep 18,,4,2,557622,-4.9,-23.3,3104,179,308489031,49,False
Sep 19,,5,6,1382821,148.0,-34.6,2846,485,309871852,50,False
Sep 20,,6,6,2475953,79.1,-36.6,2846,869,312347805,51,False
Sep 21,,7,6,1383512,-44.1,-33.6,2846,486,313731317,52,False
Sep 22,,1,5,364039,-73.7,-37.1,2846,127,314095356,53,False
Sep 23,,2,5,448190,23.1,-42.5,2846,157,314543546,54,False
Sep 24,,3,5,382862,-14.6,-34.7,2846,134,314926408,55,False
Sep 25,,4,6,476867,24.6,-14.5,2846,167,315403275,56,False
Sep 26,,5,8,1025002,114.9,-25.9,2451,418,316428277,57,False
Sep 27,,6,8,1771534,72.8,-28.5,2451,722,318199811,58,False
