"","Date","DOW","Rank","Daily","X...YD","X...LW","Theaters","Avg","To.Date","Day","Estimated"
"1","7-May",5,1,51239677,"-","-",4380,11698,51239677,1,FALSE
"2","8-May",6,1,45776170,"-10.70%","-",4380,10451,97015847,2,FALSE
"3","9-May",7,1,31106633,"-32%","-",4380,7101,128122480,3,FALSE
"4","10-May",1,1,9366982,"-69.90%","-",4380,2138,137489462,4,FALSE
"5","11-May",2,1,8380235,"-10.50%","-",4380,1913,145869697,5,FALSE
"6","12-May",3,1,6951326,"-17.10%","-",4380,1587,152821023,6,FALSE
"7","13-May",4,1,6338848,"-8.80%","-",4380,1447,159159871,7,FALSE
"8","14-May",5,1,15120949,"138.50%","-70.50%",4390,3444,174280820,8,FALSE
"9","15-May",6,1,22642564,"49.70%","-50.50%",4390,5157,196923384,9,FALSE
"10","16-May",7,1,14277492,"-36.90%","-54.10%",4390,3252,211200876,10,FALSE
"11","17-May",1,1,3715485,"-74%","-60.30%",4390,846,214916361,11,FALSE
"12","18-May",2,1,3565064,"-4%","-57.50%",4390,812,218481425,12,FALSE
"13","19-May",3,1,3145551,"-11.80%","-54.70%",4390,716,221626976,13,FALSE
"14","20-May",4,1,3037827,"-3.40%","-52.10%",4390,691,224664803,14,FALSE
"15","21-May",5,2,7549509,"148.50%","-50.10%",4177,1807,232214312,15,FALSE
"16","22-May",6,2,11505392,"52.40%","-49.20%",4177,2754,243719704,16,FALSE
"17","23-May",7,2,7306357,"-36.50%","-48.80%",4177,1749,251026061,17,FALSE
"18","24-May",1,2,2215378,"-69.70%","-40.40%",4177,530,253241439,18,FALSE
"19","25-May",2,2,1810492,"-18.30%","-49.20%",4177,433,255051931,19,FALSE
"20","26-May",3,2,1684755,"-6.90%","-46.40%",4177,403,256736686,20,FALSE
"21","27-May",4,3,1840224,"9.20%","-39.40%",4177,440,258576910,21,FALSE
"22","28-May",5,4,4440472,"141.30%","-41.20%",3804,1167,263017382,22,FALSE
"23","29-May",6,4,6165974,"38.90%","-46.40%",3804,1620,269183356,23,FALSE
"24","30-May",7,4,5852544,"-5.10%","-19.90%",3804,1538,275035900,24,FALSE
"25","31-May",1,4,4617249,"-21.10%","108.40%",3804,1213,279653149,25,FALSE
"26","1-Jun",2,4,1386018,"-70%","-23.40%",3804,364,281039167,26,FALSE
"27","2-Jun",3,4,1220457,"-11.90%","-27.60%",3804,320,282259624,27,FALSE
"28","3-Jun",4,4,1251538,"2.50%","-32%",3804,329,283511162,28,FALSE
"29","4-Jun",5,8,2189199,"74.90%","-50.70%",3007,728,285700361,29,FALSE
"30","5-Jun",6,7,3482014,"59.10%","-43.50%",3007,1157,289182375,30,FALSE
"31","6-Jun",7,7,2247495,"-35.50%","-61.60%",3007,747,291429870,31,FALSE
"32","7-Jun",1,7,802229,"-64.30%","-82.60%",3007,266,292232099,32,FALSE
"33","8-Jun",2,7,827461,"3.10%","-40.30%",3007,275,293059560,33,FALSE
"34","9-Jun",3,7,848031,"2.50%","-30.50%",3007,282,293907591,34,FALSE
"35","10-Jun",4,7,853593,"0.70%","-31.80%",3007,283,294761184,35,FALSE
"36","11-Jun",5,9,1342063,"57.20%","-38.70%",2305,582,296103247,36,FALSE
"37","12-Jun",6,9,1936638,"44.30%","-44.40%",2305,840,298039885,37,FALSE
"38","13-Jun",7,9,1242505,"-35.80%","-44.70%",2305,539,299282390,38,FALSE
"39","14-Jun",1,9,538035,"-56.70%","-32.90%",2305,233,299820425,39,FALSE
