Date,Event,DOW,Rank,Daily,YD%,LW%,Theaters,Avg,To Date,Day,Estimated
May 7,,5,1,51239677,,,4380,11698,51239677,1,False
May 8,,6,1,45776170,-10.7,,4380,10451,97015847,2,False
May 9,,7,1,31106633,-32.0,,4380,7101,128122480,3,False
May 10,,1,1,9366982,-69.9,,4380,2138,137489462,4,False
May 11,,2,1,8380235,-10.5,,4380,1913,145869697,5,False
May 12,,3,1,6951326,-17.1,,4380,1587,152821023,6,False
May 13,,4,1,6338848,-8.8,,4380,1447,159159871,7,False
May 14,,5,1,15120949,138.5,-70.5,4390,3444,174280820,8,False
May 15,,6,1,22642564,49.7,-50.5,4390,5157,196923384,9,False
May 16,,7,1,14277492,-36.9,-54.1,4390,3252,211200876,10,False
May 17,,1,1,3715485,-74.0,-60.3,4390,846,214916361,11,False
May 18,,2,1,3565064,-4.0,-57.5,4390,812,218481425,12,False
May 19,,3,1,3145551,-11.8,-54.7,4390,716,221626976,13,False
May 20,,4,1,3037827,-3.4,-52.1,4390,691,224664803,14,False
May 21,,5,2,7549509,148.5,-50.1,4177,1807,232214312,15,False
May 22,,6,2,11505392,52.4,-49.2,4177,2754,243719704,16,False
May 23,,7,2,7306357,-36.5,-48.8,4177,1749,251026061,17,False
May 24,,1,2,2215378,-69.7,-40.4,4177,530,253241439,18,False
May 25,,2,2,1810492,-18.3,-49.2,4177,433,255051931,19,False
May 26,,3,2,1684755,-6.9,-46.4,4177,403,256736686,20,False
May 27,,4,3,1840224,9.2,-39.4,4177,440,258576910,21,False
May 28,,5,4,4440472,141.3,-41.2,3804,1167,263017382,22,False
May 29,,6,4,6165974,38.9,-46.4,3804,1620,269183356,23,False
May 30,,7,4,5852544,-5.1,-19.9,3804,1538,275035900,24,False
May 31,Memorial Day,1,4,4617249,-21.1,108.4,3804,1213,279653149,25,False
Jun 1,,2,4,1386018,-70.0,-23.4,3804,364,281039167,26,False
Jun 2,,3,4,1220457,-11.9,-27.6,3804,320,282259624,27,False
Jun 3,,4,4,1251538,2.5,-32.0,3804,329,283511162,28,False
Jun 4,,5,8,2189199,74.9,-50.7,3007,728,285700361,29,False
Jun 5,,6,7,3482014,59.1,-43.5,3007,1157,289182375,30,False
Jun 6,,7,7,2247495,-35.5,-61.6,3007,747,291429870,31,False
Jun 7,,1,7,802229,-64.3,-82.6,3007,266,292232099,32,False
Jun 8,,2,7,827461,3.1,-40.3,3007,275,293059560,33,False
Jun 9,,3,7,848031,2.5,-30.5,3007,282,293907591,34,False
Jun 10,,4,7,853593,0.7,-31.8,3007,283,294761184,35,False
Jun 11,World Cup (South Africa),5,9,1342063,57.2,-38.7,2305,582,296103247,36,False
Jun 12,World Cup (South Africa),6,9,1936638,44.3,-44.4,2305,840,298039885,37,False
Jun 13,World Cup (South Africa),7,9,1242505,-35.8,-44.7,2305,539,299282390,38,False
Jun 14,World Cup (South Africa),1,9,538035,-56.7,-32.9,2305,233,299820425,39,False
Jun 15,World Cup (South Africa),2,9,511560,-4.9,-38.2,2305,221,300331985,40,False
Jun 16,World Cup (South Africa),3,9,536515,4.9,-36.7,2305,232,300868500,41,False
Jun 17,World Cup (South Africa),4,9,469577,-12.5,-45.0,2305,203,301338077,42,False
Jun 18,World Cup (South Africa),5,10,715417,52.4,-46.7,1612,443,302053494,43,False
Jun 19,World Cup (South Africa),6,10,1049141,46.6,-45.8,1612,650,303102635,44,False
Jun 20,World Cup (South Africa),7,9,1107694,5.6,-10.8,1612,687,304210329,45,False
Jun 21,World Cup (South Africa),1,10,342907,-69.0,-36.3,1612,212,304553236,46,False
Jun 22,World Cup (South Africa),2,11,331915,-3.2,-35.1,1612,205,304885151,47,False
