"","Date","DOW","Rank","Daily","X...YD","X...LW","Theaters","Avg","To.Date","Day","Estimated"
"1","1-May",4,1,3500000,"-","-",2500,1400,3500000,"-",TRUE
"2","2-May",5,1,35234361,"-","-",4105,8583,38734361,"1",FALSE
"3","3-May",6,1,37350099,"6%","-",4105,9098,76084460,"2",FALSE
"4","4-May",7,1,26034208,"-30.30%","-",4105,6342,102118668,"3",FALSE
"5","5-May",1,1,6934568,"-73.40%","-",4105,1689,109053236,"4",FALSE
"6","6-May",2,1,6505784,"-6.20%","-",4105,1584,115559020,"5",FALSE
"7","7-May",3,1,5747344,"-11.70%","-",4105,1400,121306364,"6",FALSE
"8","8-May",4,1,5328031,"-7.30%","-",4105,1297,126634395,"7",FALSE
"9","9-May",5,1,14873192,"179.10%","-57.80%",4111,3617,141507587,"8",FALSE
"10","10-May",6,1,21374629,"43.70%","-42.80%",4111,5199,162882216,"9",FALSE
"11","11-May",7,1,14942808,"-30.10%","-42.60%",4111,3634,177825024,"10",FALSE
"12","12-May",1,1,3850844,"-74.20%","-44.50%",4111,936,181675868,"11",FALSE
"13","13-May",2,1,3357146,"-12.80%","-48.40%",4111,816,185033014,"12",FALSE
"14","14-May",3,1,3082988,"-8.20%","-46.40%",4111,749,188116002,"13",FALSE
"15","15-May",4,1,3169387,"2.80%","-40.50%",4111,770,191285389,"14",FALSE
"16","16-May",5,2,8659239,"173.20%","-41.80%",4154,2084,199944628,"15",FALSE
"17","17-May",6,2,13431355,"55.10%","-37.20%",4154,3233,213375983,"16",FALSE
"18","18-May",7,2,9748402,"-27.40%","-34.80%",4154,2346,223124385,"17",FALSE
"19","19-May",1,2,3072182,"-68.50%","-20.20%",4154,739,226196567,"18",FALSE
"20","20-May",2,2,2219928,"-27.70%","-33.90%",4154,534,228416495,"19",FALSE
"21","21-May",3,2,1926258,"-13.20%","-37.50%",4154,463,230342753,"20",FALSE
"22","22-May",4,3,1824663,"-5.30%","-42.40%",4154,439,232167416,"21",FALSE
"23","23-May",5,3,5437126,"198%","-37.20%",3915,1388,237604542,"22",FALSE
"24","24-May",6,3,7898842,"45.30%","-41.20%",3915,2017,245503384,"23",FALSE
"25","25-May",7,3,7111285,"-10%","-27.10%",3915,1816,252614669,"24",FALSE
"26","26-May",1,3,5663877,"-20.40%","84.40%",3915,1446,258278546,"25",FALSE
"27","27-May",2,3,1561073,"-72.40%","-29.70%",3915,398,259839619,"26",FALSE
"28","28-May",3,3,1395588,"-10.60%","-27.50%",3915,356,261235207,"27",FALSE
"29","29-May",4,3,1389865,"-0.40%","-23.80%",3915,355,262625072,"28",FALSE
"30","30-May",5,4,3783237,"172.20%","-30.40%",3650,1036,266408309,"29",FALSE
"31","31-May",6,4,6068126,"60.40%","-23.20%",3650,1662,272476435,"30",FALSE
"32","1-Jun",7,4,3689901,"-39.20%","-48.10%",3650,1010,276166336,"31",FALSE
"33","2-Jun",1,4,1230719,"-66.60%","-78.30%",3650,337,277397055,"32",FALSE
"34","3-Jun",2,4,1336009,"8.60%","-14.40%",3650,366,278733064,"33",FALSE
"35","4-Jun",3,4,1312678,"-1.70%","-5.90%",3650,359,280045742,"34",FALSE
"36","5-Jun",4,4,1324459,"0.90%","-4.70%",3650,362,281370201,"35",FALSE
"37","6-Jun",5,6,2187329,"65.10%","-42.20%",2931,746,283557530,"36",FALSE
"38","7-Jun",6,6,3164558,"44.70%","-47.80%",2931,1079,286722088,"37",FALSE
"39","8-Jun",7,6,2125552,"-32.80%","-42.40%",2931,725,288847640,"38",FALSE
"40","9-Jun",1,6,893971,"-57.90%","-27.40%",2931,305,289741611,"39",FALSE
"41","10-Jun",2,6,859778,"-3.80%","-35.60%",2931,293,290601389,"40",FALSE
"42","11-Jun",3,6,857937,"-0.20%","-34.60%",2931,292,291459326,"41",FALSE
"43","12-Jun",4,6,838628,"-2.30%","-36.70%",2931,286,292297954,"42",FALSE
"44","13-Jun",5,8,1466126,"74.80%","-33%",2403,610,293764080,"43",FALSE
"45","14-Jun",6,7,2119187,"44.50%","-33%",2403,881,295883267,"44",FALSE
"46","15-Jun",7,7,2035062,"-4%","-4.30%",2403,846,297918329,"45",FALSE
"47","16-Jun",1,7,720888,"-64.60%","-19.40%",2403,299,298639217,"46",FALSE
"48","17-Jun",2,7,680253,"-5.60%","-20.90%",2403,283,299319470,"47",FALSE
"49","18-Jun",3,7,723320,"6.30%","-15.70%",2403,301,300042790,"48",FALSE
"50","19-Jun",4,7,743079,"2.70%","-11.40%",2403,309,300785869,"49",FALSE
"51","20-Jun",5,9,1130531,"52.10%","-22.90%",1912,591,301916400,"50",FALSE
"52","21-Jun",6,9,1644786,"45.50%","-22.40%",1912,860,303561186,"51",FALSE
"53","22-Jun",7,9,1254955,"-23.70%","-38.30%",1912,656,304816141,"52",FALSE
"54","23-Jun",1,9,552947,"-55.90%","-23.30%",1912,289,305369088,"53",FALSE
"55","24-Jun",2,9,512328,"-7.30%","-24.70%",1912,267,305881416,"54",FALSE
"56","25-Jun",3,9,503165,"-1.80%","-30.40%",1912,263,306384581,"55",FALSE
"57","26-Jun",4,9,537624,"6.80%","-27.60%",1912,281,306922205,"56",FALSE
"58","27-Jun",5,11,636953,"18.50%","-43.70%",1379,461,307559158,"57",FALSE
"59","28-Jun",6,11,928651,"45.80%","-43.50%",1379,673,308487809,"58",FALSE
"60","29-Jun",7,11,691509,"-25.50%","-44.90%",1379,501,309179318,"59",FALSE
"61","30-Jun",1,11,336907,"-51.30%","-39.10%",1379,244,309516225,"60",FALSE
"62","1-Jul",2,12,244176,"-27.50%","-52.30%",1379,177,309760401,"61",FALSE
"63","2-Jul",3,13,194080,"-20.50%","-61.40%",1379,140,309954481,"62",FALSE
"64","3-Jul",4,13,294039,"51.50%","-45.30%",1379,213,310248520,"63",FALSE
"65","4-Jul",5,12,405289,"37.80%","-36.40%",1019,397,310653809,"64",FALSE
