Date,Event,DOW,Rank,Daily,YD%,LW%,Theaters,Avg,To Date,Day,Estimated
May 1,,4,1,3500000,,,2500,1400,3500000,-,True
May 2,,5,1,35234361,,,4105,8583,38734361,1,False
May 3,,6,1,37350099,6.0,,4105,9098,76084460,2,False
May 4,,7,1,26034208,-30.3,,4105,6342,102118668,3,False
May 5,,1,1,6934568,-73.4,,4105,1689,109053236,4,False
May 6,,2,1,6505784,-6.2,,4105,1584,115559020,5,False
May 7,,3,1,5747344,-11.7,,4105,1400,121306364,6,False
May 8,,4,1,5328031,-7.3,,4105,1297,126634395,7,False
May 9,,5,1,14873192,179.1,-57.8,4111,3617,141507587,8,False
May 10,,6,1,21374629,43.7,-42.8,4111,5199,162882216,9,False
May 11,,7,1,14942808,-30.1,-42.6,4111,3634,177825024,10,False
May 12,,1,1,3850844,-74.2,-44.5,4111,936,181675868,11,False
May 13,,2,1,3357146,-12.8,-48.4,4111,816,185033014,12,False
May 14,,3,1,3082988,-8.2,-46.4,4111,749,188116002,13,False
May 15,,4,1,3169387,2.8,-40.5,4111,770,191285389,14,False
May 16,,5,2,8659239,173.2,-41.8,4154,2084,199944628,15,False
May 17,,6,2,13431355,55.1,-37.2,4154,3233,213375983,16,False
May 18,,7,2,9748402,-27.4,-34.8,4154,2346,223124385,17,False
May 19,,1,2,3072182,-68.5,-20.2,4154,739,226196567,18,False
May 20,,2,2,2219928,-27.7,-33.9,4154,534,228416495,19,False
May 21,,3,2,1926258,-13.2,-37.5,4154,463,230342753,20,False
May 22,,4,3,1824663,-5.3,-42.4,4154,439,232167416,21,False
May 23,,5,3,5437126,198.0,-37.2,3915,1388,237604542,22,False
May 24,,6,3,7898842,45.3,-41.2,3915,2017,245503384,23,False
May 25,,7,3,7111285,-10.0,-27.1,3915,1816,252614669,24,False
May 26,Memorial Day,1,3,5663877,-20.4,84.4,3915,1446,258278546,25,False
May 27,,2,3,1561073,-72.4,-29.7,3915,398,259839619,26,False
May 28,,3,3,1395588,-10.6,-27.5,3915,356,261235207,27,False
May 29,,4,3,1389865,-0.4,-23.8,3915,355,262625072,28,False
May 30,,5,4,3783237,172.2,-30.4,3650,1036,266408309,29,False
May 31,,6,4,6068126,60.4,-23.2,3650,1662,272476435,30,False
Jun 1,,7,4,3689901,-39.2,-48.1,3650,1010,276166336,31,False
Jun 2,,1,4,1230719,-66.6,-78.3,3650,337,277397055,32,False
Jun 3,,2,4,1336009,8.6,-14.4,3650,366,278733064,33,False
Jun 4,,3,4,1312678,-1.7,-5.9,3650,359,280045742,34,False
Jun 5,,4,4,1324459,0.9,-4.7,3650,362,281370201,35,False
Jun 6,,5,6,2187329,65.1,-42.2,2931,746,283557530,36,False
Jun 7,,6,6,3164558,44.7,-47.8,2931,1079,286722088,37,False
Jun 8,,7,6,2125552,-32.8,-42.4,2931,725,288847640,38,False
Jun 9,,1,6,893971,-57.9,-27.4,2931,305,289741611,39,False
Jun 10,,2,6,859778,-3.8,-35.6,2931,293,290601389,40,False
Jun 11,,3,6,857937,-0.2,-34.6,2931,292,291459326,41,False
Jun 12,,4,6,838628,-2.3,-36.7,2931,286,292297954,42,False
Jun 13,,5,8,1466126,74.8,-33.0,2403,610,293764080,43,False
Jun 14,,6,7,2119187,44.5,-33.0,2403,881,295883267,44,False
