Date,Event,DOW,Rank,Daily,YD%,LW%,Theaters,Avg,To Date,Day,Estimated
May 4,,5,1,80813985,,,4349,18582,80813985,1,False
May 5,,6,1,69557990,-13.9,,4349,15994,150371975,2,False
May 6,,7,1,57066733,-18.0,,4349,13121,207438708,3,False
May 7,,1,1,18898999,-66.9,,4349,4345,226337707,4,False
May 8,,2,1,17677190,-6.5,,4349,4064,244014897,5,False
May 9,,3,1,13612910,-23.0,,4349,3130,257627807,6,False
May 10,,4,1,12391566,-9.0,,4349,2849,270019373,7,False
May 11,,5,1,29223517,135.8,-63.8,4349,6719,299242890,8,False
May 12,,6,1,42905519,46.8,-38.3,4349,9865,342148409,9,False
May 13,,7,1,30923238,-27.9,-45.8,4349,7110,373071647,10,False
May 14,,1,1,7923789,-74.4,-58.1,4349,1821,380995436,11,False
May 15,,2,1,8477854,7.0,-52.0,4349,1949,389473290,12,False
May 16,,3,1,6339757,-25.2,-53.4,4349,1457,395813047,13,False
May 17,,4,1,6208368,-2.1,-49.9,4349,1427,402021415,14,False
May 18,,5,1,15236046,145.4,-47.9,4249,3585,417257461,15,False
May 19,,6,1,23587069,54.8,-45.0,4249,5551,440844530,16,False
May 20,,7,1,16820987,-28.7,-45.6,4249,3958,457665517,17,False
May 21,,1,1,5687934,-66.2,-28.2,4249,1338,463353451,18,False
May 22,,2,1,4917764,-13.5,-42.0,4249,1157,468271215,19,False
May 23,,3,1,3968406,-19.3,-37.4,4249,933,472239621,20,False
May 24,,4,1,4445167,12.0,-28.4,4249,1046,476684788,21,False
May 25,,5,2,9664323,117.4,-36.6,3918,2466,486349111,22,False
May 26,,6,2,14066384,45.5,-40.4,3918,3590,500415495,23,False
May 27,,7,2,12956164,-7.9,-23.0,3918,3306,513371659,24,False
May 28,Memorial Day,1,2,10535543,-18.7,85.2,3918,2689,523907202,25,False
May 29,,2,2,3266753,-69.0,-33.6,3918,833,527173955,26,False
May 30,,3,2,2515041,-23.0,-36.6,3918,641,529688996,27,False
May 31,,4,2,2774984,10.3,-37.6,3918,708,532463980,28,False
Jun 1,,5,3,5641642,103.3,-41.6,3670,1537,538105622,29,False
Jun 2,,6,3,9017913,59.8,-35.9,3670,2457,547123535,30,False
Jun 3,,7,3,5826863,-35.4,-55.0,3670,1587,552950398,31,False
Jun 4,,1,3,2042375,-64.9,-80.6,3670,556,554992773,32,False
Jun 5,,2,3,2221713,8.8,-32.0,3670,605,557214486,33,False
Jun 6,,3,3,1862060,-16.2,-26.0,3670,507,559076546,34,False
Jun 7,,4,3,1974179,6.0,-28.9,3670,537,561050725,35,False
Jun 8,,5,5,3336924,69.0,-40.9,3129,1066,564387649,36,False
Jun 9,,6,5,4546865,36.3,-49.6,3129,1453,568934514,37,False
Jun 10,,7,5,3365949,-26.0,-42.2,3129,1075,572300463,38,False
Jun 11,,1,5,1385505,-58.8,-32.2,3129,442,573685968,39,False
Jun 12,,2,5,1547796,11.7,-30.3,3129,494,575233764,40,False
Jun 13,,3,5,1349418,-12.8,-27.5,3129,431,576583182,41,False
Jun 14,,4,5,1305722,-3.2,-33.9,3129,417,577888904,42,False
Jun 15,,5,7,2206155,69.0,-33.9,2582,854,580095059,43,False
