"","Date","DOW","Rank","Daily","X...YD","X...LW","Theaters","Avg","To.Date","Day","Estimated"
"1","3-Sep",5,1,29502259,"-","-",4300,6860,"$29,502,259 ",1,FALSE
"2","4-Sep",6,1,23190043,"-21.40%","-",4300,5393,"$52,692,302 ",2,FALSE
"3","5-Sep",7,1,22696386,"-2.10%","-",4300,5278,"$75,388,688 ",3,FALSE
"4","6-Sep",1,1,19284160,"-15%","-",4300,4484,"$94,672,848 ",4,FALSE
"5","7-Sep",2,1,6619036,"-65.70%","-",4300,1539,"$101,291,884 ",5,FALSE
"6","8-Sep",3,1,4614556,"-30.30%","-",4300,1073,"$105,906,440 ",6,FALSE
"7","9-Sep",4,1,3908701,"-15.30%","-",4300,909,"$109,815,141 ",7,FALSE
"8","10-Sep",5,1,9628206,"146.30%","-67.40%",4300,2239,"$119,443,347 ",8,FALSE
"9","11-Sep",6,1,15343106,"59.40%","-33.80%",4300,3568,"$134,786,453 ",9,FALSE
"10","12-Sep",7,1,9729758,"-36.60%","-57.10%",4300,2262,"$144,516,211 ",10,FALSE
"11","13-Sep",1,1,2448533,"-74.80%","-87.30%",4300,569,"$146,964,744 ",11,FALSE
"12","14-Sep",2,1,3180985,"29.90%","-51.90%",4300,739,"$150,145,729 ",12,FALSE
"13","15-Sep",3,1,2466295,"-22.50%","-46.60%",4300,573,"$152,612,024 ",13,FALSE
"14","16-Sep",4,1,2581531,"4.70%","-34%",4300,600,"$155,193,555 ",14,FALSE
"15","17-Sep",5,1,5866342,"127.20%","-39.10%",4070,1441,"$161,059,897 ",15,FALSE
"16","18-Sep",6,1,9754340,"66.30%","-36.40%",4070,2396,"$170,814,237 ",16,FALSE
"17","19-Sep",7,1,6050069,"-38%","-37.80%",4070,1486,"$176,864,306 ",17,FALSE
"18","20-Sep",1,1,1539514,"-74.60%","-37.10%",4070,378,"$178,403,820 ",18,FALSE
"19","21-Sep",2,1,1961601,"27.40%","-38.30%",4070,481,"$180,365,421 ",19,FALSE
"20","22-Sep",3,1,1467643,"-25.20%","-40.50%",4070,360,"$181,833,064 ",20,FALSE
"21","23-Sep",4,1,1341020,"-8.60%","-48.10%",4070,329,"$183,174,084 ",21,FALSE
"22","24-Sep",5,1,3566776,"166%","-39.20%",3952,902,"$186,740,860 ",22,FALSE
"23","25-Sep",6,1,5933872,"66.40%","-39.20%",3952,1501,"$192,674,732 ",23,FALSE
"24","26-Sep",7,1,3530763,"-40.50%","-41.60%",3952,893,"$196,205,495 ",24,FALSE
"25","27-Sep",1,1,946189,"-73.20%","-38.50%",3952,239,"$197,151,684 ",25,FALSE
"26","28-Sep",2,1,1175926,"24.30%","-40.10%",3952,297,"$198,327,610 ",26,FALSE
"27","29-Sep",3,1,961808,"-18.20%","-34.50%",3952,243,"$199,289,418 ",27,FALSE
"28","30-Sep",4,1,782384,"-18.70%","-41.70%",3952,197,"$200,071,802 ",28,FALSE
"29","1-Oct",5,3,1623236,"107.50%","-54.50%",3455,469,"$201,695,038 ",29,FALSE
"30","2-Oct",6,3,2794045,"72.10%","-52.90%",3455,808,"$204,489,083 ",30,FALSE
"31","3-Oct",7,3,1692313,"-39.40%","-52.10%",3455,489,"$206,181,396 ",31,FALSE
"32","4-Oct",1,3,503658,"-70.20%","-46.80%",3455,145,"$206,685,054 ",32,FALSE
"33","5-Oct",2,3,611099,"21.30%","-48%",3455,176,"$207,296,153 ",33,FALSE
"34","6-Oct",3,3,487326,"-20.30%","-49.30%",3455,141,"$207,783,479 ",34,FALSE
