Date,Event,DOW,Rank,Daily,YD%,LW%,Theaters,Avg,To Date,Day,Estimated
Sep 3,,5,1,29502259,,,4300,6860,29502259,1,False
Sep 4,,6,1,23190043,-21.4,,4300,5393,52692302,2,False
Sep 5,,7,1,22696386,-2.1,,4300,5278,75388688,3,False
Sep 6,Labor Day,1,1,19284160,-15.0,,4300,4484,94672848,4,False
Sep 7,,2,1,6619036,-65.7,,4300,1539,101291884,5,False
Sep 8,,3,1,4614556,-30.3,,4300,1073,105906440,6,False
Sep 9,,4,1,3908701,-15.3,,4300,909,109815141,7,False
Sep 10,,5,1,9628206,146.3,-67.4,4300,2239,119443347,8,False
Sep 11,,6,1,15343106,59.4,-33.8,4300,3568,134786453,9,False
Sep 12,,7,1,9729758,-36.6,-57.1,4300,2262,144516211,10,False
Sep 13,,1,1,2448533,-74.8,-87.3,4300,569,146964744,11,False
Sep 14,,2,1,3180985,29.9,-51.9,4300,739,150145729,12,False
Sep 15,,3,1,2466295,-22.5,-46.6,4300,573,152612024,13,False
Sep 16,,4,1,2581531,4.7,-34.0,4300,600,155193555,14,False
Sep 17,,5,1,5866342,127.2,-39.1,4070,1441,161059897,15,False
Sep 18,,6,1,9754340,66.3,-36.4,4070,2396,170814237,16,False
Sep 19,,7,1,6050069,-38.0,-37.8,4070,1486,176864306,17,False
Sep 20,,1,1,1539514,-74.6,-37.1,4070,378,178403820,18,False
Sep 21,,2,1,1961601,27.4,-38.3,4070,481,180365421,19,False
Sep 22,,3,1,1467643,-25.2,-40.5,4070,360,181833064,20,False
Sep 23,,4,1,1341020,-8.6,-48.1,4070,329,183174084,21,False
Sep 24,,5,1,3566776,166.0,-39.2,3952,902,186740860,22,False
Sep 25,,6,1,5933872,66.4,-39.2,3952,1501,192674732,23,False
Sep 26,,7,1,3530763,-40.5,-41.6,3952,893,196205495,24,False
Sep 27,,1,1,946189,-73.2,-38.5,3952,239,197151684,25,False
Sep 28,,2,1,1175926,24.3,-40.1,3952,297,198327610,26,False
Sep 29,,3,1,961808,-18.2,-34.5,3952,243,199289418,27,False
Sep 30,,4,1,782384,-18.7,-41.7,3952,197,200071802,28,False
Oct 1,,5,3,1623236,107.5,-54.5,3455,469,201695038,29,False
Oct 2,,6,3,2794045,72.1,-52.9,3455,808,204489083,30,False
Oct 3,,7,3,1692313,-39.4,-52.1,3455,489,206181396,31,False
Oct 4,,1,3,503658,-70.2,-46.8,3455,145,206685054,32,False
Oct 5,,2,3,611099,21.3,-48.0,3455,176,207296153,33,False
Oct 6,,3,3,487326,-20.3,-49.3,3455,141,207783479,34,False
Oct 7,,4,3,473286,-2.9,-39.5,3455,136,208256765,35,False
Oct 8,,5,4,1153955,143.8,-28.9,2800,412,209410720,36,False
Oct 9,,6,4,1834257,59.0,-34.4,2800,655,211244977,37,False
Oct 10,,7,4,1320595,-28.0,-22.0,2800,471,212565572,38,False
Oct 11,Indig. Peoples' Day,1,4,755812,-42.8,50.1,2800,269,213321384,39,False
Oct 12,,2,4,446858,-40.9,-26.9,2800,159,213768242,40,False
Oct 13,,3,4,369047,-17.4,-24.3,2800,131,214137289,41,False
Oct 14,,4,4,393570,6.6,-16.8,2800,140,214530859,42,False
Oct 15,,5,6,905116,130.0,-21.6,2300,393,215435975,43,False
Oct 16,,6,6,1535641,69.7,-16.3,2300,667,216971616,44,False
Oct 17,,7,6,880853,-42.6,-33.3,2300,382,217852469,45,False
Oct 18,,1,6,280120,-68.2,-62.9,2300,121,218132589,46,False
Oct 19,,2,6,312534,11.6,-30.1,2300,135,218445123,47,False
Oct 20,,3,6,275410,-11.9,-25.4,2300,119,218720533,48,False
Oct 21,,4,6,253299,-8.0,-35.6,2300,110,218973832,49,False
Oct 22,,5,9,534842,111.2,-40.9,1600,334,219508674,50,False
Oct 23,,6,7,910977,70.3,-40.7,1600,569,220419651,51,False
Oct 24,,7,7,573686,-37.0,-34.9,1600,358,220993337,52,False
Oct 25,,1,7,167322,-70.8,-40.3,1600,104,221160659,53,False
Oct 26,,2,7,196292,17.3,-37.2,1600,122,221356951,54,False
Oct 27,,3,7,162029,-17.5,-41.2,1600,101,221518980,55,False
Oct 28,,4,7,161261,-0.5,-36.3,1600,100,221680241,56,False
Oct 29,,5,11,319435,98.1,-40.3,1115,286,221999676,57,False
Oct 30,,6,11,488152,52.8,-46.4,1115,437,222487828,58,False
Oct 31,Halloween,7,11,271216,-44.4,-52.7,1115,243,222759044,59,False
Nov 1,,1,11,130093,-52.0,-22.2,1115,116,222889137,60,False
Nov 2,,2,11,150736,15.9,-23.2,1115,135,223039873,61,False
Nov 3,,3,11,112423,-25.4,-30.6,1115,100,223152296,62,False
Nov 4,,4,11,80611,-28.3,-50.0,1115,72,223232907,63,False
Nov 5,,5,14,177404,120.1,-44.5,440,403,223410311,64,False
Nov 6,,6,14,267957,51.0,-45.1,440,608,223678268,65,False
Nov 7,,7,14,168075,-37.3,-38.0,440,381,223846343,66,False
Nov 8,,1,14,70048,-58.3,-46.2,440,159,223916391,67,False
Nov 9,,2,13,75097,7.2,-50.2,440,170,223991488,68,False
Nov 10,,3,14,69192,-7.9,-38.5,440,157,224060680,69,False
Nov 11,,4,15,96024,38.8,19.1,440,218,224156704,70,False
Nov 12,,5,16,71614,-25.4,-59.6,335,213,224228318,71,False
Nov 13,,6,16,101858,42.2,-62.0,335,304,224330176,72,False
Nov 14,,7,16,52273,-48.7,-68.9,335,156,224382449,73,False
Nov 15,,1,17,18405,-64.8,-73.7,335,54,224400854,74,False
Nov 16,,2,17,20124,9.3,-73.2,335,60,224420978,75,False
Nov 17,,3,17,17397,-13.6,-74.9,335,51,224438375,76,False
Nov 18,,4,17,15707,-9.7,-83.6,335,46,224454082,77,False
Nov 19,,5,24,14179,-9.7,-80.2,120,118,224468261,78,False
Nov 20,,6,24,20925,47.6,-79.5,120,174,224489186,79,False
Nov 21,,7,23,13860,-33.8,-73.5,120,115,224503046,80,False
Nov 22,,1,22,7705,-44.4,-58.1,120,64,224510751,81,False
Nov 23,,2,23,7394,-4.0,-63.3,120,61,224518145,82,False
Nov 24,,3,28,3215,-56.5,-81.5,65,49,224521360,83,False
Nov 25,Thanksgiving,4,30,1608,-50.0,-89.8,65,24,224522968,84,False
Nov 26,,5,30,6029,274.9,-57.5,65,92,224528997,85,False
Nov 27,,6,30,6000,-0.5,-71.3,65,92,224534997,86,False
Nov 28,,7,30,2820,-53.0,-79.7,65,43,224537817,87,False
Nov 29,,1,27,1484,-47.4,-80.7,65,22,224539301,88,False
Nov 30,,2,28,1048,-29.4,-85.8,65,16,224540349,89,False
