"","Date","DOW","Rank","Daily","X...YD","X...LW","Theaters","Avg","To.Date","Day","Estimated"
"1","2-Jul",2,1,39255628,"-","-",4634,8471,"$39,255,628 ",1,FALSE
"2","3-Jul",3,1,27508094,"-29.90%","-",4634,5936,"$66,763,722 ",2,FALSE
"3","4-Jul",4,1,25720128,"-6.50%","-",4634,5550,"$92,483,850 ",3,FALSE
"4","5-Jul",5,1,32680863,"27.10%","-",4634,7052,"$125,164,713 ",4,FALSE
"5","6-Jul",6,1,34222790,"4.70%","-",4634,7385,"$159,387,503 ",5,FALSE
"6","7-Jul",7,1,25675559,"-25%","-",4634,5540,"$185,063,062 ",6,FALSE
"7","8-Jul",1,1,10876965,"-57.60%","-",4634,2347,"$195,940,027 ",7,FALSE
"8","9-Jul",2,1,15135394,"39.20%","-61.40%",4634,3266,"$211,075,421 ",8,FALSE
"9","10-Jul",3,1,9225531,"-39%","-66.50%",4634,1990,"$220,300,952 ",9,FALSE
"10","11-Jul",4,1,8928353,"-3.20%","-65.30%",4634,1926,"$229,229,305 ",10,FALSE
"11","12-Jul",5,1,13337741,"49.40%","-59.20%",4634,2878,"$242,567,046 ",11,FALSE
"12","13-Jul",6,1,18110228,"35.80%","-47.10%",4634,3908,"$260,677,274 ",12,FALSE
"13","14-Jul",7,1,13905390,"-23.20%","-45.80%",4634,3000,"$274,582,664 ",13,FALSE
"14","15-Jul",1,1,5527448,"-60.20%","-49.20%",4634,1192,"$280,110,112 ",14,FALSE
"15","16-Jul",2,1,8822096,"59.60%","-41.70%",4634,1903,"$288,932,208 ",15,FALSE
"16","17-Jul",3,1,5408839,"-38.70%","-41.40%",4634,1167,"$294,341,047 ",16,FALSE
"17","18-Jul",4,1,4318365,"-20.20%","-51.60%",4634,931,"$298,659,412 ",17,FALSE
"18","19-Jul",5,2,6024725,"39.50%","-54.80%",4415,1364,"$304,684,137 ",18,FALSE
"19","20-Jul",6,2,8413659,"39.70%","-53.50%",4415,1905,"$313,097,796 ",19,FALSE
"20","21-Jul",7,2,6764047,"-19.60%","-51.40%",4415,1532,"$319,861,843 ",20,FALSE
"21","22-Jul",1,2,2909209,"-57%","-47.40%",4415,658,"$322,771,052 ",21,FALSE
"22","23-Jul",2,2,4362887,"50%","-50.50%",4415,988,"$327,133,939 ",22,FALSE
"23","24-Jul",3,2,2667594,"-38.90%","-50.70%",4415,604,"$329,801,533 ",23,FALSE
"24","25-Jul",4,2,2453737,"-8%","-43.20%",4415,555,"$332,255,270 ",24,FALSE
"25","26-Jul",5,3,3540491,"44.30%","-41.20%",3851,919,"$335,795,761 ",25,FALSE
"26","27-Jul",6,3,4952874,"39.90%","-41.10%",3851,1286,"$340,748,635 ",26,FALSE
"27","28-Jul",7,3,3958778,"-20.10%","-41.50%",3851,1027,"$344,707,413 ",27,FALSE
"28","29-Jul",1,3,1792843,"-54.70%","-38.40%",3851,465,"$346,500,256 ",28,FALSE
"29","30-Jul",2,3,2708709,"51.10%","-37.90%",3851,703,"$349,208,965 ",29,FALSE
"30","31-Jul",3,3,1811406,"-33.10%","-32.10%",3851,470,"$351,020,371 ",30,FALSE
"31","1-Aug",4,3,1553554,"-14.20%","-36.70%",3851,403,"$352,573,925 ",31,FALSE
"32","2-Aug",5,4,2260524,"45.50%","-36.20%",3446,655,"$354,834,449 ",32,FALSE
"33","3-Aug",6,4,3158967,"39.70%","-36.20%",3446,916,"$357,993,416 ",33,FALSE
"34","4-Aug",7,4,2484566,"-21.30%","-37.20%",3446,721,"$360,477,982 ",34,FALSE
"35","5-Aug",1,4,1225239,"-50.70%","-31.70%",3446,355,"$361,703,221 ",35,FALSE
"36","6-Aug",2,4,1739065,"41.90%","-35.80%",3446,504,"$363,442,286 ",36,FALSE
"37","7-Aug",3,4,1204815,"-30.70%","-33.50%",3446,349,"$364,647,101 ",37,FALSE
"38","8-Aug",4,4,1025389,"-14.90%","-34%",3446,297,"$365,672,490 ",38,FALSE
"39","9-Aug",5,8,1488036,"45.10%","-34.20%",2678,555,"$367,160,526 ",39,FALSE
"40","10-Aug",6,8,2175689,"46.20%","-31.10%",2678,812,"$369,336,215 ",40,FALSE
"41","11-Aug",7,7,1613847,"-25.80%","-35%",2678,602,"$370,950,062 ",41,FALSE
"42","12-Aug",1,7,744142,"-53.90%","-39.30%",2678,277,"$371,694,204 ",42,FALSE
"43","13-Aug",2,9,1023149,"37.50%","-41.20%",2678,382,"$372,717,353 ",43,FALSE
"44","14-Aug",3,8,640427,"-37.40%","-46.80%",2678,239,"$373,357,780 ",44,FALSE
"45","15-Aug",4,8,516765,"-19.30%","-49.60%",2678,192,"$373,874,545 ",45,FALSE
"46","16-Aug",5,12,765143,"48.10%","-48.60%",1515,505,"$374,639,688 ",46,FALSE
"47","17-Aug",6,12,1190789,"55.60%","-45.30%",1515,785,"$375,830,477 ",47,FALSE
"48","18-Aug",7,12,845884,"-29%","-47.60%",1515,558,"$376,676,361 ",48,FALSE
"49","19-Aug",1,12,345734,"-59.10%","-53.50%",1515,228,"$377,022,095 ",49,FALSE
"50","20-Aug",2,12,452481,"30.90%","-55.80%",1515,298,"$377,474,576 ",50,FALSE
"51","21-Aug",3,13,325111,"-28.10%","-49.20%",1515,214,"$377,799,687 ",51,FALSE
"52","22-Aug",4,13,269320,"-17.20%","-47.90%",1515,177,"$378,069,007 ",52,FALSE
"53","23-Aug",5,15,464600,"72.50%","-39.30%",1008,460,"$378,533,607 ",53,FALSE
"54","24-Aug",6,15,737918,"58.80%","-38%",1008,732,"$379,271,525 ",54,FALSE
"55","25-Aug",7,16,479955,"-35%","-43.30%",1008,476,"$379,751,480 ",55,FALSE
"56","26-Aug",1,17,180216,"-62.50%","-47.90%",1008,178,"$379,931,696 ",56,FALSE
"57","27-Aug",2,16,267935,"48.70%","-40.80%",1008,265,"$380,199,631 ",57,FALSE
"58","28-Aug",3,17,176539,"-34.10%","-45.70%",1008,175,"$380,376,170 ",58,FALSE
"59","29-Aug",4,20,76418,"-56.70%","-71.60%",1008,75,"$380,452,588 ",59,FALSE
"60","30-Aug",5,8,1146126,"1399.80%","146.70%",3162,362,"$381,598,714 ",60,FALSE
"61","31-Aug",6,10,1551418,"35.40%","110.20%",3162,490,"$383,150,132 ",61,FALSE
"62","1-Sep",7,11,1606189,"3.50%","234.70%",3162,507,"$384,756,321 ",62,FALSE
"63","2-Sep",1,10,1342554,"-16.40%","645%",3162,424,"$386,098,875 ",63,FALSE
"64","3-Sep",2,9,405889,"-69.80%","51.50%",3162,128,"$386,504,764 ",64,FALSE
"65","4-Sep",3,10,242798,"-40.20%","37.50%",3162,76,"$386,747,562 ",65,FALSE
"66","5-Sep",4,11,135284,"-44.30%","77%",3162,42,"$386,882,846 ",66,FALSE
"67","6-Sep",5,13,286115,"111.50%","-75%",1433,199,"$387,168,961 ",67,FALSE
"68","7-Sep",6,13,596384,"108.40%","-61.60%",1433,416,"$387,765,345 ",68,FALSE
"69","8-Sep",7,13,355553,"-40.40%","-77.90%",1433,248,"$388,120,898 ",69,FALSE
"70","9-Sep",1,12,94889,"-73.30%","-92.90%",1433,66,"$388,215,787 ",70,FALSE
"71","10-Sep",2,13,141988,"49.60%","-65%",1433,99,"$388,357,775 ",71,FALSE
"72","11-Sep",3,13,98657,"-30.50%","-59.40%",1433,68,"$388,456,432 ",72,FALSE
"73","12-Sep",4,14,78122,"-20.80%","-42.30%",1433,54,"$388,534,554 ",73,FALSE
"74","13-Sep",5,17,156975,"100.90%","-45.10%",710,221,"$388,691,529 ",74,FALSE
"75","14-Sep",6,16,331439,"111.10%","-44.40%",710,466,"$389,022,968 ",75,FALSE
"76","15-Sep",7,18,172507,"-48%","-51.50%",710,242,"$389,195,475 ",76,FALSE
"77","16-Sep",1,20,44052,"-74.50%","-53.60%",710,62,"$389,239,527 ",77,FALSE
"78","17-Sep",2,20,62656,"42.20%","-55.90%",710,88,"$389,302,183 ",78,FALSE
"79","18-Sep",3,20,42585,"-32%","-56.80%",710,59,"$389,344,768 ",79,FALSE
"80","19-Sep",4,19,31250,"-26.60%","-60%",710,44,"$389,376,018 ",80,FALSE
"81","20-Sep",5,19,91863,"194%","-41.50%",407,225,"$389,467,881 ",81,FALSE
"82","21-Sep",6,18,176761,"92.40%","-46.70%",407,434,"$389,644,642 ",82,FALSE
"83","22-Sep",7,20,107129,"-39.40%","-37.90%",407,263,"$389,751,771 ",83,FALSE
"84","23-Sep",1,21,26443,"-75.30%","-40%",407,64,"$389,778,214 ",84,FALSE
