Date,Event,DOW,Rank,Daily,YD%,LW%,Theaters,Avg,To Date,Day,Estimated
Jul 2,,2,1,39255628,,,4634,8471,39255628,1,False
Jul 3,,3,1,27508094,-29.9,,4634,5936,66763722,2,False
Jul 4,Independence Day,4,1,25720128,-6.5,,4634,5550,92483850,3,False
Jul 5,,5,1,32680863,27.1,,4634,7052,125164713,4,False
Jul 6,,6,1,34222790,4.7,,4634,7385,159387503,5,False
Jul 7,,7,1,25675559,-25.0,,4634,5540,185063062,6,False
Jul 8,,1,1,10876965,-57.6,,4634,2347,195940027,7,False
Jul 9,,2,1,15135394,39.2,-61.4,4634,3266,211075421,8,False
Jul 10,,3,1,9225531,-39.0,-66.5,4634,1990,220300952,9,False
Jul 11,,4,1,8928353,-3.2,-65.3,4634,1926,229229305,10,False
Jul 12,,5,1,13337741,49.4,-59.2,4634,2878,242567046,11,False
Jul 13,,6,1,18110228,35.8,-47.1,4634,3908,260677274,12,False
Jul 14,,7,1,13905390,-23.2,-45.8,4634,3000,274582664,13,False
Jul 15,,1,1,5527448,-60.2,-49.2,4634,1192,280110112,14,False
Jul 16,,2,1,8822096,59.6,-41.7,4634,1903,288932208,15,False
Jul 17,,3,1,5408839,-38.7,-41.4,4634,1167,294341047,16,False
Jul 18,,4,1,4318365,-20.2,-51.6,4634,931,298659412,17,False
Jul 19,,5,2,6024725,39.5,-54.8,4415,1364,304684137,18,False
Jul 20,,6,2,8413659,39.7,-53.5,4415,1905,313097796,19,False
Jul 21,,7,2,6764047,-19.6,-51.4,4415,1532,319861843,20,False
Jul 22,,1,2,2909209,-57.0,-47.4,4415,658,322771052,21,False
Jul 23,,2,2,4362887,50.0,-50.5,4415,988,327133939,22,False
Jul 24,,3,2,2667594,-38.9,-50.7,4415,604,329801533,23,False
Jul 25,,4,2,2453737,-8.0,-43.2,4415,555,332255270,24,False
Jul 26,,5,3,3540491,44.3,-41.2,3851,919,335795761,25,False
Jul 27,,6,3,4952874,39.9,-41.1,3851,1286,340748635,26,False
Jul 28,,7,3,3958778,-20.1,-41.5,3851,1027,344707413,27,False
Jul 29,,1,3,1792843,-54.7,-38.4,3851,465,346500256,28,False
Jul 30,,2,3,2708709,51.1,-37.9,3851,703,349208965,29,False
Jul 31,,3,3,1811406,-33.1,-32.1,3851,470,351020371,30,False
Aug 1,,4,3,1553554,-14.2,-36.7,3851,403,352573925,31,False
Aug 2,,5,4,2260524,45.5,-36.2,3446,655,354834449,32,False
Aug 3,,6,4,3158967,39.7,-36.2,3446,916,357993416,33,False
Aug 4,,7,4,2484566,-21.3,-37.2,3446,721,360477982,34,False
Aug 5,,1,4,1225239,-50.7,-31.7,3446,355,361703221,35,False
Aug 6,,2,4,1739065,41.9,-35.8,3446,504,363442286,36,False
Aug 7,,3,4,1204815,-30.7,-33.5,3446,349,364647101,37,False
Aug 8,,4,4,1025389,-14.9,-34.0,3446,297,365672490,38,False
Aug 9,,5,8,1488036,45.1,-34.2,2678,555,367160526,39,False
Aug 10,,6,8,2175689,46.2,-31.1,2678,812,369336215,40,False
Aug 11,,7,7,1613847,-25.8,-35.0,2678,602,370950062,41,False
Aug 12,,1,7,744142,-53.9,-39.3,2678,277,371694204,42,False
Aug 13,,2,9,1023149,37.5,-41.2,2678,382,372717353,43,False
Aug 14,,3,8,640427,-37.4,-46.8,2678,239,373357780,44,False
Aug 15,,4,8,516765,-19.3,-49.6,2678,192,373874545,45,False
Aug 16,,5,12,765143,48.1,-48.6,1515,505,374639688,46,False
Aug 17,,6,12,1190789,55.6,-45.3,1515,785,375830477,47,False
Aug 18,,7,12,845884,-29.0,-47.6,1515,558,376676361,48,False
Aug 19,,1,12,345734,-59.1,-53.5,1515,228,377022095,49,False
Aug 20,,2,12,452481,30.9,-55.8,1515,298,377474576,50,False
Aug 21,,3,13,325111,-28.1,-49.2,1515,214,377799687,51,False
Aug 22,,4,13,269320,-17.2,-47.9,1515,177,378069007,52,False
Aug 23,,5,15,464600,72.5,-39.3,1008,460,378533607,53,False
Aug 24,,6,15,737918,58.8,-38.0,1008,732,379271525,54,False
Aug 25,,7,16,479955,-35.0,-43.3,1008,476,379751480,55,False
Aug 26,,1,17,180216,-62.5,-47.9,1008,178,379931696,56,False
Aug 27,,2,16,267935,48.7,-40.8,1008,265,380199631,57,False
Aug 28,,3,17,176539,-34.1,-45.7,1008,175,380376170,58,False
Aug 29,,4,20,76418,-56.7,-71.6,1008,75,380452588,59,False
Aug 30,,5,8,1146126,1399.8,146.7,3162,362,381598714,60,False
Aug 31,,6,10,1551418,35.4,110.2,3162,490,383150132,61,False
Sep 1,,7,11,1606189,3.5,234.7,3162,507,384756321,62,False
Sep 2,Labor Day,1,10,1342554,-16.4,645.0,3162,424,386098875,63,False
Sep 3,,2,9,405889,-69.8,51.5,3162,128,386504764,64,False
Sep 4,,3,10,242798,-40.2,37.5,3162,76,386747562,65,False
Sep 5,,4,11,135284,-44.3,77.0,3162,42,386882846,66,False
Sep 6,,5,13,286115,111.5,-75.0,1433,199,387168961,67,False
Sep 7,,6,13,596384,108.4,-61.6,1433,416,387765345,68,False
Sep 8,,7,13,355553,-40.4,-77.9,1433,248,388120898,69,False
Sep 9,,1,12,94889,-73.3,-92.9,1433,66,388215787,70,False
Sep 10,,2,13,141988,49.6,-65.0,1433,99,388357775,71,False
Sep 11,,3,13,98657,-30.5,-59.4,1433,68,388456432,72,False
Sep 12,,4,14,78122,-20.8,-42.3,1433,54,388534554,73,False
Sep 13,,5,17,156975,100.9,-45.1,710,221,388691529,74,False
Sep 14,,6,16,331439,111.1,-44.4,710,466,389022968,75,False
