Date,Event,DOW,Rank,Daily,YD%,LW%,Theaters,Avg,To Date,Day,Estimated
Jul 7,,5,1,50780982,,,4348,11679,50780982,1,False
Jul 8,,6,1,37045244,-27.0,,4348,8520,87826226,2,False
Jul 9,,7,1,29201277,-21.2,,4348,6716,117027503,3,False
Jul 10,,1,1,12201383,-58.2,,4348,2806,129228886,4,False
Jul 11,,2,1,15053665,23.4,,4348,3462,144282551,5,False
Jul 12,,3,1,9902669,-34.2,,4348,2277,154185220,6,False
Jul 13,,4,1,8885094,-10.3,,4348,2043,163070314,7,False
Jul 14,,5,2,13628237,53.4,-73.2,4348,3134,176698551,8,False
Jul 15,,6,2,17587320,29.1,-52.5,4348,4044,194285871,9,False
Jul 16,,7,2,12989653,-26.1,-55.5,4348,2987,207275524,10,False
Jul 17,,1,2,5455599,-58.0,-55.3,4348,1254,212731123,11,False
Jul 18,,2,1,7536245,38.1,-49.9,4348,1733,220267368,12,False
Jul 19,,3,1,4967279,-34.1,-49.8,4348,1142,225234647,13,False
Jul 20,,4,1,4466934,-10.1,-49.7,4348,1027,229701581,14,False
Jul 21,,5,4,6367940,42.6,-53.3,4130,1541,236069521,15,False
Jul 22,,6,3,8931625,40.3,-49.2,4130,2162,245001146,16,False
Jul 23,,7,3,6850520,-23.3,-47.3,4130,1658,251851666,17,False
Jul 24,,1,3,3361636,-50.9,-38.4,4130,813,255213302,18,False
Jul 25,,2,3,4130653,22.9,-45.2,4130,1000,259343955,19,False
Jul 26,,3,3,2787501,-32.5,-43.9,4130,674,262131456,20,False
Jul 27,,4,3,2775349,-0.4,-37.9,4130,671,264906805,21,False
Jul 28,,5,5,3978954,43.4,-37.5,3625,1097,268885759,22,False
Jul 29,,6,5,5475665,37.6,-38.7,3625,1510,274361424,23,False
Jul 30,,7,5,3806753,-30.5,-44.4,3625,1050,278168177,24,False
Jul 31,,1,4,1823408,-52.1,-45.8,3625,503,279991585,25,False
Aug 1,,2,5,2474800,35.7,-40.1,3625,682,282466385,26,False
Aug 2,,3,4,1860586,-24.8,-33.3,3625,513,284326971,27,False
Aug 3,,4,4,1780805,-4.3,-35.8,3625,491,286107776,28,False
Aug 4,,5,7,2591449,45.5,-34.9,3116,831,288699225,29,False
Aug 5,,6,6,3633681,40.2,-33.6,3116,1166,292332906,30,False
Aug 6,,7,6,2620848,-27.9,-31.2,3116,841,294953754,31,False
Aug 7,,1,4,1551301,-40.8,-14.9,3116,497,296505055,32,False
Aug 8,,2,5,1664147,7.3,-32.8,3116,534,298169202,33,False
Aug 9,,3,5,1120651,-32.7,-39.8,3116,359,299289853,34,False
Aug 10,,4,5,1063841,-5.1,-40.3,3116,341,300353694,35,False
Aug 11,,5,7,1726392,62.3,-33.4,2607,662,302080086,36,False
Aug 12,,6,7,2594056,50.3,-28.6,2607,995,304674142,37,False
Aug 13,,7,6,1702189,-34.4,-35.1,2607,652,306376331,38,False
Aug 14,,1,6,804762,-52.7,-48.1,2607,308,307181093,39,False
