"","Date","DOW","Rank","Daily","X...YD","X...LW","Theaters","Avg","To.Date","Day","Estimated"
"1","17-Dec",5,1,121964712,"-","-",4336,28128,"$121,964,712 ",1,FALSE
"2","18-Dec",6,1,73941279,"-39.40%","-",4336,17052,"$195,905,991 ",2,FALSE
"3","19-Dec",7,1,64232578,"-13.10%","-",4336,14813,"$260,138,569 ",3,FALSE
"4","20-Dec",1,1,37138318,"-42.20%","-",4336,8565,"$297,276,887 ",4,FALSE
"5","21-Dec",2,1,31408657,"-15.40%","-",4336,7243,"$328,685,544 ",5,FALSE
"6","22-Dec",3,1,27846311,"-11.30%","-",4336,6422,"$356,531,855 ",6,FALSE
"7","23-Dec",4,1,29333622,"5.30%","-",4336,6765,"$385,865,477 ",7,FALSE
"8","24-Dec",5,1,19655506,"-33%","-83.90%",4336,4533,"$405,520,983 ",8,FALSE
"9","25-Dec",6,1,31609749,"60.80%","-57.30%",4336,7290,"$437,130,732 ",9,FALSE
"10","26-Dec",7,1,33283250,"5.30%","-48.20%",4336,7676,"$470,413,982 ",10,FALSE
"11","27-Dec",1,1,24770593,"-25.60%","-33.30%",4336,5712,"$495,184,575 ",11,FALSE
"12","28-Dec",2,1,21346817,"-13.80%","-32%",4336,4923,"$516,531,392 ",12,FALSE
"13","29-Dec",3,1,20327774,"-4.80%","-27%",4336,4688,"$536,859,166 ",13,FALSE
"14","30-Dec",4,1,20717908,"1.90%","-29.40%",4336,4778,"$557,577,074 ",14,FALSE
"15","31-Dec",5,1,15407695,"-25.60%","-21.60%",4206,3663,"$572,984,769 ",15,FALSE
"16","1-Jan",6,1,23112936,"50%","-26.90%",4206,5495,"$596,097,705 ",16,FALSE
"17","2-Jan",7,1,17502959,"-24.30%","-47.40%",4206,4161,"$613,600,664 ",17,FALSE
"18","3-Jan",1,1,7908732,"-54.80%","-68.10%",4206,1880,"$621,509,396 ",18,FALSE
"19","4-Jan",2,1,5918802,"-25.20%","-72.30%",4206,1407,"$627,428,198 ",19,FALSE
"20","5-Jan",3,1,4383219,"-25.90%","-78.40%",4206,1042,"$631,811,417 ",20,FALSE
"21","6-Jan",4,1,3926778,"-10.40%","-81%",4206,933,"$635,738,195 ",21,FALSE
"22","7-Jan",5,1,8303811,"111.50%","-46.10%",4012,2069,"$644,042,006 ",22,FALSE
"23","8-Jan",6,1,14828927,"78.60%","-35.80%",4012,3696,"$658,870,933 ",23,FALSE
"24","9-Jan",7,1,9485183,"-36%","-45.80%",4012,2364,"$668,356,116 ",24,FALSE
"25","10-Jan",1,1,2426248,"-74.40%","-69.30%",4012,604,"$670,782,364 ",25,FALSE
"26","11-Jan",2,1,2787987,"14.90%","-52.90%",4012,694,"$673,570,351 ",26,FALSE
