Date,Event,DOW,Rank,Daily,YD%,LW%,Theaters,Avg,To Date,Day,Estimated
Dec 17,,5,1,121964712,,,4336,28128,121964712,1,False
Dec 18,,6,1,73941279,-39.4,,4336,17052,195905991,2,False
Dec 19,,7,1,64232578,-13.1,,4336,14813,260138569,3,False
Dec 20,,1,1,37138318,-42.2,,4336,8565,297276887,4,False
Dec 21,,2,1,31408657,-15.4,,4336,7243,328685544,5,False
Dec 22,,3,1,27846311,-11.3,,4336,6422,356531855,6,False
Dec 23,,4,1,29333622,5.3,,4336,6765,385865477,7,False
Dec 24,,5,1,19655506,-33.0,-83.9,4336,4533,405520983,8,False
Dec 25,Christmas Day,6,1,31609749,60.8,-57.3,4336,7290,437130732,9,False
Dec 26,,7,1,33283250,5.3,-48.2,4336,7676,470413982,10,False
Dec 27,,1,1,24770593,-25.6,-33.3,4336,5712,495184575,11,False
Dec 28,,2,1,21346817,-13.8,-32.0,4336,4923,516531392,12,False
Dec 29,,3,1,20327774,-4.8,-27.0,4336,4688,536859166,13,False
Dec 30,,4,1,20717908,1.9,-29.4,4336,4778,557577074,14,False
Dec 31,New Year's Eve,5,1,15407695,-25.6,-21.6,4206,3663,572984769,15,False
Jan 1,New Year's Day,6,1,23112936,50.0,-26.9,4206,5495,596097705,16,False
Jan 2,,7,1,17502959,-24.3,-47.4,4206,4161,613600664,17,False
Jan 3,,1,1,7908732,-54.8,-68.1,4206,1880,621509396,18,False
Jan 4,,2,1,5918802,-25.2,-72.3,4206,1407,627428198,19,False
Jan 5,,3,1,4383219,-25.9,-78.4,4206,1042,631811417,20,False
Jan 6,,4,1,3926778,-10.4,-81.0,4206,933,635738195,21,False
Jan 7,,5,1,8303811,111.5,-46.1,4012,2069,644042006,22,False
Jan 8,,6,1,14828927,78.6,-35.8,4012,3696,658870933,23,False
Jan 9,,7,1,9485183,-36.0,-45.8,4012,2364,668356116,24,False
Jan 10,,1,1,2426248,-74.4,-69.3,4012,604,670782364,25,False
Jan 11,,2,1,2787987,14.9,-52.9,4012,694,673570351,26,False
Jan 12,,3,1,2242906,-19.6,-48.8,4012,559,675813257,27,False
Jan 13,,4,1,2110817,-5.9,-46.2,4012,526,677924074,28,False
Jan 14,,5,2,5179723,145.4,-37.6,3925,1319,683103797,29,False
Jan 15,,6,2,8689649,67.8,-41.4,3925,2213,691793446,30,False
Jan 16,,7,2,6224873,-28.4,-34.4,3925,1585,698018319,31,False
Jan 17,MLK Day,1,1,4555918,-26.8,87.8,3925,1160,702574237,32,False
Jan 18,,2,2,1647714,-63.8,-40.9,3925,419,704221951,33,False
Jan 19,,3,2,1331545,-19.2,-40.6,3925,339,705553496,34,False
Jan 20,,4,2,1332492,0.1,-36.9,3925,339,706885988,35,False
Jan 21,,5,2,3492340,162.1,-32.6,3705,942,710378328,36,False
Jan 22,,6,1,6518119,86.6,-25.0,3705,1759,716896447,37,False
Jan 23,,7,1,3995155,-38.7,-35.8,3705,1078,720891602,38,False
Jan 24,,1,1,973653,-75.6,-78.6,3705,262,721865255,39,False
Jan 25,,2,1,1121804,15.2,-31.9,3705,302,722987059,40,False
Jan 26,,3,1,938951,-16.3,-29.5,3705,253,723926010,41,False
Jan 27,,4,1,960270,2.3,-27.9,3705,259,724886280,42,False
Jan 28,,5,1,2750994,186.5,-21.2,3675,748,727637274,43,False
Jan 29,,6,1,5397060,96.2,-17.2,3675,1468,733034334,44,False
Jan 30,,7,1,2855474,-47.1,-28.5,3675,776,735889808,45,False
Jan 31,,1,1,910449,-68.1,-6.5,3675,247,736800257,46,False
Feb 1,,2,1,1044982,14.8,-6.8,3675,284,737845239,47,False
Feb 2,,3,1,795807,-23.8,-15.2,3675,216,738641046,48,False
Feb 3,,4,1,710561,-10.7,-26.0,3675,193,739351607,49,False
Feb 4,,5,3,2048482,188.3,-25.5,3600,569,741400089,50,False
Feb 5,,6,2,4640960,126.6,-14.0,3600,1289,746041049,51,False
Feb 6,,7,2,2817883,-39.3,-1.3,3600,782,748858932,52,False
Feb 7,,1,2,722957,-74.3,-20.6,3600,200,749581889,53,False
Feb 8,,2,3,847136,17.2,-18.9,3600,235,750429025,54,False
Feb 9,,3,2,696548,-17.8,-12.5,3600,193,751125573,55,False
Feb 10,,4,2,725244,4.1,2.1,3600,201,751850817,56,False
Feb 11,,5,4,1918117,164.5,-6.4,3300,581,753768934,57,False
Feb 12,,6,3,3928608,104.8,-15.3,3300,1190,757697542,58,False
Feb 13,,7,2,1675005,-57.4,-40.6,3300,507,759372547,59,False
Feb 14,,1,4,1616139,-3.5,123.5,3300,489,760988686,60,False
Feb 15,,2,4,755915,-53.2,-10.8,3300,229,761744601,61,False
Feb 16,,3,3,620281,-17.9,-10.9,3300,187,762364882,62,False
Feb 17,,4,3,575804,-7.2,-20.6,3300,174,762940686,63,False
Feb 18,,5,4,1739586,202.1,-9.3,2956,588,764680272,64,False
Feb 19,,6,3,3168597,82.1,-19.3,2956,1071,767848869,65,False
Feb 20,,7,3,2550774,-19.5,52.3,2956,862,770399643,66,False
Feb 21,Presidents' Day,1,3,1770762,-30.6,9.6,2956,599,772170405,67,False
Feb 22,,2,3,800624,-54.8,5.9,2956,270,772971029,68,False
Feb 23,,3,3,580425,-27.5,-6.4,2956,196,773551454,69,False
Feb 24,,4,3,585493,0.9,1.7,2956,198,774136947,70,False
Feb 25,,5,3,1308511,123.5,-24.8,3002,435,775445458,71,False
Feb 26,,6,3,2780579,112.5,-12.2,3002,926,778226037,72,False
Feb 27,,7,3,1712494,-38.4,-32.9,3002,570,779938531,73,False
Feb 28,,1,3,480328,-72.0,-72.9,3002,160,780418859,74,False
Mar 1,,2,3,688856,43.4,-14.0,3002,229,781107715,75,False
Mar 2,,3,3,516190,-25.1,-11.1,3002,171,781623905,76,False
Mar 3,,4,3,464318,-10.0,-20.7,3002,154,782088223,77,False
Mar 4,,5,4,1074371,131.4,-17.9,2709,396,783162594,78,False
Mar 5,,6,4,2064870,92.2,-25.7,2709,762,785227464,79,False
Mar 6,,7,4,1380382,-33.1,-19.4,2709,509,786607846,80,False
Mar 7,,1,4,381075,-72.4,-20.7,2709,140,786988921,81,False
Mar 8,,2,4,444353,16.6,-35.5,2709,164,787433274,82,False
Mar 9,,3,4,377264,-15.1,-26.9,2709,139,787810538,83,False
Mar 10,,4,4,400416,6.1,-13.8,2709,147,788210954,84,False
Mar 11,,5,5,974427,143.4,-9.3,2702,360,789185381,85,False
Mar 12,,6,5,1865274,91.4,-9.7,2702,690,791050655,86,False
Mar 13,,7,4,1210346,-35.1,-12.3,2702,447,792261001,87,False
Mar 14,,1,4,496163,-59.0,30.2,2702,183,792757164,88,False
Mar 15,,2,4,614855,23.9,38.4,2702,227,793372019,89,False
Mar 16,,3,4,505592,-17.8,34.0,2702,187,793877611,90,False
Mar 17,,4,4,465942,-7.8,16.4,2702,172,794343553,91,False
Mar 18,,5,6,885424,90.0,-9.1,2585,342,795228977,92,False
Mar 19,,6,6,1450489,63.8,-22.2,2585,561,796679466,93,False
Mar 20,,7,6,805522,-44.5,-33.4,2585,311,797484988,94,False
Mar 21,,1,7,246513,-69.4,-50.3,2585,95,797731501,95,False
Mar 22,,2,6,325297,32.0,-47.1,2585,125,798056798,96,False
Mar 23,,3,6,275632,-15.3,-45.5,2585,106,798332430,97,False
Mar 24,,4,6,255709,-7.2,-45.1,2585,98,798588139,98,False
Mar 25,,5,8,510695,99.7,-42.3,2003,254,799098834,99,False
Mar 26,,6,7,930902,82.3,-35.8,2003,464,800029736,100,False
Mar 27,,7,7,559828,-39.9,-30.5,2003,279,800589564,101,False
Mar 28,,1,8,174630,-68.8,-29.2,2003,87,800764194,102,False
Mar 29,,2,7,206114,18.0,-36.6,2003,102,800970308,103,False
Mar 30,,3,7,167042,-19.0,-39.4,2003,83,801137350,104,False
Mar 31,,4,7,166817,-0.1,-34.8,2003,83,801304167,105,False
Apr 1,,5,7,385985,131.4,-24.4,1705,226,801690152,106,False
Apr 2,,6,7,675259,74.9,-27.5,1705,396,802365411,107,False
Apr 3,,7,7,380761,-43.6,-32.0,1705,223,802746172,108,False
Apr 4,,1,9,98951,-74.0,-43.3,1705,58,802845123,109,False
Apr 5,,2,9,138152,39.6,-33.0,1705,81,802983275,110,False
Apr 6,,3,9,112657,-18.5,-32.6,1705,66,803095932,111,False
Apr 7,,4,10,94916,-15.7,-43.1,1705,55,803190848,112,False
Apr 8,,5,9,169486,78.6,-56.1,1009,167,803360334,113,False
Apr 9,,6,9,294328,73.7,-56.4,1009,291,803654662,114,False
Apr 10,,7,9,162513,-44.8,-57.3,1009,161,803817175,115,False
Apr 11,,1,10,52259,-67.8,-47.2,1009,51,803869434,116,False
Apr 12,,2,10,57822,10.6,-58.1,1009,57,803927256,117,False
Apr 13,,3,10,48528,-16.1,-56.9,1009,48,803975784,118,False
Apr 14,,4,11,44268,-8.8,-53.4,1009,43,804020052,119,False
Apr 15,,5,12,80599,82.1,-52.4,387,208,804100651,120,False
Apr 16,,6,12,80467,-0.2,-72.7,387,207,804181118,121,False
Apr 17,Easter Sunday,7,12,44610,-44.6,-72.5,387,115,804225728,122,False
Apr 18,,1,11,30074,-32.6,-42.5,387,77,804255802,123,False
Apr 19,,2,12,19514,-35.1,-66.3,387,50,804275316,124,False
Apr 20,,3,11,19783,1.4,-59.2,387,51,804295099,125,False
Apr 21,,4,11,15389,-22.2,-65.2,387,39,804310488,126,False
Apr 22,,5,16,27481,78.6,-65.9,158,173,804337969,127,False
Apr 23,,6,16,38542,40.2,-52.1,158,243,804376511,128,False
Apr 24,,7,16,19704,-48.9,-55.8,158,124,804396215,129,False
Apr 25,,1,17,4207,-78.6,-86.0,158,26,804400422,130,False
Apr 26,,2,16,5497,30.7,-71.8,158,34,804405919,131,False
Apr 27,,3,18,5072,-7.7,-74.4,158,32,804410991,132,False
Apr 28,,4,16,5718,12.7,-62.8,158,36,804416709,133,False
Apr 29,,5,17,40075,600.9,45.8,528,75,804456784,134,False
Apr 30,,6,15,75823,89.2,96.7,528,143,804532607,135,False
May 1,,7,15,38119,-49.7,93.5,528,72,804570726,136,False
May 2,,1,17,12566,-67.0,198.7,528,23,804583292,137,False
May 3,,2,16,16387,30.4,198.1,528,31,804599679,138,False
May 4,,3,17,14273,-12.9,181.4,528,27,804613952,139,False
May 5,,4,18,3820,-73.2,-33.2,528,7,804617772,140,False
May 6,,5,17,13333,249.0,-66.7,132,101,804631105,141,False
May 7,,6,16,22204,66.5,-70.7,132,168,804653309,142,False
May 8,,7,20,7311,-67.1,-80.8,132,55,804660620,143,False
May 9,,1,22,1794,-75.5,-85.7,132,13,804662414,144,False
May 10,,2,21,1805,0.6,-89.0,132,13,804664219,145,False
May 11,,3,20,1879,4.1,-86.8,132,14,804666098,146,False
May 12,,4,18,1732,-7.8,-54.7,132,13,804667830,147,False
May 13,,5,18,14789,753.9,10.9,132,112,804682619,148,False
May 14,,6,18,19283,30.4,-13.2,132,146,804701902,149,False
May 15,,7,21,3690,-80.9,-49.5,132,27,804705592,150,False
May 16,,1,20,1752,-52.5,-2.3,132,13,804707344,151,False
May 17,,2,27,1049,-40.1,-41.9,132,7,804708393,152,False
May 18,,3,26,701,-33.2,-62.7,132,5,804709094,153,False
May 19,,4,26,883,26.0,-49.0,132,6,804709977,154,False
May 20,,5,20,10887,1133.0,-26.4,132,82,804720864,155,False
May 21,,6,21,14795,35.9,-23.3,132,112,804735659,156,False
May 22,,7,23,6409,-56.7,73.7,132,48,804742068,157,False
May 23,,1,22,1823,-71.6,4.1,132,13,804743891,158,False
May 24,,2,26,684,-62.5,-34.8,132,5,804744575,159,False
May 25,,3,26,1357,98.4,93.6,132,10,804745932,160,False
May 26,,4,23,2056,51.5,132.8,132,15,804747988,161,False
May 27,,5,26,2171,5.6,-80.1,42,51,804750159,162,False
May 28,,6,26,4159,91.6,-71.9,42,99,804754318,163,False
May 29,,7,25,3105,-25.3,-51.6,42,73,804757423,164,False
May 30,Memorial Day,1,26,1481,-52.3,-18.8,42,35,804758904,165,False
May 31,,2,25,825,-44.3,20.6,42,19,804759729,166,False
