"","Date","DOW","Rank","Daily","X...YD","X...LW","Theaters","Avg","To.Date","Day","Estimated"
"1","13-Jun",5,1,21468125,"-","-",3505,6125,21468125,1,FALSE
"2","14-Jun",6,1,18383725,"-14.40%","-",3505,5245,39851850,2,FALSE
"3","15-Jun",7,1,15562200,"-15.30%","-",3505,4440,55414050,3,FALSE
"4","16-Jun",1,1,6010405,"-61.40%","-",3505,1714,61424455,4,FALSE
"5","17-Jun",2,1,4801850,"-20.10%","-",3505,1370,66226305,5,FALSE
"6","18-Jun",3,1,4503925,"-6.20%","-",3505,1285,70730230,6,FALSE
"7","19-Jun",4,1,4189140,"-7%","-",3505,1195,74919370,7,FALSE
"8","20-Jun",5,2,6665335,"59.10%","-69%",3508,1900,81584705,8,FALSE
"9","21-Jun",6,2,8559520,"28.40%","-53.40%",3508,2440,90144225,9,FALSE
"10","22-Jun",7,3,6911205,"-19.30%","-55.60%",3508,1970,97055430,10,FALSE
"11","23-Jun",1,3,2649125,"-61.70%","-55.90%",3508,755,99704555,11,FALSE
"12","24-Jun",2,3,2333405,"-11.90%","-51.40%",3508,665,102037960,12,FALSE
"13","25-Jun",3,3,2122340,"-9%","-52.90%",3508,605,104160300,13,FALSE
"14","26-Jun",4,3,2121665,"<0.1%","-49.40%",3508,604,106281965,14,FALSE
"15","27-Jun",5,5,2930375,"38.10%","-56%",3349,875,109212340,15,FALSE
"16","28-Jun",6,5,3749985,"28%","-56.20%",3349,1119,112962325,16,FALSE
"17","29-Jun",7,5,2896885,"-22.70%","-58.10%",3349,865,115859210,17,FALSE
"18","30-Jun",1,5,1323125,"-54.30%","-50.10%",3349,395,117182335,18,FALSE
"19","1-Jul",2,6,1039225,"-21.50%","-55.50%",3349,310,118221560,19,FALSE
"20","2-Jul",3,7,723505,"-30.40%","-65.90%",2890,250,118945065,20,FALSE
"21","3-Jul",4,6,997050,"37.80%","-53%",2890,345,119942115,21,FALSE
"22","4-Jul",5,6,1262845,"26.70%","-56.90%",3043,415,121204960,22,FALSE
"23","5-Jul",6,6,2114885,"67.50%","-43.60%",3043,695,123319845,23,FALSE
"24","6-Jul",7,6,1521550,"-28.10%","-47.50%",3043,500,124841395,24,FALSE
"25","7-Jul",1,6,700225,"-54%","-47.10%",3043,230,125541620,25,FALSE
"26","8-Jul",2,7,701005,"0.10%","-32.50%",3043,230,126242625,26,FALSE
"27","9-Jul",3,7,699435,"-0.20%","-3.30%",3043,229,126942060,27,FALSE
"28","10-Jul",4,7,639030,"-8.60%","-35.90%",3043,210,127581090,28,FALSE
"29","11-Jul",5,10,690475,"8.10%","-45.30%",1945,355,128271565,29,FALSE
"30","12-Jul",6,10,943395,"36.60%","-55.40%",1945,485,129214960,30,FALSE
"31","13-Jul",7,9,690475,"-26.80%","-54.60%",1945,355,129905435,31,FALSE
"32","14-Jul",1,10,330650,"-52.10%","-52.80%",1945,170,130236085,32,FALSE
"33","15-Jul",2,10,319995,"-3.20%","-54.40%",1945,164,130556080,33,FALSE
"34","16-Jul",3,10,312125,"-2.50%","-55.40%",1945,160,130868205,34,FALSE
"35","17-Jul",4,11,272445,"-12.70%","-57.40%",1945,140,131140650,35,FALSE
"36","18-Jul",5,15,196785,"-27.80%","-71.50%",656,299,131337435,36,FALSE
"37","19-Jul",6,15,249280,"26.70%","-73.60%",656,380,131586715,37,FALSE
"38","20-Jul",7,15,180450,"-27.60%","-73.90%",656,275,131767165,38,FALSE
"39","21-Jul",1,15,88560,"-50.90%","-73.20%",656,135,131855725,39,FALSE
"40","22-Jul",2,15,85280,"-3.70%","-73.30%",656,130,131941005,40,FALSE
"41","23-Jul",3,15,85335,"<0.1%","-72.70%",656,130,132026340,41,FALSE
"42","24-Jul",4,15,91840,"7.60%","-66.30%",656,140,132118180,42,FALSE
"43","25-Jul",5,17,128960,"40.40%","-34.50%",403,320,132247140,43,FALSE
"44","26-Jul",6,16,167245,"29.70%","-32.90%",403,415,132414385,44,FALSE
"45","27-Jul",7,16,126945,"-24.10%","-29.70%",403,315,132541330,45,FALSE
"46","28-Jul",1,16,64480,"-49.20%","-27.20%",403,160,132605810,46,FALSE
"47","29-Jul",2,16,68605,"6.40%","-19.60%",403,170,132674415,47,FALSE
"48","30-Jul",3,16,68450,"-0.20%","-19.80%",403,169,132742865,48,FALSE
"49","31-Jul",4,16,62465,"-8.70%","-32%",403,155,132805330,49,FALSE
"50","1-Aug",5,17,159280,"155%","23.50%",362,440,132964610,50,FALSE
"51","2-Aug",6,17,190050,"19.30%","13.60%",362,525,133154660,51,FALSE
"52","3-Aug",7,17,128510,"-32.40%","1.20%",362,355,133283170,52,FALSE
"53","4-Aug",1,18,72395,"-43.70%","12.30%",362,199,133355565,53,FALSE
"54","5-Aug",2,18,72445,"<0.1%","5.60%",362,200,133428010,54,FALSE
"55","6-Aug",3,20,52965,"-26.90%","-22.60%",321,165,133480975,55,FALSE
"56","7-Aug",4,20,54570,"3%","-12.60%",321,170,133535545,56,FALSE
"57","8-Aug",5,20,86320,"58.20%","-45.80%",332,260,133621865,57,FALSE
"58","9-Aug",6,20,136115,"57.70%","-28.40%",332,409,133757980,58,FALSE
"59","10-Aug",7,20,86355,"-36.60%","-32.80%",332,260,133844335,59,FALSE
"60","11-Aug",1,21,41500,"-51.90%","-42.70%",332,125,133885835,60,FALSE
"61","12-Aug",2,21,46595,"12.30%","-35.70%",332,140,133932430,61,FALSE
"62","13-Aug",3,22,38495,"-17.40%","-27.30%",308,124,133970925,62,FALSE
"63","14-Aug",4,22,38445,"-0.10%","-29.50%",308,124,134009370,63,FALSE
"64","15-Aug",5,30,51300,"33.40%","-40.60%",228,225,134060670,64,FALSE
"65","16-Aug",6,29,76380,"48.90%","-43.90%",228,335,134137050,65,FALSE
"66","17-Aug",7,28,52440,"-31.30%","-39.30%",228,230,134189490,66,FALSE
"67","18-Aug",1,26,21660,"-58.70%","-47.80%",228,95,134211150,67,FALSE
"68","19-Aug",2,29,25080,"15.80%","-46.20%",228,110,134236230,68,FALSE
"69","20-Aug",3,27,23895,"-4.70%","-37.90%",228,104,134260125,69,FALSE
"70","21-Aug",4,29,23940,"0.20%","-37.70%",228,105,134284065,70,FALSE
"71","22-Aug",5,35,29445,"23%","-42.60%",151,195,134313510,71,FALSE
"72","23-Aug",6,35,46055,"56.40%","-39.70%",151,305,134359565,72,FALSE
"73","24-Aug",7,34,27935,"-39.30%","-46.70%",151,185,134387500,73,FALSE
"74","25-Aug",1,34,10570,"-62.20%","-51.20%",151,70,134398070,74,FALSE
"75","26-Aug",2,34,9815,"-7.10%","-60.90%",151,65,134407885,75,FALSE
"76","27-Aug",3,35,9230,"-6%","-61.40%",142,65,134417115,76,FALSE
"77","28-Aug",4,34,9815,"6.30%","-59%",142,69,134426930,77,FALSE
"78","29-Aug",5,37,15485,"57.80%","-47.40%",100,154,134442415,78,FALSE
"79","30-Aug",6,35,27510,"77.70%","-40.30%",100,275,134469925,79,FALSE
"80","31-Aug",7,36,30500,"10.90%","9.20%",100,305,134500425,80,FALSE
"81","1-Sep",1,39,17965,"-41.10%","70%",100,179,134518390,81,FALSE
"82","2-Sep",2,35,4995,"-72.20%","-49.10%",100,49,134523385,82,FALSE
"83","3-Sep",3,34,5495,"10%","-40.50%",100,54,134528880,83,FALSE
"84","4-Sep",4,34,5005,"-8.90%","-49%",100,50,134533885,84,FALSE
