Date,Event,DOW,Rank,Daily,YD%,LW%,Theaters,Avg,To Date,Day,Estimated
Jun 13,,5,1,21468125,,,3505,6125,21468125,1,False
Jun 14,,6,1,18383725,-14.4,,3505,5245,39851850,2,False
Jun 15,,7,1,15562200,-15.3,,3505,4440,55414050,3,False
Jun 16,,1,1,6010405,-61.4,,3505,1714,61424455,4,False
Jun 17,,2,1,4801850,-20.1,,3505,1370,66226305,5,False
Jun 18,,3,1,4503925,-6.2,,3505,1285,70730230,6,False
Jun 19,,4,1,4189140,-7.0,,3505,1195,74919370,7,False
Jun 20,,5,2,6665335,59.1,-69.0,3508,1900,81584705,8,False
Jun 21,,6,2,8559520,28.4,-53.4,3508,2440,90144225,9,False
Jun 22,,7,3,6911205,-19.3,-55.6,3508,1970,97055430,10,False
Jun 23,,1,3,2649125,-61.7,-55.9,3508,755,99704555,11,False
Jun 24,,2,3,2333405,-11.9,-51.4,3508,665,102037960,12,False
Jun 25,,3,3,2122340,-9.0,-52.9,3508,605,104160300,13,False
Jun 26,,4,3,2121665,0.1,-49.4,3508,604,106281965,14,False
Jun 27,,5,5,2930375,38.1,-56.0,3349,875,109212340,15,False
Jun 28,,6,5,3749985,28.0,-56.2,3349,1119,112962325,16,False
Jun 29,,7,5,2896885,-22.7,-58.1,3349,865,115859210,17,False
Jun 30,,1,5,1323125,-54.3,-50.1,3349,395,117182335,18,False
Jul 1,,2,6,1039225,-21.5,-55.5,3349,310,118221560,19,False
Jul 2,,3,7,723505,-30.4,-65.9,2890,250,118945065,20,False
Jul 3,,4,6,997050,37.8,-53.0,2890,345,119942115,21,False
Jul 4,Independence Day,5,6,1262845,26.7,-56.9,3043,415,121204960,22,False
Jul 5,,6,6,2114885,67.5,-43.6,3043,695,123319845,23,False
Jul 6,,7,6,1521550,-28.1,-47.5,3043,500,124841395,24,False
Jul 7,,1,6,700225,-54.0,-47.1,3043,230,125541620,25,False
Jul 8,,2,7,701005,0.1,-32.5,3043,230,126242625,26,False
Jul 9,,3,7,699435,-0.2,-3.3,3043,229,126942060,27,False
Jul 10,,4,7,639030,-8.6,-35.9,3043,210,127581090,28,False
Jul 11,,5,10,690475,8.1,-45.3,1945,355,128271565,29,False
