"","Date","DOW","Rank","Daily","X...YD","X...LW","Theaters","Avg","To.Date","Day","Estimated"
"1","8-Jul",5,1,69554073,"-","-",4375,15898,69554073,1,FALSE
"2","9-Jul",6,1,42112494,"-39.50%","-",4375,9625,111666567,2,FALSE
"3","10-Jul",7,1,32498540,"-22.80%","-",4375,7428,144165107,3,FALSE
"4","11-Jul",1,1,12182506,"-62.50%","-",4375,2784,156347613,4,FALSE
"5","12-Jul",2,1,13655428,"12.10%","-",4375,3121,170003041,5,FALSE
"6","13-Jul",3,1,8929256,"-34.60%","-",4375,2040,178932297,6,FALSE
"7","14-Jul",4,1,8338839,"-6.60%","-",4375,1906,187271136,7,FALSE
"8","15-Jul",5,1,13775873,"65.20%","-80.20%",4375,3148,201047009,8,FALSE
"9","16-Jul",6,1,18501978,"34.30%","-56.10%",4375,4229,219548987,9,FALSE
"10","17-Jul",7,1,14354321,"-22.40%","-55.80%",4375,3280,233903308,10,FALSE
"11","18-Jul",1,1,5337661,"-62.80%","-56.20%",4375,1220,239240969,11,FALSE
"12","19-Jul",2,1,6440182,"20.70%","-52.80%",4375,1472,245681151,12,FALSE
"13","20-Jul",3,1,4536230,"-29.60%","-49.20%",4375,1036,250217381,13,FALSE
"14","21-Jul",4,1,3903317,"-14%","-53.20%",4375,892,254120698,14,FALSE
"15","22-Jul",5,2,6346368,"62.60%","-53.90%",4370,1452,260467066,15,FALSE
"16","23-Jul",6,2,8957743,"41.10%","-51.60%",4370,2049,269424809,16,FALSE
"17","24-Jul",7,2,7255167,"-19%","-49.50%",4370,1660,276679976,17,FALSE
"18","25-Jul",1,2,2985165,"-58.90%","-44.10%",4370,683,279665141,18,FALSE
"19","26-Jul",2,2,3642056,"22%","-43.40%",4370,833,283307197,19,FALSE
"20","27-Jul",3,2,2629778,"-27.80%","-42%",4370,601,285936975,20,FALSE
"21","28-Jul",4,2,2510294,"-4.50%","-35.70%",4370,574,288447269,21,FALSE
"22","29-Jul",5,3,3825926,"52.40%","-39.70%",3650,1048,292273195,22,FALSE
"23","30-Jul",6,3,5220988,"36.50%","-41.70%",3650,1430,297494183,23,FALSE
"24","31-Jul",7,3,4129617,"-20.90%","-43.10%",3650,1131,301623800,24,FALSE
"25","1-Aug",1,3,1855722,"-55.10%","-37.80%",3650,508,303479522,25,FALSE
"26","2-Aug",2,4,2016815,"8.70%","-44.60%",3650,552,305496337,26,FALSE
"27","3-Aug",3,4,1540247,"-23.60%","-41.40%",3650,421,307036584,27,FALSE
"28","4-Aug",4,4,1427467,"-7.30%","-43.10%",3650,391,308464051,28,FALSE
"29","5-Aug",5,4,2174950,"52.40%","-43.20%",3400,639,310639001,29,FALSE
"30","6-Aug",6,4,3146518,"44.70%","-39.70%",3400,925,313785519,30,FALSE
"31","7-Aug",7,4,2384553,"-24.20%","-42.30%",3400,701,316170072,31,FALSE
"32","8-Aug",1,6,1001197,"-58%","-46%",3400,294,317171269,32,FALSE
"33","9-Aug",2,6,1203009,"20.20%","-40.40%",3400,353,318374278,33,FALSE
"34","10-Aug",3,6,870059,"-27.70%","-43.50%",3400,255,319244337,34,FALSE
"35","11-Aug",4,5,839874,"-3.50%","-41.20%",3400,247,320084211,35,FALSE
"36","12-Aug",5,5,1476310,"75.80%","-32.10%",3175,464,321560521,36,FALSE
"37","13-Aug",6,4,2272011,"53.90%","-27.80%",3175,715,323832532,37,FALSE
"38","14-Aug",7,4,1629630,"-28.30%","-31.70%",3175,513,325462162,38,FALSE
"39","15-Aug",1,5,630078,"-61.30%","-37.10%",3175,198,326092240,39,FALSE
"40","16-Aug",2,5,788615,"25.20%","-34.40%",3175,248,326880855,40,FALSE
"41","17-Aug",3,6,619977,"-21.40%","-28.70%",3175,195,327500832,41,FALSE
"42","18-Aug",4,4,580792,"-6.30%","-30.80%",3175,182,328081624,42,FALSE
"43","19-Aug",5,6,1072941,"84.70%","-27.30%",2755,389,329154565,43,FALSE
"44","20-Aug",6,6,1769188,"64.90%","-22.10%",2755,642,330923753,44,FALSE
"45","21-Aug",7,6,1223120,"-30.90%","-24.90%",2755,443,332146873,45,FALSE
"46","22-Aug",1,7,464559,"-62%","-26.30%",2755,168,332611432,46,FALSE
"47","23-Aug",2,8,525907,"13.20%","-33.30%",2755,190,333137339,47,FALSE
"48","24-Aug",3,8,375776,"-28.50%","-39.40%",2755,136,333513115,48,FALSE
"49","25-Aug",4,7,357043,"-5%","-38.50%",2755,129,333870158,49,FALSE
"50","26-Aug",5,8,710473,"99%","-33.80%",2450,289,334580631,50,FALSE
"51","27-Aug",6,8,1184954,"66.80%","-33%",2450,483,335765585,51,FALSE
"52","28-Aug",7,8,749387,"-36.80%","-38.70%",2450,305,336514972,52,FALSE
"53","29-Aug",1,9,237389,"-68.30%","-48.90%",2450,96,336752361,53,FALSE
"54","30-Aug",2,10,325631,"37.20%","-38.10%",2450,132,337077992,54,FALSE
"55","31-Aug",3,9,231181,"-29%","-38.50%",2450,94,337309173,55,FALSE
"56","1-Sep",4,9,207123,"-10.40%","-42%",2450,84,337516296,56,FALSE
"57","2-Sep",5,11,447200,"115.90%","-37.10%",2090,213,337963496,57,FALSE
"58","3-Sep",6,8,1292425,"189%","9.10%",2090,618,339255921,58,FALSE
"59","4-Sep",7,8,934163,"-27.70%","24.70%",2090,446,340190084,59,FALSE
"60","5-Sep",1,10,701273,"-24.90%","195.40%",2090,335,340891357,60,FALSE
"61","6-Sep",2,13,161012,"-77%","-50.60%",2090,77,341052369,61,FALSE
"62","7-Sep",3,13,118121,"-26.60%","-48.90%",2090,56,341170490,62,FALSE
"63","8-Sep",4,14,100301,"-15.10%","-51.60%",2090,47,341270791,63,FALSE
"64","9-Sep",5,13,262837,"162%","-41.20%",1850,142,341533628,64,FALSE
"65","10-Sep",6,12,484043,"84.20%","-62.50%",1850,261,342017671,65,FALSE
"66","11-Sep",7,13,269981,"-44.20%","-71.10%",1850,145,342287652,66,FALSE
"67","12-Sep",1,15,73381,"-72.80%","-89.50%",1850,39,342361033,67,FALSE
"68","13-Sep",2,14,89229,"21.60%","-44.60%",1850,48,342450262,68,FALSE
"69","14-Sep",3,16,63570,"-28.80%","-46.20%",1850,34,342513832,69,FALSE
"70","15-Sep",4,13,57773,"-9.10%","-42.40%",1850,31,342571605,70,FALSE
"71","16-Sep",5,21,94833,"64.10%","-63.90%",820,115,342666438,71,FALSE
"72","17-Sep",6,18,178152,"87.90%","-63.20%",820,217,342844590,72,FALSE
"73","18-Sep",7,19,102835,"-42.30%","-61.90%",820,125,342947425,73,FALSE
"74","19-Sep",1,23,26499,"-74.20%","-63.90%",820,32,342973924,74,FALSE
"75","20-Sep",2,25,28690,"8.30%","-67.80%",820,34,343002614,75,FALSE
"76","21-Sep",3,24,24399,"-15%","-61.60%",820,29,343027013,76,FALSE
"77","22-Sep",4,21,25796,"5.70%","-55.30%",820,31,343052809,77,FALSE
"78","23-Sep",5,24,27083,"5%","-71.40%",230,117,343079892,78,FALSE
