Date,Event,DOW,Rank,Daily,YD%,LW%,Theaters,Avg,To Date,Day,Estimated
Jul 8,,5,1,69554073,,,4375,15898,69554073,1,False
Jul 9,,6,1,42112494,-39.5,,4375,9625,111666567,2,False
Jul 10,,7,1,32498540,-22.8,,4375,7428,144165107,3,False
Jul 11,,1,1,12182506,-62.5,,4375,2784,156347613,4,False
Jul 12,,2,1,13655428,12.1,,4375,3121,170003041,5,False
Jul 13,,3,1,8929256,-34.6,,4375,2040,178932297,6,False
Jul 14,,4,1,8338839,-6.6,,4375,1906,187271136,7,False
Jul 15,,5,1,13775873,65.2,-80.2,4375,3148,201047009,8,False
Jul 16,,6,1,18501978,34.3,-56.1,4375,4229,219548987,9,False
Jul 17,,7,1,14354321,-22.4,-55.8,4375,3280,233903308,10,False
Jul 18,,1,1,5337661,-62.8,-56.2,4375,1220,239240969,11,False
Jul 19,,2,1,6440182,20.7,-52.8,4375,1472,245681151,12,False
Jul 20,,3,1,4536230,-29.6,-49.2,4375,1036,250217381,13,False
Jul 21,,4,1,3903317,-14.0,-53.2,4375,892,254120698,14,False
Jul 22,,5,2,6346368,62.6,-53.9,4370,1452,260467066,15,False
Jul 23,,6,2,8957743,41.1,-51.6,4370,2049,269424809,16,False
Jul 24,,7,2,7255167,-19.0,-49.5,4370,1660,276679976,17,False
Jul 25,,1,2,2985165,-58.9,-44.1,4370,683,279665141,18,False
Jul 26,,2,2,3642056,22.0,-43.4,4370,833,283307197,19,False
Jul 27,,3,2,2629778,-27.8,-42.0,4370,601,285936975,20,False
Jul 28,,4,2,2510294,-4.5,-35.7,4370,574,288447269,21,False
Jul 29,,5,3,3825926,52.4,-39.7,3650,1048,292273195,22,False
Jul 30,,6,3,5220988,36.5,-41.7,3650,1430,297494183,23,False
Jul 31,,7,3,4129617,-20.9,-43.1,3650,1131,301623800,24,False
Aug 1,,1,3,1855722,-55.1,-37.8,3650,508,303479522,25,False
Aug 2,,2,4,2016815,8.7,-44.6,3650,552,305496337,26,False
Aug 3,,3,4,1540247,-23.6,-41.4,3650,421,307036584,27,False
Aug 4,,4,4,1427467,-7.3,-43.1,3650,391,308464051,28,False
Aug 5,,5,4,2174950,52.4,-43.2,3400,639,310639001,29,False
Aug 6,,6,4,3146518,44.7,-39.7,3400,925,313785519,30,False
Aug 7,,7,4,2384553,-24.2,-42.3,3400,701,316170072,31,False
Aug 8,,1,6,1001197,-58.0,-46.0,3400,294,317171269,32,False
Aug 9,,2,6,1203009,20.2,-40.4,3400,353,318374278,33,False
Aug 10,,3,6,870059,-27.7,-43.5,3400,255,319244337,34,False
Aug 11,,4,5,839874,-3.5,-41.2,3400,247,320084211,35,False
Aug 12,,5,5,1476310,75.8,-32.1,3175,464,321560521,36,False
Aug 13,,6,4,2272011,53.9,-27.8,3175,715,323832532,37,False
Aug 14,,7,4,1629630,-28.3,-31.7,3175,513,325462162,38,False
Aug 15,,1,5,630078,-61.3,-37.1,3175,198,326092240,39,False
Aug 16,,2,5,788615,25.2,-34.4,3175,248,326880855,40,False
Aug 17,,3,6,619977,-21.4,-28.7,3175,195,327500832,41,False
Aug 18,,4,4,580792,-6.3,-30.8,3175,182,328081624,42,False
Aug 19,,5,6,1072941,84.7,-27.3,2755,389,329154565,43,False
Aug 20,,6,6,1769188,64.9,-22.1,2755,642,330923753,44,False
Aug 21,,7,6,1223120,-30.9,-24.9,2755,443,332146873,45,False
Aug 22,,1,7,464559,-62.0,-26.3,2755,168,332611432,46,False
Aug 23,,2,8,525907,13.2,-33.3,2755,190,333137339,47,False
Aug 24,,3,8,375776,-28.5,-39.4,2755,136,333513115,48,False
Aug 25,,4,7,357043,-5.0,-38.5,2755,129,333870158,49,False
Aug 26,,5,8,710473,99.0,-33.8,2450,289,334580631,50,False
Aug 27,,6,8,1184954,66.8,-33.0,2450,483,335765585,51,False
Aug 28,,7,8,749387,-36.8,-38.7,2450,305,336514972,52,False
Aug 29,,1,9,237389,-68.3,-48.9,2450,96,336752361,53,False
Aug 30,,2,10,325631,37.2,-38.1,2450,132,337077992,54,False
