"","Date","DOW","Rank","Daily","X...YD","X...LW","Theaters","Avg","To.Date","Day","Estimated"
"1","3-Nov",5,1,46470936,"-","-",4080,11389,46470936,1,FALSE
"2","4-Nov",6,1,44203752,"-4.90%","-",4080,10834,90674688,2,FALSE
"3","5-Nov",7,1,32070301,"-27.40%","-",4080,7860,122744989,3,FALSE
"4","6-Nov",1,1,8247661,"-74.30%","-",4080,2021,130992650,4,FALSE
"5","7-Nov",2,1,10824443,"31.20%","-",4080,2653,141817093,5,FALSE
"6","8-Nov",3,1,6148407,"-43.20%","-",4080,1506,147965500,6,FALSE
"7","9-Nov",4,1,7024207,"14.20%","-",4080,1721,154989707,7,FALSE
"8","10-Nov",5,1,18361360,"161.40%","-60.50%",4080,4500,173351067,8,FALSE
"9","11-Nov",6,1,23744122,"29.30%","-46.30%",4080,5819,197095189,9,FALSE
"10","12-Nov",7,1,14972824,"-36.90%","-53.30%",4080,3669,212068013,10,FALSE
"11","13-Nov",1,1,3699478,"-75.30%","-55.10%",4080,906,215767491,11,FALSE
"12","14-Nov",2,1,4489361,"21.40%","-58.50%",4080,1100,220256852,12,FALSE
"13","15-Nov",3,1,2919452,"-35%","-52.50%",4080,715,223176304,13,FALSE
"14","16-Nov",4,1,2419866,"-17.10%","-65.50%",4080,593,225596170,14,FALSE
"15","17-Nov",5,3,5735104,"137%","-68.80%",4080,1405,231331274,15,FALSE
"16","18-Nov",6,3,9559369,"66.70%","-59.70%",4080,2342,240890643,16,FALSE
"17","19-Nov",7,3,6375127,"-33.30%","-57.40%",4080,1562,247265770,17,FALSE
"18","20-Nov",1,3,2457686,"-61.40%","-33.60%",4080,602,249723456,18,FALSE
"19","21-Nov",2,3,3489938,"42%","-22.30%",4080,855,253213394,19,FALSE
"20","22-Nov",3,4,4038922,"15.70%","38.30%",3281,1231,257252316,20,FALSE
"21","23-Nov",4,4,3534961,"-12.50%","46.10%",3281,1077,260787277,21,FALSE
"22","24-Nov",5,4,6718044,"90%","17.10%",3281,2047,267505321,22,FALSE
"23","25-Nov",6,4,6581173,"-2%","-31.20%",3281,2005,274086494,23,FALSE
"24","26-Nov",7,4,3564077,"-45.80%","-44.10%",3281,1086,277650571,24,FALSE
"25","27-Nov",1,4,872200,"-75.50%","-64.50%",3281,265,278522771,25,FALSE
"26","28-Nov",2,5,1156251,"32.60%","-66.90%",3281,352,279679022,26,FALSE
"27","29-Nov",3,4,919744,"-20.50%","-77.20%",3281,280,280598766,27,FALSE
"28","30-Nov",4,4,1148833,"24.90%","-67.50%",3281,350,281747599,28,FALSE
"29","1-Dec",5,4,2695400,"134.60%","-59.90%",3148,856,284442999,29,FALSE
"30","2-Dec",6,4,4425036,"64.20%","-32.80%",3148,1405,288868035,30,FALSE
"31","3-Dec",7,4,2765500,"-37.50%","-22.40%",3148,878,291633535,31,FALSE
"32","4-Dec",1,4,753838,"-72.70%","-13.60%",3148,239,292387373,32,FALSE
"33","5-Dec",2,4,1023330,"35.70%","-11.50%",3148,325,293410703,33,FALSE
"34","6-Dec",3,4,734214,"-28.30%","-20.20%",3148,233,294144917,34,FALSE
"35","7-Dec",4,4,720147,"-1.90%","-37.30%",3148,228,294865064,35,FALSE
"36","8-Dec",5,6,1677125,"132.90%","-37.80%",3047,550,296542189,36,FALSE
"37","9-Dec",6,4,2843711,"69.60%","-35.70%",3047,933,299385900,37,FALSE
"38","10-Dec",7,4,1750538,"-38.40%","-36.70%",3047,574,301136438,38,FALSE
"39","11-Dec",1,5,516235,"-70.50%","-31.50%",3047,169,301652673,39,FALSE
"40","12-Dec",2,4,740606,"43.50%","-27.60%",3047,243,302393279,40,FALSE
"41","13-Dec",3,5,556948,"-24.80%","-24.10%",3047,182,302950227,41,FALSE
"42","14-Dec",4,4,443893,"-20.30%","-38.40%",3047,145,303394120,42,FALSE
"43","15-Dec",5,7,784873,"76.80%","-53.20%",1895,414,304178993,43,FALSE
"44","16-Dec",6,7,1350766,"72.10%","-52.50%",1895,712,305529759,44,FALSE
"45","17-Dec",7,7,997777,"-26.10%","-43%",1895,526,306527536,45,FALSE
"46","18-Dec",1,8,440793,"-55.80%","-14.60%",1895,232,306968329,46,FALSE
"47","19-Dec",2,7,598002,"35.70%","-19.30%",1895,315,307566331,47,FALSE
"48","20-Dec",3,10,383763,"-35.80%","-31.10%",1895,202,307950094,48,FALSE
"49","21-Dec",4,10,340664,"-11.20%","-23.30%",1895,179,308290758,49,FALSE
"50","22-Dec",5,18,292159,"-14.20%","-62.80%",701,416,308582917,50,FALSE
"51","23-Dec",6,18,341142,"16.80%","-74.70%",701,486,308924059,51,FALSE
"52","24-Dec",7,17,200577,"-41.20%","-79.90%",701,286,309124636,52,FALSE
"53","25-Dec",1,18,329457,"64.30%","-25.30%",701,469,309454093,53,FALSE
"54","26-Dec",2,18,330578,"0.30%","-44.70%",701,471,309784671,54,FALSE
"55","27-Dec",3,20,289463,"-12.40%","-24.60%",701,412,310074134,55,FALSE
"56","28-Dec",4,18,296105,"2.30%","-13.10%",701,422,310370239,56,FALSE
"57","29-Dec",5,18,306552,"3.50%","4.90%",540,567,310676791,57,FALSE
"58","30-Dec",6,19,341736,"11.50%","0.20%",540,632,311018527,58,FALSE
"59","31-Dec",7,18,206623,"-39.50%","3%",540,382,311225150,59,FALSE
"60","1-Jan",1,19,274976,"33.10%","-16.50%",540,509,311500126,60,FALSE
"61","2-Jan",2,17,182206,"-33.70%","-44.90%",540,337,311682332,61,FALSE
"62","3-Jan",3,17,137563,"-24.50%","-52.50%",540,254,311819895,62,FALSE
"63","4-Jan",4,17,124891,"-9.20%","-57.80%",540,231,311944786,63,FALSE
"64","5-Jan",5,21,155985,"24.90%","-49.10%",325,479,312100771,64,FALSE
"65","6-Jan",6,21,226596,"45.30%","-33.70%",325,697,312327367,65,FALSE
"66","7-Jan",7,21,132359,"-41.60%","-35.90%",325,407,312459726,66,FALSE
"67","8-Jan",1,21,44384,"-66.50%","-83.90%",325,136,312504110,67,FALSE
"68","9-Jan",2,21,53119,"19.70%","-70.80%",325,163,312557229,68,FALSE
"69","10-Jan",3,21,45469,"-14.40%","-66.90%",325,139,312602698,69,FALSE
"70","11-Jan",4,23,38622,"-15.10%","-69.10%",325,118,312641320,70,FALSE
"71","12-Jan",5,23,88750,"129.80%","-43.10%",242,366,312730070,71,FALSE
"72","13-Jan",6,23,160406,"80.70%","-29.20%",242,662,312890476,72,FALSE
"73","14-Jan",7,24,121803,"-24.10%","-8%",242,503,313012279,73,FALSE
"74","15-Jan",1,23,90023,"-26.10%","102.80%",242,371,313102302,74,FALSE
"75","16-Jan",2,24,35544,"-60.50%","-33.10%",242,146,313137846,75,FALSE
"76","17-Jan",3,24,31458,"-11.50%","-30.80%",242,129,313169304,76,FALSE
"77","18-Jan",4,24,29227,"-7.10%","-24.30%",242,120,313198531,77,FALSE
"78","19-Jan",5,27,62799,"114.90%","-29.20%",184,341,313261330,78,FALSE
"79","20-Jan",6,26,115885,"84.50%","-27.80%",184,629,313377215,79,FALSE
"80","21-Jan",7,28,55832,"-51.80%","-54.20%",184,303,313433047,80,FALSE
"81","22-Jan",1,27,18704,"-66.50%","-79.20%",184,101,313451751,81,FALSE
"82","23-Jan",2,28,22413,"19.80%","-36.90%",184,121,313474164,82,FALSE
"83","24-Jan",3,28,19447,"-13.20%","-38.20%",184,105,313493611,83,FALSE
"84","25-Jan",4,28,19398,"-0.30%","-33.60%",184,105,313513009,84,FALSE
"85","26-Jan",5,29,45863,"136.40%","-27%",150,305,313558872,85,FALSE
"86","27-Jan",6,29,85199,"85.80%","-26.50%",150,567,313644071,86,FALSE
"87","28-Jan",7,28,50767,"-40.40%","-9.10%",150,338,313694838,87,FALSE
"88","29-Jan",1,30,13645,"-73.10%","-27%",150,90,313708483,88,FALSE
"89","30-Jan",2,30,14421,"5.70%","-35.70%",150,96,313722904,89,FALSE
