Date,Event,DOW,Rank,Daily,YD%,LW%,Theaters,Avg,To Date,Day,Estimated
Nov 3,,5,1,46470936,,,4080,11389,46470936,1,False
Nov 4,,6,1,44203752,-4.9,,4080,10834,90674688,2,False
Nov 5,,7,1,32070301,-27.4,,4080,7860,122744989,3,False
Nov 6,,1,1,8247661,-74.3,,4080,2021,130992650,4,False
Nov 7,,2,1,10824443,31.2,,4080,2653,141817093,5,False
Nov 8,,3,1,6148407,-43.2,,4080,1506,147965500,6,False
Nov 9,,4,1,7024207,14.2,,4080,1721,154989707,7,False
Nov 10,,5,1,18361360,161.4,-60.5,4080,4500,173351067,8,False
Nov 11,,6,1,23744122,29.3,-46.3,4080,5819,197095189,9,False
Nov 12,,7,1,14972824,-36.9,-53.3,4080,3669,212068013,10,False
Nov 13,,1,1,3699478,-75.3,-55.1,4080,906,215767491,11,False
Nov 14,,2,1,4489361,21.4,-58.5,4080,1100,220256852,12,False
Nov 15,,3,1,2919452,-35.0,-52.5,4080,715,223176304,13,False
Nov 16,,4,1,2419866,-17.1,-65.5,4080,593,225596170,14,False
Nov 17,,5,3,5735104,137.0,-68.8,4080,1405,231331274,15,False
Nov 18,,6,3,9559369,66.7,-59.7,4080,2342,240890643,16,False
Nov 19,,7,3,6375127,-33.3,-57.4,4080,1562,247265770,17,False
Nov 20,,1,3,2457686,-61.4,-33.6,4080,602,249723456,18,False
Nov 21,,2,3,3489938,42.0,-22.3,4080,855,253213394,19,False
Nov 22,,3,4,4038922,15.7,38.3,3281,1231,257252316,20,False
Nov 23,Thanksgiving,4,4,3534961,-12.5,46.1,3281,1077,260787277,21,False
Nov 24,,5,4,6718044,90.0,17.1,3281,2047,267505321,22,False
Nov 25,,6,4,6581173,-2.0,-31.2,3281,2005,274086494,23,False
Nov 26,,7,4,3564077,-45.8,-44.1,3281,1086,277650571,24,False
Nov 27,,1,4,872200,-75.5,-64.5,3281,265,278522771,25,False
Nov 28,,2,5,1156251,32.6,-66.9,3281,352,279679022,26,False
Nov 29,,3,4,919744,-20.5,-77.2,3281,280,280598766,27,False
Nov 30,,4,4,1148833,24.9,-67.5,3281,350,281747599,28,False
Dec 1,,5,4,2695400,134.6,-59.9,3148,856,284442999,29,False
Dec 2,,6,4,4425036,64.2,-32.8,3148,1405,288868035,30,False
Dec 3,,7,4,2765500,-37.5,-22.4,3148,878,291633535,31,False
Dec 4,,1,4,753838,-72.7,-13.6,3148,239,292387373,32,False
Dec 5,,2,4,1023330,35.7,-11.5,3148,325,293410703,33,False
Dec 6,,3,4,734214,-28.3,-20.2,3148,233,294144917,34,False
Dec 7,,4,4,720147,-1.9,-37.3,3148,228,294865064,35,False
Dec 8,,5,6,1677125,132.9,-37.8,3047,550,296542189,36,False
Dec 9,,6,4,2843711,69.6,-35.7,3047,933,299385900,37,False
Dec 10,,7,4,1750538,-38.4,-36.7,3047,574,301136438,38,False
Dec 11,,1,5,516235,-70.5,-31.5,3047,169,301652673,39,False
Dec 12,,2,4,740606,43.5,-27.6,3047,243,302393279,40,False
Dec 13,,3,5,556948,-24.8,-24.1,3047,182,302950227,41,False
Dec 14,,4,4,443893,-20.3,-38.4,3047,145,303394120,42,False
Dec 15,,5,7,784873,76.8,-53.2,1895,414,304178993,43,False
Dec 16,,6,7,1350766,72.1,-52.5,1895,712,305529759,44,False
Dec 17,,7,7,997777,-26.1,-43.0,1895,526,306527536,45,False
Dec 18,,1,8,440793,-55.8,-14.6,1895,232,306968329,46,False
Dec 19,,2,7,598002,35.7,-19.3,1895,315,307566331,47,False
Dec 20,,3,10,383763,-35.8,-31.1,1895,202,307950094,48,False
Dec 21,,4,10,340664,-11.2,-23.3,1895,179,308290758,49,False
Dec 22,,5,18,292159,-14.2,-62.8,701,416,308582917,50,False
Dec 23,,6,18,341142,16.8,-74.7,701,486,308924059,51,False
Dec 24,,7,17,200577,-41.2,-79.9,701,286,309124636,52,False
Dec 25,Christmas Day,1,18,329457,64.3,-25.3,701,469,309454093,53,False
Dec 26,,2,18,330578,0.3,-44.7,701,471,309784671,54,False
Dec 27,,3,20,289463,-12.4,-24.6,701,412,310074134,55,False
Dec 28,,4,18,296105,2.3,-13.1,701,422,310370239,56,False
Dec 29,,5,18,306552,3.5,4.9,540,567,310676791,57,False
Dec 30,,6,19,341736,11.5,0.2,540,632,311018527,58,False
Dec 31,New Year's Eve,7,18,206623,-39.5,3.0,540,382,311225150,59,False
Jan 1,New Year's Day,1,19,274976,33.1,-16.5,540,509,311500126,60,False
Jan 2,,2,17,182206,-33.7,-44.9,540,337,311682332,61,False
Jan 3,,3,17,137563,-24.5,-52.5,540,254,311819895,62,False
Jan 4,,4,17,124891,-9.2,-57.8,540,231,311944786,63,False
Jan 5,,5,21,155985,24.9,-49.1,325,479,312100771,64,False
Jan 6,,6,21,226596,45.3,-33.7,325,697,312327367,65,False
Jan 7,,7,21,132359,-41.6,-35.9,325,407,312459726,66,False
Jan 8,,1,21,44384,-66.5,-83.9,325,136,312504110,67,False
Jan 9,,2,21,53119,19.7,-70.8,325,163,312557229,68,False
Jan 10,,3,21,45469,-14.4,-66.9,325,139,312602698,69,False
Jan 11,,4,23,38622,-15.1,-69.1,325,118,312641320,70,False
Jan 12,,5,23,88750,129.8,-43.1,242,366,312730070,71,False
Jan 13,,6,23,160406,80.7,-29.2,242,662,312890476,72,False
Jan 14,,7,24,121803,-24.1,-8.0,242,503,313012279,73,False
Jan 15,MLK Day,1,23,90023,-26.1,102.8,242,371,313102302,74,False
Jan 16,,2,24,35544,-60.5,-33.1,242,146,313137846,75,False
Jan 17,,3,24,31458,-11.5,-30.8,242,129,313169304,76,False
Jan 18,,4,24,29227,-7.1,-24.3,242,120,313198531,77,False
Jan 19,,5,27,62799,114.9,-29.2,184,341,313261330,78,False
Jan 20,,6,26,115885,84.5,-27.8,184,629,313377215,79,False
Jan 21,,7,28,55832,-51.8,-54.2,184,303,313433047,80,False
Jan 22,,1,27,18704,-66.5,-79.2,184,101,313451751,81,False
Jan 23,,2,28,22413,19.8,-36.9,184,121,313474164,82,False
Jan 24,,3,28,19447,-13.2,-38.2,184,105,313493611,83,False
Jan 25,,4,28,19398,-0.3,-33.6,184,105,313513009,84,False
Jan 26,,5,29,45863,136.4,-27.0,150,305,313558872,85,False
Jan 27,,6,29,85199,85.8,-26.5,150,567,313644071,86,False
Jan 28,,7,28,50767,-40.4,-9.1,150,338,313694838,87,False
Jan 29,,1,30,13645,-73.1,-27.0,150,90,313708483,88,False
Jan 30,,2,30,14421,5.7,-35.7,150,96,313722904,89,False
Jan 31,,3,32,13085,-9.3,-32.7,150,87,313735989,90,False
Feb 1,,4,30,15284,16.8,-21.2,150,101,313751273,91,False
Feb 2,,5,28,66416,334.5,44.8,204,325,313817689,92,False
Feb 3,,6,27,129013,94.2,51.4,204,632,313946702,93,False
Feb 4,,7,28,49521,-61.6,-2.5,204,242,313996223,94,False
Feb 5,,1,25,23404,-52.7,71.5,204,114,314019627,95,False
Feb 6,,2,26,25395,8.5,76.1,204,124,314045022,96,False
Feb 7,,3,25,22620,-10.9,72.9,204,110,314067642,97,False
Feb 8,,4,25,23583,4.3,54.3,204,115,314091225,98,False
Feb 9,PyeongChang Olympics,5,32,50174,112.8,-24.5,173,290,314141399,99,False
