"","Date","DOW","Rank","Daily","X...YD","X...LW","Theaters","Avg","To.Date","Day","Estimated"
"1","8-Nov",5,1,31899210,"-","-",3841,8304,"$31,899,210 ",1,FALSE
"2","9-Nov",6,1,32078010,"0.60%","-",3841,8351,"$63,977,220 ",2,FALSE
"3","10-Nov",7,1,21760621,"-32.20%","-",3841,5665,"$85,737,841 ",3,FALSE
"4","11-Nov",1,1,10417194,"-52.10%","-",3841,2712,"$96,155,035 ",4,FALSE
"5","12-Nov",2,1,5244111,"-49.70%","-",3841,1365,"$101,399,146 ",5,FALSE
"6","13-Nov",3,1,3565731,"-32%","-",3841,928,"$104,964,877 ",6,FALSE
"7","14-Nov",4,1,3546237,"-0.50%","-",3841,923,"$108,511,114 ",7,FALSE
"8","15-Nov",5,2,10524470,"196.80%","-67%",3841,2740,"$119,035,584 ",8,FALSE
"9","16-Nov",6,1,16761427,"59.30%","-47.70%",3841,4363,"$135,797,011 ",9,FALSE
"10","17-Nov",7,1,9300119,"-44.50%","-57.30%",3841,2421,"$145,097,130 ",10,FALSE
"11","18-Nov",1,2,2209623,"-76.20%","-78.80%",3841,575,"$147,306,753 ",11,FALSE
"12","19-Nov",2,1,2729808,"23.50%","-47.90%",3841,710,"$150,036,561 ",12,FALSE
"13","20-Nov",3,1,2004268,"-26.60%","-43.80%",3841,521,"$152,040,829 ",13,FALSE
"14","21-Nov",4,1,1679992,"-16.20%","-52.60%",3841,437,"$153,720,821 ",14,FALSE
"15","22-Nov",5,2,4041487,"140.60%","-61.60%",3713,1088,"$157,762,308 ",15,FALSE
"16","23-Nov",6,2,6378333,"57.80%","-61.90%",3713,1717,"$164,140,641 ",16,FALSE
"17","24-Nov",7,2,3776482,"-40.80%","-59.40%",3713,1017,"$167,917,123 ",17,FALSE
"18","25-Nov",1,2,1360662,"-64%","-38.40%",3713,366,"$169,277,785 ",18,FALSE
"19","26-Nov",2,2,1941500,"42.70%","-28.90%",3713,522,"$171,219,285 ",19,FALSE
"20","27-Nov",3,3,2346359,"20.90%","17.10%",3286,714,"$173,565,644 ",20,FALSE
"21","28-Nov",4,3,2054146,"-12.50%","22.30%",3286,625,"$175,619,790 ",21,FALSE
"22","29-Nov",5,3,4477422,"118%","10.80%",3286,1362,"$180,097,212 ",22,FALSE
"23","30-Nov",6,3,4461688,"-0.40%","-30%",3286,1357,"$184,558,900 ",23,FALSE
"24","1-Dec",7,3,2146186,"-51.90%","-43.20%",3286,653,"$186,705,086 ",24,FALSE
"25","2-Dec",1,3,531201,"-75.20%","-61%",3286,161,"$187,236,287 ",25,FALSE
"26","3-Dec",2,4,655345,"23.40%","-66.20%",3286,199,"$187,891,632 ",26,FALSE
"27","4-Dec",3,3,498942,"-23.90%","-78.70%",3286,151,"$188,390,574 ",27,FALSE
"28","5-Dec",4,3,509068,"2%","-75.20%",3286,154,"$188,899,642 ",28,FALSE
"29","6-Dec",5,4,1295977,"154.60%","-71.10%",3074,421,"$190,195,619 ",29,FALSE
"30","7-Dec",6,3,2272980,"75.40%","-49.10%",3074,739,"$192,468,599 ",30,FALSE
"31","8-Dec",7,3,1242588,"-45.30%","-42.10%",3074,404,"$193,711,187 ",31,FALSE
"32","9-Dec",1,4,397478,"-68%","-25.20%",3074,129,"$194,108,665 ",32,FALSE
"33","10-Dec",2,4,509966,"28.30%","-22.20%",3074,165,"$194,618,631 ",33,FALSE
"34","11-Dec",3,4,401237,"-21.30%","-19.60%",3074,130,"$195,019,868 ",34,FALSE
"35","12-Dec",4,3,405821,"1.10%","-20.30%",3074,132,"$195,425,689 ",35,FALSE
"36","13-Dec",5,5,801586,"97.50%","-38.10%",2264,354,"$196,227,275 ",36,FALSE
"37","14-Dec",6,5,1206083,"50.50%","-46.90%",2264,532,"$197,433,358 ",37,FALSE
"38","15-Dec",7,5,812386,"-32.60%","-34.60%",2264,358,"$198,245,744 ",38,FALSE
"39","16-Dec",1,5,301519,"-62.90%","-24.10%",2264,133,"$198,547,263 ",39,FALSE
"40","17-Dec",2,5,342564,"13.60%","-32.80%",2264,151,"$198,889,827 ",40,FALSE
"41","18-Dec",3,6,273905,"-20%","-31.70%",1923,142,"$199,163,732 ",41,FALSE
"42","19-Dec",4,6,274376,"0.20%","-32.40%",1923,142,"$199,438,108 ",42,FALSE
"43","20-Dec",5,10,361847,"31.90%","-54.90%",1116,324,"$199,799,955 ",43,FALSE
"44","21-Dec",6,10,522668,"44.40%","-56.70%",1116,468,"$200,322,623 ",44,FALSE
"45","22-Dec",7,10,457248,"-12.50%","-43.70%",1116,409,"$200,779,871 ",45,FALSE
"46","23-Dec",1,10,365540,"-20.10%","21.20%",1116,327,"$201,145,411 ",46,FALSE
"47","24-Dec",2,10,261885,"-28.40%","-23.60%",1116,234,"$201,407,296 ",47,FALSE
"48","25-Dec",3,21,151326,"-42.20%","-44.80%",319,474,"$201,558,622 ",48,FALSE
"49","26-Dec",4,20,168915,"11.60%","-38.40%",319,529,"$201,727,537 ",49,FALSE
"50","27-Dec",5,19,209196,"23.80%","-42.20%",319,655,"$201,936,733 ",50,FALSE
"51","28-Dec",6,19,248434,"18.80%","-52.50%",319,778,"$202,185,167 ",51,FALSE
"52","29-Dec",7,20,178443,"-28.20%","-61%",319,559,"$202,363,610 ",52,FALSE
"53","30-Dec",1,20,151512,"-15.10%","-58.60%",319,474,"$202,515,122 ",53,FALSE
"54","31-Dec",2,22,136610,"-9.80%","-47.80%",319,428,"$202,651,732 ",54,FALSE
"55","1-Jan",3,21,205020,"50.10%","35.50%",319,642,"$202,856,752 ",55,FALSE
"56","2-Jan",4,20,115945,"-43.40%","-31.40%",319,363,"$202,972,697 ",56,FALSE
"57","3-Jan",5,21,165675,"42.90%","-20.80%",291,569,"$203,138,372 ",57,FALSE
"58","4-Jan",6,22,205566,"24.10%","-17.30%",291,706,"$203,343,938 ",58,FALSE
"59","5-Jan",7,22,105266,"-48.80%","-41%",291,361,"$203,449,204 ",59,FALSE
"60","6-Jan",1,21,43806,"-58.40%","-71.10%",291,150,"$203,493,010 ",60,FALSE
