Date,Event,DOW,Rank,Daily,YD%,LW%,Theaters,Avg,To Date,Day,Estimated
Nov 8,,5,1,31899210,,,3841,8304,31899210,1,False
Nov 9,,6,1,32078010,0.6,,3841,8351,63977220,2,False
Nov 10,,7,1,21760621,-32.2,,3841,5665,85737841,3,False
Nov 11,,1,1,10417194,-52.1,,3841,2712,96155035,4,False
Nov 12,,2,1,5244111,-49.7,,3841,1365,101399146,5,False
Nov 13,,3,1,3565731,-32.0,,3841,928,104964877,6,False
Nov 14,,4,1,3546237,-0.5,,3841,923,108511114,7,False
Nov 15,,5,2,10524470,196.8,-67.0,3841,2740,119035584,8,False
Nov 16,,6,1,16761427,59.3,-47.7,3841,4363,135797011,9,False
Nov 17,,7,1,9300119,-44.5,-57.3,3841,2421,145097130,10,False
Nov 18,,1,2,2209623,-76.2,-78.8,3841,575,147306753,11,False
Nov 19,,2,1,2729808,23.5,-47.9,3841,710,150036561,12,False
Nov 20,,3,1,2004268,-26.6,-43.8,3841,521,152040829,13,False
Nov 21,,4,1,1679992,-16.2,-52.6,3841,437,153720821,14,False
Nov 22,,5,2,4041487,140.6,-61.6,3713,1088,157762308,15,False
Nov 23,,6,2,6378333,57.8,-61.9,3713,1717,164140641,16,False
Nov 24,,7,2,3776482,-40.8,-59.4,3713,1017,167917123,17,False
Nov 25,,1,2,1360662,-64.0,-38.4,3713,366,169277785,18,False
Nov 26,,2,2,1941500,42.7,-28.9,3713,522,171219285,19,False
Nov 27,,3,3,2346359,20.9,17.1,3286,714,173565644,20,False
Nov 28,Thanksgiving,4,3,2054146,-12.5,22.3,3286,625,175619790,21,False
Nov 29,,5,3,4477422,118.0,10.8,3286,1362,180097212,22,False
Nov 30,,6,3,4461688,-0.4,-30.0,3286,1357,184558900,23,False
Dec 1,,7,3,2146186,-51.9,-43.2,3286,653,186705086,24,False
Dec 2,,1,3,531201,-75.2,-61.0,3286,161,187236287,25,False
Dec 3,,2,4,655345,23.4,-66.2,3286,199,187891632,26,False
Dec 4,,3,3,498942,-23.9,-78.7,3286,151,188390574,27,False
Dec 5,,4,3,509068,2.0,-75.2,3286,154,188899642,28,False
Dec 6,,5,4,1295977,154.6,-71.1,3074,421,190195619,29,False
Dec 7,,6,3,2272980,75.4,-49.1,3074,739,192468599,30,False
Dec 8,,7,3,1242588,-45.3,-42.1,3074,404,193711187,31,False
Dec 9,,1,4,397478,-68.0,-25.2,3074,129,194108665,32,False
Dec 10,,2,4,509966,28.3,-22.2,3074,165,194618631,33,False
Dec 11,,3,4,401237,-21.3,-19.6,3074,130,195019868,34,False
Dec 12,,4,3,405821,1.1,-20.3,3074,132,195425689,35,False
Dec 13,,5,5,801586,97.5,-38.1,2264,354,196227275,36,False
Dec 14,,6,5,1206083,50.5,-46.9,2264,532,197433358,37,False
Dec 15,,7,5,812386,-32.6,-34.6,2264,358,198245744,38,False
Dec 16,,1,5,301519,-62.9,-24.1,2264,133,198547263,39,False
Dec 17,,2,5,342564,13.6,-32.8,2264,151,198889827,40,False
Dec 18,,3,6,273905,-20.0,-31.7,1923,142,199163732,41,False
Dec 19,,4,6,274376,0.2,-32.4,1923,142,199438108,42,False
Dec 20,,5,10,361847,31.9,-54.9,1116,324,199799955,43,False
Dec 21,,6,10,522668,44.4,-56.7,1116,468,200322623,44,False
Dec 22,,7,10,457248,-12.5,-43.7,1116,409,200779871,45,False
Dec 23,,1,10,365540,-20.1,21.2,1116,327,201145411,46,False
Dec 24,,2,10,261885,-28.4,-23.6,1116,234,201407296,47,False
Dec 25,Christmas Day,3,21,151326,-42.2,-44.8,319,474,201558622,48,False
Dec 26,,4,20,168915,11.6,-38.4,319,529,201727537,49,False
Dec 27,,5,19,209196,23.8,-42.2,319,655,201936733,50,False
Dec 28,,6,19,248434,18.8,-52.5,319,778,202185167,51,False
Dec 29,,7,20,178443,-28.2,-61.0,319,559,202363610,52,False
Dec 30,,1,20,151512,-15.1,-58.6,319,474,202515122,53,False
Dec 31,New Year's Eve,2,22,136610,-9.8,-47.8,319,428,202651732,54,False
Jan 1,New Year's Day,3,21,205020,50.1,35.5,319,642,202856752,55,False
Jan 2,,4,20,115945,-43.4,-31.4,319,363,202972697,56,False
Jan 3,,5,21,165675,42.9,-20.8,291,569,203138372,57,False
Jan 4,,6,22,205566,24.1,-17.3,291,706,203343938,58,False
Jan 5,,7,22,105266,-48.8,-41.0,291,361,203449204,59,False
Jan 6,,1,21,43806,-58.4,-71.1,291,150,203493010,60,False
Jan 7,,2,21,49569,13.2,-63.7,291,170,203542579,61,False
Jan 8,,3,24,39457,-20.4,-80.8,291,135,203582036,62,False
Jan 9,,4,24,37550,-4.8,-67.6,291,129,203619586,63,False
Jan 10,,5,23,85088,126.6,-48.6,257,331,203704674,64,False
Jan 11,,6,24,151370,77.9,-26.4,257,588,203856044,65,False
Jan 12,,7,24,78436,-48.2,-25.5,257,305,203934480,66,False
Jan 13,,1,26,24545,-68.7,-44.0,257,95,203959025,67,False
Jan 14,,2,26,29710,21.0,-40.1,257,115,203988735,68,False
Jan 15,,3,27,25925,-12.7,-34.3,257,100,204014660,69,False
Jan 16,,4,27,27102,4.5,-27.8,257,105,204041762,70,False
